scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	1
totaal	10-13	rgb(255,215,0)	2
totaal	>=14	rgb(144,238,144)	8
wiskunde_basis	7-8	rgb(255,215,0)	3
wiskunde_basis	>=9	rgb(144,238,144)	8
wiskunde_standaard	<8	rgb(255,140,0)	2
wiskunde_standaard	8-11	rgb(255,215,0)	7
wiskunde_standaard	>=12	rgb(144,238,144)	2
