ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
33537	1	B	A	D	D	B	D	D	D	A	B	D	X	B	C	A	B	A	C	D	C	C	X	A	B	C	C	B	B	D	X
32822	1	B	A	D	D	B	D	D	D	A	B	D	D	B	C	B	D	D	B	D	A	D	C	A	C	D	C	C	B	D	B
33931	1	C	A	D	D	B	D	D	D	A	B	C	X	B	C	A	B	A	C	B	X	C	B	D	B	C	C	C	B	D	X
32271	1	A	A	D	D	B	D	D	D	A	B	C	X	X	C	A	X	A	A	D	B	C	X	A	B	C	C	D	B	D	D
33761	1	B	A	D	D	B	D	D	X	A	B	X	X	X	X	B	X	X	A	D	A	C	X	A	B	C	X	C	D	X	X
33348	1	B	A	D	D	B	D	D	D	D	C	D	C	D	C	B	C	C	B	D	B	A	C	D	A	B	C	D	C	A	B
32574	1	A	D	D	B	B	D	A	A	A	B	D	B	B	C	A	C	C	A	C	X	X	B	D	B	A	D	C	A	X	C
33751	1	B	A	D	D	B	D	D	D	A	B	A	A	A	C	B	X	A	A	D	B	B	X	A	A	B	C	C	B	D	X
33457	1	B	A	C	D	B	D	D	D	A	B	C	D	D	C	A	B	B	A	D	B	D	C	A	B	C	B	C	B	D	C
33067	1	B	A	D	D	X	D	D	X	A	B	X	X	B	C	A	D	A	X	D	B	C	X	A	A	C	C	X	X	D	B
33897	1	B	A	D	D	B	D	D	D	A	B	C	A	B	C	B	C	A	A	D	B	D	B	A	B	C	B	C	B	D	B
33542	1	B	A	D	D	C	D	D	D	A	B	B	C	B	C	B	D	C	A	D	B	C	C	D	B	C	C	D	B	D	C
32737	1	B	A	D	D	B	D	D	D	A	B	C	D	B	C	A	B	B	C	D	B	C	B	A	B	B	B	C	B	D	A
32325	1	B	A	D	D	B	D	D	B	A	B	C	X	X	C	A	D	X	A	D	X	C	X	A	A	C	B	C	B	D	X
32493	1	B	A	D	D	B	D	D	B	A	B	C	B	B	C	A	B	C	B	D	A	C	C	A	B	B	A	D	B	D	A
32581	1	B	A	D	D	B	D	D	A	A	D	C	D	B	C	B	B	D	D	D	B	A	B	A	B	B	B	B	B	D	C
33224	1	B	B	D	D	D	D	D	X	A	B	D	X	B	C	B	X	A	A	D	A	C	B	C	A	C	C	C	A	D	X
