ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	basisJuist	basisFout	basisBlanco	basisScore	niet_basisJuist	niet_basisFout	niet_basisBlanco	niet_basisScore	analyseJuist	analyseFout	analyseBlanco	analyseScore	algebraJuist	algebraFout	algebraBlanco	algebraScore	meetkundeJuist	meetkundeFout	meetkundeBlanco	meetkundeScore	kansrekenenJuist	kansrekenenFout	kansrekenenBlanco	kansrekenenScore	logicaJuist	logicaFout	logicaBlanco	logicaScore
33761	1	1	17	2	11	11	17	2	11	16	6	0	0	6	11	2	11	10	6	1	2	6	10	1	5	10	1	0	1	1	0	0	2	0	0	0	1	0
33348	1	0	13	17	0	5	13	17	0	7	6	0	0	6	7	17	0	1	2	7	0	0	9	7	0	7	1	1	0	1	1	1	0	1	0	1	0	0
32574	1	0	11	16	3	4	11	16	3	6	3	3	0	2	8	13	3	4	1	7	1	0	8	6	2	6	2	0	0	2	0	2	0	0	0	1	0	0
33751	1	1	20	7	3	12	20	7	3	18	6	0	0	6	14	7	3	12	6	3	0	5	12	1	3	12	1	1	0	1	1	1	0	1	0	1	0	0
33457	1	1	23	7	0	14	23	7	0	21	5	1	0	5	18	6	0	16	7	2	0	6	12	4	0	11	1	1	0	1	2	0	0	2	1	0	0	1
33067	1	1	18	4	8	11	18	4	8	17	5	0	1	5	13	4	7	12	6	0	3	6	11	3	2	10	1	0	1	1	0	0	2	0	0	1	0	0
33897	1	1	27	3	0	17	27	3	0	26	6	0	0	6	21	3	0	20	7	2	0	6	15	1	0	15	2	0	0	2	2	0	0	2	1	0	0	1
33542	1	1	20	10	0	11	20	10	0	17	5	1	0	5	15	9	0	12	6	3	0	5	12	4	0	11	1	1	0	1	1	1	0	1	0	1	0	0
32737	1	1	25	5	0	16	25	5	0	23	6	0	0	6	19	5	0	17	6	3	0	5	14	2	0	13	2	0	0	2	2	0	0	2	1	0	0	1
32325	1	1	20	4	6	12	20	4	6	19	6	0	0	6	14	4	6	13	7	0	2	7	10	3	3	9	1	0	1	1	1	1	0	1	1	0	0	1
32493	1	1	19	11	0	10	19	11	0	15	6	0	0	6	13	11	0	9	5	4	0	4	11	5	0	9	2	0	0	2	1	1	0	1	0	1	0	0
32581	1	1	22	8	0	13	22	8	0	19	6	0	0	6	16	8	0	13	5	4	0	4	13	3	0	12	2	0	0	2	1	1	0	1	1	0	0	1
33224	1	1	18	8	4	10	18	8	4	15	4	2	0	3	14	6	4	12	6	2	1	5	11	3	2	10	1	1	0	1	0	1	1	0	0	1	0	0
32765	1	1	21	9	0	12	21	9	0	18	4	2	0	3	17	7	0	15	8	1	0	8	11	5	0	9	1	1	0	1	1	1	0	1	0	1	0	0
33518	1	1	20	5	5	12	20	5	5	18	6	0	0	6	14	5	5	12	6	2	1	5	11	2	3	10	1	0	1	1	1	1	0	1	1	0	0	1
32248	1	1	21	3	6	13	21	3	6	20	6	0	0	6	15	3	6	14	6	0	3	6	11	2	3	10	2	0	0	2	2	0	0	2	0	1	0	0
33281	1	1	23	5	2	14	23	5	2	21	6	0	0	6	17	5	2	15	9	0	0	9	10	4	2	9	2	0	0	2	2	0	0	2	0	1	0	0
33664	1	1	26	4	0	16	26	4	0	25	6	0	0	6	20	4	0	19	8	1	0	8	13	3	0	12	2	0	0	2	2	0	0	2	1	0	0	1
32673	1	0	16	10	4	8	16	10	4	13	6	0	0	6	10	10	4	7	3	6	0	1	10	2	4	9	2	0	0	2	1	1	0	1	0	1	0	0
33090	1	0	13	10	7	6	13	10	7	10	3	3	0	2	10	7	7	8	7	0	2	7	4	7	5	2	2	0	0	2	0	2	0	0	0	1	0	0
32190	1	1	29	1	0	19	29	1	0	29	5	1	0	5	24	0	0	24	9	0	0	9	15	1	0	15	2	0	0	2	2	0	0	2	1	0	0	1
33802	1	1	19	3	8	12	19	3	8	18	5	1	0	5	14	2	8	13	5	2	2	4	9	1	6	9	2	0	0	2	2	0	0	2	1	0	0	1
32940	1	1	25	2	3	16	25	2	3	24	6	0	0	6	19	2	3	18	8	0	1	8	14	1	1	14	2	0	0	2	1	1	0	1	0	0	1	0
33794	1	0	13	7	10	7	13	7	10	11	5	1	0	5	8	6	10	6	1	2	6	0	9	3	4	8	2	0	0	2	0	2	0	0	1	0	0	1
32875	1	0	16	12	2	8	16	12	2	12	5	1	0	5	11	11	2	7	4	5	0	2	9	5	2	7	2	0	0	2	1	1	0	1	0	1	0	0
33679	1	1	21	9	0	12	21	9	0	18	5	1	0	5	16	8	0	13	5	4	0	4	13	3	0	12	2	0	0	2	1	1	0	1	0	1	0	0
32696	1	1	18	8	4	10	18	8	4	15	5	1	0	5	13	7	4	11	7	2	0	6	8	5	3	6	1	0	1	1	2	0	0	2	0	1	0	0
33055	1	0	17	13	0	8	17	13	0	13	4	2	0	3	13	11	0	9	5	4	0	4	11	5	0	9	0	2	0	0	1	1	0	1	0	1	0	0
33766	1	1	19	7	4	11	19	7	4	17	6	0	0	6	13	7	4	11	5	3	1	4	11	3	2	10	2	0	0	2	1	0	1	1	0	1	0	0
32817	1	1	25	3	2	16	25	3	2	24	6	0	0	6	19	3	2	18	7	1	1	7	14	1	1	14	2	0	0	2	2	0	0	2	0	1	0	0
33789	1	1	19	11	0	10	19	11	0	15	6	0	0	6	13	11	0	9	6	3	0	5	11	5	0	9	2	0	0	2	0	2	0	0	0	1	0	0
33516	1	1	20	8	2	12	20	8	2	17	6	0	0	6	14	8	2	11	7	2	0	6	10	4	2	9	2	0	0	2	1	1	0	1	0	1	0	0
33137	1	1	19	11	0	10	19	11	0	15	4	2	0	3	15	9	0	12	5	4	0	4	12	4	0	11	0	2	0	0	1	1	0	1	1	0	0	1
32543	1	1	22	5	3	14	22	5	3	20	5	1	0	5	17	4	3	16	7	1	1	7	10	4	2	9	2	0	0	2	2	0	0	2	1	0	0	1
32177	1	1	26	0	4	17	26	0	4	26	6	0	0	6	20	0	4	20	7	0	2	7	15	0	1	15	2	0	0	2	1	0	1	1	1	0	0	1
32806	1	0	13	8	9	7	13	8	9	10	4	1	1	4	9	7	8	7	4	2	3	3	8	6	2	6	0	0	2	0	1	0	1	1	0	0	1	0
33369	1	0	16	13	1	8	16	13	1	12	3	3	0	2	13	10	1	10	5	4	0	4	10	6	0	8	0	1	1	0	1	1	0	1	0	1	0	0
32524	1	1	21	2	7	14	21	2	7	20	5	0	1	5	16	2	6	15	7	0	2	7	10	1	5	10	2	0	0	2	2	0	0	2	0	1	0	0
33521	1	1	26	4	0	16	26	4	0	25	6	0	0	6	20	4	0	19	8	1	0	8	13	3	0	12	2	0	0	2	2	0	0	2	1	0	0	1
33295	1	0	16	6	8	9	16	6	8	14	6	0	0	6	10	6	8	8	4	1	4	4	9	3	4	8	2	0	0	2	1	1	0	1	0	1	0	0
32518	1	1	26	4	0	16	26	4	0	25	5	1	0	5	21	3	0	20	7	2	0	6	14	2	0	13	2	0	0	2	2	0	0	2	1	0	0	1
32630	1	1	24	4	2	15	24	4	2	23	6	0	0	6	18	4	2	17	8	1	0	8	11	3	2	10	2	0	0	2	2	0	0	2	1	0	0	1
32946	1	1	17	7	6	10	17	7	6	15	6	0	0	6	11	7	6	9	4	4	1	3	11	1	4	11	1	0	1	1	1	1	0	1	0	1	0	0
32952	1	1	21	9	0	12	21	9	0	18	5	1	0	5	16	8	0	13	6	3	0	5	12	4	0	11	2	0	0	2	1	1	0	1	0	1	0	0
33347	1	1	22	4	4	14	22	4	4	21	6	0	0	6	16	4	4	15	6	1	2	6	13	2	1	12	2	0	0	2	1	0	1	1	0	1	0	0
33486	1	1	17	7	6	10	17	7	6	15	6	0	0	6	11	7	6	9	4	2	3	3	11	4	1	10	2	0	0	2	0	0	2	0	0	1	0	0
32793	1	0	18	12	0	9	18	12	0	14	5	1	0	5	13	11	0	9	3	6	0	1	11	5	0	9	2	0	0	2	2	0	0	2	0	1	0	0
