vraagId	juisteAntwoord
1	D
2	B
3	C
4	D
5	C
6	B
7	A
8	C
9	A
10	D
11	B
12	B
13	C
14	A
15	D
16	C
17	D
18	B
19	A
20	A
21	A
22	D
23	C
24	D
25	B
26	C
27	B
28	C
29	C
30	D
31	A
32	A
33	D
34	C
35	B
36	A
37	C
38	C
39	B
40	B
