vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	D	357	240	67	36	10	72	5	4	240
2	B	357	268	75	50	14	24	268	7	8
3	B	357	333	93	7	1	3	333	14	0
4	B	357	266	75	37	10	36	266	7	11
5	C	357	194	54	35	9	35	24	194	69
6	B	357	265	74	28	7	25	265	19	20
7	A	357	312	87	8	2	312	20	16	1
8	D	357	176	49	66	18	30	73	12	176
9	A	357	267	75	15	4	267	6	50	19
10	D	357	266	75	28	7	30	6	27	266
11	A	357	187	52	102	28	187	35	20	13
12	A	357	219	61	62	17	219	16	43	17
13	D	357	205	57	101	28	15	30	6	205
14	A	357	132	37	98	27	132	54	55	18
15	D	357	134	38	165	46	17	16	25	134
16	B	357	96	27	61	17	157	96	30	13
17	D	357	87	24	56	15	75	30	109	87
18	A	357	262	73	51	14	262	6	9	29
19	C	357	168	47	108	30	15	43	168	23
20	D	357	61	17	256	71	14	13	13	61
21	B	357	77	22	72	20	169	77	25	14
22	B	357	46	13	286	80	0	46	18	7
23	D	357	166	46	125	35	22	26	18	166
24	C	357	90	25	126	35	8	66	90	67
25	D	357	162	45	127	35	47	9	12	162
26	B	357	111	31	101	28	66	111	22	57
27	D	357	160	45	119	33	6	33	39	160
28	C	357	179	50	51	14	69	18	179	40
29	A	357	181	51	81	22	181	65	9	21
30	A	357	130	36	155	43	130	22	35	15
