feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
17ir43939	1	D	C	D	B	D	X	C	C	C	B	X	D	C	C	C	X	X	X	D	A	D	X
17ir38933	1	B	C	B	A	D	B	X	B	X	D	X	X	A	D	C	X	B	X	B	X	B	B
17ir61626	1	D	C	D	B	D	B	A	A	C	B	B	X	X	B	C	X	X	X	C	X	D	B
17ir47617	1	B	D	D	C	A	C	A	B	C	B	B	A	B	D	D	B	C	C	B	B	A	B
17ir85808	1	D	C	B	A	D	A	C	A	X	B	B	X	C	C	X	A	B	X	X	X	D	C
17ir67197	1	D	C	B	A	C	B	C	A	X	D	B	A	C	C	C	X	X	D	D	C	A	D
17ir79086	1	A	X	B	A	D	X	C	A	D	D	B	X	X	X	X	X	B	B	D	D	D	D
17ir74642	1	C	D	A	A	C	C	A	D	X	A	B	D	C	B	X	D	B	C	X	B	C	B
17ir10608	1	D	C	B	B	C	B	D	C	C	D	B	C	C	D	C	A	B	D	B	C	D	A
17ir40325	1	B	C	A	D	B	A	C	D	C	D	A	D	B	D	A	C	D	A	D	C	C	A
17ir44399	1	A	B	D	B	B	X	B	B	A	C	X	X	C	C	B	D	C	C	B	B	B	C
17ir70980	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
17ir39251	1	A	B	D	B	B	C	C	D	C	C	A	A	B	D	B	C	A	X	D	C	A	B
17ir87643	1	D	C	B	A	D	A	X	A	X	D	X	X	X	C	C	X	X	D	D	X	B	D
17ir62753	1	D	C	C	A	D	X	C	D	X	D	D	X	C	C	X	X	X	X	X	X	C	C
17ir95208	1	D	C	B	A	D	A	A	A	C	B	B	X	C	D	C	X	X	X	X	X	D	X
17ir12183	1	B	C	B	C	D	A	A	A	X	B	A	D	X	B	C	X	X	X	X	A	A	B
17ir27300	1	D	C	C	B	D	A	D	A	C	B	D	B	A	D	C	A	A	D	C	B	D	D
