feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep
17ir43939	1	0	8	8	6	5	<=7	8	8	6	5	<=7
17ir38933	1	0	8	7	7	5	<=7	8	7	7	5	<=7
17ir61626	1	0	8	8	6	5	<=7	8	8	6	5	<=7
17ir47617	1	0	4	18	0	0	<=7	4	18	0	0	<=7
17ir85808	1	0	10	6	6	7	<=7	10	6	6	7	<=7
17ir67197	1	1	13	6	3	10	10-13	13	6	3	10	10-13
17ir79086	1	0	8	7	7	5	<=7	8	7	7	5	<=7
17ir74642	1	0	3	16	3	0	<=7	3	16	3	0	<=7
17ir10608	1	1	15	7	0	12	10-13	15	7	0	12	10-13
17ir40325	1	0	7	15	0	2	<=7	7	15	0	2	<=7
17ir44399	1	0	3	16	3	0	<=7	3	16	3	0	<=7
17ir70980	1	1	22	0	0	20	>=14	22	0	0	20	>=14
17ir39251	1	0	6	15	1	1	<=7	6	15	1	1	<=7
17ir87643	1	1	12	2	8	10	10-13	12	2	8	10	10-13
17ir62753	1	0	5	8	9	2	<=7	5	8	9	2	<=7
17ir95208	1	0	11	4	7	9	8-9	11	4	7	9	8-9
17ir12183	1	0	6	10	6	2	<=7	6	10	6	2	<=7
17ir27300	1	0	13	9	0	9	8-9	13	9	0	9	8-9
17ir91624	1	1	15	7	0	12	10-13	15	7	0	12	10-13
17ir32859	1	0	6	9	7	3	<=7	6	9	7	3	<=7
17ir91617	1	0	8	9	5	5	<=7	8	9	5	5	<=7
17ir59345	1	1	14	5	3	11	10-13	14	5	3	11	10-13
17ir26694	1	0	7	7	8	4	<=7	7	7	8	4	<=7
17ir24832	1	1	16	3	3	14	>=14	16	3	3	14	>=14
17ir23633	1	0	12	5	5	9	8-9	12	5	5	9	8-9
17ir26700	1	1	14	6	2	11	10-13	14	6	2	11	10-13
17ir99002	1	1	19	2	1	17	>=14	19	2	1	17	>=14
