ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
27089	1	E	A	A	B	X	B	D	D	B	B	X	D	C	A	A	E	A	X	B	X	C	E	A	X	A	X	X	D	C	D	D	C	X	D	D	D	D	C	X	C
27068	1	C	C	D	E	B	A	D	D	E	D	E	E	E	C	A	E	B	C	E	E	C	X	X	E	X	E	X	D	D	C	E	A	B	E	A	D	D	D	X	C
27126	1	D	D	C	D	B	B	D	D	E	B	E	A	C	X	A	E	A	B	X	X	D	E	E	X	X	A	D	E	X	C	E	E	X	X	X	C	B	C	X	D
25695	1	E	C	D	B	D	B	X	D	B	C	C	D	C	C	C	E	A	A	B	E	D	X	A	A	X	B	X	A	C	X	E	D	B	D	D	A	C	C	E	B
27299	1	D	C	D	B	X	B	D	D	B	C	D	C	C	D	A	E	C	A	A	C	X	E	A	B	A	B	C	E	D	D	D	D	B	C	E	D	C	D	C	C
26313	1	B	D	D	B	C	A	D	E	B	B	E	D	C	X	A	E	A	E	A	C	C	E	A	E	E	A	A	C	X	C	D	D	C	X	B	D	D	C	B	A
24542	1	E	C	D	A	X	B	D	E	B	C	A	D	B	E	D	E	E	C	E	E	E	E	A	E	E	A	E	D	B	B	E	A	D	X	E	A	D	D	X	D
25104	1	D	C	D	B	C	B	D	E	B	B	E	A	C	D	A	E	A	E	A	C	C	E	E	A	B	B	D	E	D	D	E	C	E	A	C	D	D	D	D	C
26972	1	D	D	B	B	C	B	D	D	E	C	E	A	C	X	A	E	C	B	X	E	C	E	E	E	A	E	B	D	X	D	D	C	E	E	C	D	D	C	C	A
27050	1	D	C	D	C	X	B	D	D	B	A	A	X	E	C	X	E	X	B	X	E	X	X	D	X	X	X	X	E	D	X	E	X	B	X	E	X	D	X	X	A
24254	1	C	C	D	C	C	B	D	E	A	B	B	B	C	C	A	E	A	A	E	E	X	C	E	B	E	A	D	D	A	C	E	C	D	E	D	D	D	B	A	B
24756	1	D	A	B	B	X	B	D	E	E	B	E	A	C	C	B	C	C	E	X	X	X	X	A	E	E	C	X	D	D	E	B	A	E	X	A	C	A	C	X	A
26713	1	D	C	D	B	B	A	D	E	B	A	E	X	A	X	E	E	B	E	C	E	X	E	E	D	A	A	X	E	D	C	E	A	E	X	X	D	D	E	X	C
27083	1	D	C	A	B	B	B	D	D	E	C	E	A	C	X	A	E	A	E	A	E	C	A	A	X	X	A	X	X	X	D	B	A	A	X	X	A	D	E	E	E
27168	1	D	C	D	B	E	B	D	E	B	C	E	A	D	A	D	E	A	X	C	E	C	X	D	E	B	D	X	D	B	E	E	C	C	X	E	D	C	X	B	A
25851	1	D	C	D	D	X	A	D	D	E	B	E	D	X	D	A	E	C	E	X	C	C	E	E	X	A	X	X	D	D	B	E	X	E	X	C	E	D	C	D	C
24888	1	D	D	D	B	B	B	D	C	B	C	E	E	A	C	B	B	B	D	C	E	X	X	D	E	E	C	X	B	C	A	E	B	B	E	C	C	D	E	D	B
26422	1	X	C	B	A	X	B	D	D	B	C	E	A	C	D	A	B	X	B	A	X	C	A	E	X	A	A	X	A	D	C	E	C	B	E	C	B	D	D	D	A
25555	1	D	D	X	A	C	A	D	D	C	C	C	D	C	B	A	C	B	E	X	C	C	E	E	B	C	A	B	D	B	C	D	X	E	C	E	D	D	B	C	A
27238	1	D	A	B	A	E	B	D	E	B	C	C	C	A	A	A	E	C	X	X	E	C	E	X	E	X	B	D	D	D	B	E	B	E	C	C	D	D	X	C	A
26078	1	C	C	A	A	X	B	D	D	E	B	B	B	D	C	D	E	E	X	B	B	C	E	A	B	X	A	A	A	E	E	B	A	D	A	X	A	A	C	A	D
26365	1	E	D	B	E	B	B	D	D	E	B	D	D	C	A	D	B	D	E	B	X	E	E	A	B	E	A	A	D	C	X	E	B	B	A	X	E	C	B	A	B
25898	1	E	D	B	B	B	A	D	B	E	C	D	D	C	X	B	E	B	E	X	C	D	D	A	A	E	A	D	D	D	B	B	C	E	E	C	A	D	C	E	A
26419	1	D	C	D	A	B	B	D	E	B	B	X	E	A	D	E	E	C	A	E	B	E	C	C	B	X	E	C	D	D	C	D	A	B	D	D	A	B	C	C	E
24099	1	D	C	B	B	B	A	D	D	E	C	E	A	D	C	B	E	A	X	X	X	C	E	X	E	X	A	D	C	C	A	E	E	C	D	C	X	D	X	X	C
23970	1	C	C	A	B	B	B	D	D	D	C	A	X	E	X	B	C	X	A	X	X	X	E	X	A	E	A	X	A	A	X	E	X	C	X	D	B	D	E	X	B
26591	1	D	C	D	X	C	B	D	E	A	B	E	X	B	X	D	E	A	A	X	X	C	C	A	X	X	A	A	D	E	X	D	X	C	X	D	C	D	D	X	X
26096	1	C	D	D	C	B	B	D	D	B	B	C	B	C	C	A	E	A	C	X	X	D	E	C	X	C	A	X	D	D	D	E	C	D	X	B	D	D	C	C	B
27252	1	D	C	D	B	A	B	D	E	B	B	C	A	A	X	E	E	X	E	B	E	C	B	X	D	X	B	D	C	D	B	B	A	D	X	E	A	C	C	B	E
26627	1	E	D	D	B	C	B	D	E	B	B	E	X	E	B	A	E	X	B	A	X	E	E	A	X	X	A	X	A	X	X	E	C	X	B	X	B	C	D	C	A
24837	1	D	C	D	X	C	B	D	E	A	B	E	A	E	C	A	E	X	E	A	A	C	E	D	A	B	E	B	C	D	D	E	C	E	X	C	E	D	D	D	E
25506	1	D	C	D	C	C	B	D	D	B	B	E	B	C	X	A	E	A	E	A	C	X	E	E	B	A	B	B	E	D	D	D	C	C	X	E	D	D	D	D	C
26871	1	D	E	D	C	B	B	D	D	B	B	X	C	C	C	B	E	D	D	E	X	D	C	A	E	X	A	E	A	D	C	B	E	A	D	D	E	D	D	C	A
25703	1	D	C	D	C	C	B	D	D	C	B	E	A	C	D	A	E	A	B	X	X	X	E	E	A	A	A	B	E	D	C	D	C	E	C	E	D	D	E	X	C
24917	1	D	A	C	B	C	B	X	X	X	X	A	A	C	A	A	B	A	E	E	E	A	A	E	A	A	A	X	B	D	D	E	D	A	A	D	D	D	E	C	A
25563	1	D	A	D	B	D	B	D	E	B	B	E	A	E	X	A	E	A	E	A	X	C	X	E	A	A	B	B	D	D	C	D	C	X	C	X	D	D	B	D	A
27344	1	D	D	E	B	B	A	X	E	A	C	E	A	C	D	A	E	A	X	X	C	C	E	E	X	E	A	B	D	D	B	E	X	E	C	X	D	D	C	X	C
24102	1	E	C	C	B	B	B	D	E	B	C	E	X	C	D	A	A	X	B	X	X	C	E	E	E	A	B	D	A	A	B	D	D	C	C	C	D	D	D	A	A
24570	1	D	C	D	B	C	B	D	D	B	B	E	X	C	D	B	E	A	A	X	E	X	E	E	X	A	A	B	B	D	C	E	E	E	A	E	X	D	C	D	B
24093	1	D	C	D	B	B	A	D	B	B	C	E	A	E	D	A	E	A	B	D	C	A	A	E	A	B	B	C	D	D	B	D	C	E	A	C	D	D	D	D	C
