ijkID	vragenReeks	geslaagd	academisch-redenerenJuist	academisch-redenerenFout	academisch-redenerenBlanco	academisch-redenerenScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	totaalJuist	totaalFout	totaalBlanco	totaalScore
27297	1	1	9	1	0	9	16	12	2	13	25	13	2	11
25649	1	0	2	4	4	1	13	11	6	10	15	15	10	6
26099	1	0	4	6	0	3	12	17	1	8	16	23	1	5
26832	1	0	6	3	1	5	9	14	7	6	15	17	8	5
26578	1	0	2	3	5	1	5	3	22	4	7	6	27	3
25118	1	1	7	3	0	6	18	11	1	15	25	14	1	11
26166	1	1	9	1	0	9	16	8	6	14	25	9	6	11
26969	1	1	6	4	0	5	16	8	6	14	22	12	6	10
26665	1	1	9	1	0	9	18	8	4	16	27	9	4	12
24943	1	1	8	2	0	8	23	5	2	22	31	7	2	15
24713	1	1	9	1	0	9	16	6	8	15	25	7	8	12
27366	1	1	8	2	0	8	24	6	0	23	32	8	0	15
26684	1	1	6	4	0	5	24	5	1	23	30	9	1	14
26362	1	1	7	3	0	6	16	12	2	13	23	15	2	10
27108	1	1	7	3	0	6	16	13	1	13	23	16	1	10
25501	1	1	5	5	0	4	19	10	1	17	24	15	1	10
26893	1	0	7	3	0	6	7	18	5	3	14	21	5	4
25776	1	1	6	3	1	5	20	5	5	19	26	8	6	12
24692	1	1	7	3	0	6	19	9	2	17	26	12	2	12
27499	1	1	8	2	0	8	19	11	0	16	27	13	0	12
24938	1	1	8	2	0	8	19	11	0	16	27	13	0	12
26361	1	1	6	4	0	5	22	1	7	22	28	5	7	13
25179	1	1	8	1	1	8	16	10	4	14	24	11	5	11
25140	1	1	6	4	0	5	18	5	7	17	24	9	7	11
26452	1	0	7	3	0	6	12	14	4	9	19	17	4	7
26356	1	0	8	1	1	8	12	6	12	11	20	7	13	9
26383	1	1	9	0	1	9	21	7	2	19	30	7	3	14
24720	1	1	8	2	0	8	18	8	4	16	26	10	4	12
27163	1	0	5	4	1	4	12	9	9	10	17	13	10	7
27107	1	1	6	2	2	6	20	3	7	19	26	5	9	12
26151	1	0	6	3	1	5	15	8	7	13	21	11	8	9
26589	1	1	6	2	2	6	15	4	11	14	21	6	13	10
25628	1	1	5	5	0	4	21	4	5	20	26	9	5	12
26457	1	0	6	4	0	5	16	12	2	13	22	16	2	9
25835	1	0	7	3	0	6	14	12	4	11	21	15	4	9
26090	1	0	6	3	1	5	14	10	6	12	20	13	7	8
26716	1	1	6	3	1	5	18	8	4	16	24	11	5	11
25923	1	1	7	2	1	7	22	2	6	22	29	4	7	14
27424	1	0	5	2	3	5	11	11	8	8	16	13	11	6
26460	1	1	10	0	0	10	18	7	5	16	28	7	5	13
25633	1	1	8	2	0	8	16	10	4	14	24	12	4	11
24205	1	1	9	1	0	9	24	3	3	23	33	4	3	16
27427	1	1	6	3	1	5	17	3	10	16	23	6	11	11
26677	1	1	8	2	0	8	18	8	4	16	26	10	4	12
26731	1	1	7	3	0	6	21	5	4	20	28	8	4	13
23919	1	0	7	2	1	7	7	13	10	4	14	15	11	5
26574	1	0	4	5	1	3	9	15	6	5	13	20	7	4
26259	1	0	7	3	0	6	15	10	5	13	22	13	5	9
27441	1	0	4	6	0	3	14	10	6	12	18	16	6	7
25043	1	0	7	3	0	6	14	8	8	12	21	11	8	9
27180	1	1	6	2	2	6	17	6	7	16	23	8	9	11
25448	1	1	8	2	0	8	19	11	0	16	27	13	0	12
26799	1	1	6	4	0	5	18	7	5	16	24	11	5	11
24755	1	1	6	4	0	5	22	7	1	20	28	11	1	13
26579	1	1	9	1	0	9	16	10	4	14	25	11	4	11
