ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
31860	1	D	A	B	X	A	X	A	B	C	B	A	A	D	C	D	X	C	X	C	B	D	A	A	A	A	A	D	B	A	C
31804	1	B	C	B	B	A	C	A	B	C	D	A	A	C	B	D	B	C	D	D	C	D	A	C	A	A	A	C	B	A	A
31853	1	D	C	B	D	A	X	X	X	X	B	A	C	X	X	D	D	X	C	A	B	A	A	A	A	X	X	C	B	X	A
31822	1	D	A	B	B	A	C	X	C	C	D	A	D	D	B	X	B	C	B	A	B	A	A	A	B	A	C	C	D	A	B
31849	1	D	A	B	A	A	B	A	C	C	B	A	C	D	B	X	X	C	B	A	X	D	A	A	A	A	A	C	B	A	X
31805	1	B	C	A	X	A	D	A	B	C	B	A	C	A	B	D	D	C	X	X	D	X	A	A	A	A	A	D	D	X	A
31852	1	D	C	A	X	A	A	A	B	C	B	A	C	A	X	D	X	C	B	X	X	A	X	A	A	B	A	C	D	A	C
31856	1	D	C	B	B	A	B	A	C	C	B	A	C	A	C	D	D	C	D	B	D	A	A	A	A	A	A	C	B	A	B
31848	1	B	B	C	X	A	A	A	D	C	D	A	C	A	A	B	A	C	D	B	B	D	A	A	A	B	C	C	B	C	C
31817	1	D	C	B	A	A	B	D	D	C	D	A	C	A	B	D	B	C	A	B	D	A	B	C	A	A	C	C	D	A	C
31806	1	D	C	B	B	X	X	X	C	C	B	A	A	X	D	B	B	C	D	C	B	D	D	A	A	A	B	C	D	A	B
31873	1	D	C	B	C	A	X	X	C	C	D	C	C	A	X	D	D	C	B	B	D	D	X	A	X	A	A	A	B	X	X
31894	1	D	C	B	X	A	B	X	C	C	B	X	C	A	D	D	D	B	A	X	X	A	A	B	D	A	A	X	X	B	B
31824	1	D	C	B	C	A	X	X	C	C	B	A	C	A	B	D	D	C	B	B	B	A	A	A	A	A	C	X	D	A	A
31881	1	X	C	B	X	A	C	X	X	X	B	D	C	D	X	D	D	C	X	C	C	D	A	A	A	C	C	X	A	A	B
31847	1	D	A	B	C	A	D	A	B	D	B	A	A	A	C	B	C	A	D	A	D	D	A	A	A	X	X	B	A	C	C
31842	1	X	C	B	X	A	X	A	C	X	B	A	C	C	B	D	D	C	X	A	X	X	A	A	A	A	A	C	B	A	X
31874	1	D	C	B	X	A	X	X	B	B	D	A	A	A	D	C	D	B	A	A	B	A	A	X	A	X	X	C	A	C	D
31895	1	C	C	D	D	A	D	B	B	C	B	A	C	A	C	B	B	A	B	B	C	D	A	C	A	D	C	C	D	A	C
31845	1	D	C	B	X	A	X	A	D	C	B	D	C	D	X	D	A	A	X	X	D	A	A	C	A	A	A	D	B	A	C
31905	1	D	C	B	X	A	X	D	X	C	D	A	C	A	C	D	A	B	D	C	C	A	A	A	C	A	A	D	B	X	C
31830	1	B	C	B	X	A	X	A	B	C	B	A	C	D	B	D	D	D	X	C	D	A	A	A	A	A	A	B	D	A	A
31872	1	X	C	C	X	A	X	X	C	C	B	A	C	A	B	D	A	B	A	X	D	A	X	A	A	X	X	A	B	A	X
31902	1	C	C	D	X	A	B	A	B	C	B	A	C	A	B	D	D	D	B	C	D	X	A	A	A	C	A	X	B	X	C
31809	1	B	C	B	X	A	X	X	X	D	B	A	B	A	D	D	C	D	X	D	D	A	A	A	A	A	A	C	B	A	A
31833	1	B	C	B	B	A	A	D	A	D	B	A	C	A	C	D	B	C	B	C	B	A	A	A	A	B	A	C	D	A	A
31884	1	D	C	B	A	A	B	A	C	C	B	A	C	X	B	X	X	C	X	D	X	A	X	X	X	A	A	C	B	A	A
31815	1	D	B	B	D	A	X	X	B	C	A	A	C	D	B	X	D	A	X	C	B	D	X	X	A	X	X	C	B	C	A
31864	1	X	C	B	X	A	X	X	X	B	B	X	X	D	X	C	X	X	B	X	X	A	X	B	B	A	A	C	B	A	A
31906	1	D	C	B	X	A	X	A	C	X	B	D	C	D	B	D	D	C	X	B	X	B	X	A	A	X	X	C	B	A	A
31898	1	D	C	B	C	A	B	A	C	C	B	A	C	C	B	D	B	C	C	A	D	D	A	A	A	A	A	C	B	A	B
31875	1	D	C	B	C	A	X	X	B	C	B	X	C	D	B	D	X	C	A	D	B	A	A	A	D	A	A	C	A	A	A
31859	1	B	A	B	X	B	C	X	D	C	B	B	C	X	B	C	B	C	A	C	B	A	A	A	D	A	C	C	C	X	A
31867	1	C	C	B	C	D	B	C	B	C	B	D	A	A	D	C	D	A	B	C	B	A	A	C	C	A	D	C	B	A	B
31838	1	X	C	B	X	A	X	C	X	X	B	D	A	D	X	C	X	X	X	X	A	X	X	X	X	A	C	C	A	X	X
31854	1	D	A	B	X	A	B	B	C	C	B	A	C	A	C	D	D	C	C	X	D	A	A	A	A	A	A	D	B	C	B
31826	1	D	C	B	X	A	X	X	B	X	B	A	B	B	X	D	D	C	B	A	X	A	X	A	B	A	X	C	A	X	A
31827	1	D	C	B	C	C	C	A	B	C	D	C	C	C	B	D	B	B	C	C	C	A	B	X	A	A	D	C	B	A	B
31876	1	D	D	B	X	A	X	X	C	X	C	C	X	A	D	D	B	C	B	D	B	D	A	X	A	C	D	C	A	A	A
31798	1	D	C	B	B	A	B	A	X	C	B	A	C	D	B	B	B	C	X	B	D	A	A	A	A	A	A	C	X	A	A
31887	1	D	C	B	B	A	D	A	C	C	B	D	C	D	X	C	D	B	X	X	C	A	A	A	A	A	X	C	B	A	A
31862	1	D	A	B	A	A	B	A	C	C	B	C	C	C	B	D	B	C	A	B	D	A	X	A	A	A	X	C	B	A	X
31899	1	D	C	B	A	A	A	X	C	C	B	A	C	D	C	D	D	D	D	C	B	A	A	A	A	B	A	B	B	A	B
31901	1	D	D	B	X	A	X	X	D	C	B	A	C	D	A	D	D	C	D	A	B	D	A	A	A	A	A	B	C	A	A
31832	1	D	C	B	A	A	B	X	C	C	D	A	C	C	B	D	X	C	D	C	X	A	A	A	A	A	A	C	B	A	C
31808	1	D	C	B	X	A	X	X	B	C	D	A	C	A	B	C	D	A	B	B	B	A	X	A	A	A	A	C	D	D	B
31803	1	D	A	B	B	A	B	C	B	C	B	A	C	C	B	D	X	C	B	D	D	A	A	A	A	C	X	C	B	A	A
31813	1	D	C	B	C	A	B	C	C	C	A	D	B	D	X	X	X	X	X	X	B	A	A	A	A	A	X	D	B	X	C
31801	1	D	C	B	C	A	B	B	D	C	B	A	A	D	B	D	D	C	D	D	C	D	B	A	A	A	C	D	B	A	A
31811	1	D	C	B	C	A	B	C	C	C	B	A	C	X	A	D	D	C	B	X	B	X	A	A	A	A	A	C	D	D	C
31831	1	C	B	B	C	A	A	A	C	D	B	A	A	D	C	D	D	C	C	A	C	A	D	C	A	A	A	D	B	A	A
31835	1	D	B	B	X	A	X	C	B	X	B	A	C	D	B	B	X	C	X	C	D	C	X	A	X	A	X	C	B	X	X
31834	1	D	C	B	B	A	A	X	B	C	X	A	D	A	B	D	B	D	C	B	B	A	X	A	A	A	A	B	B	A	A
31843	1	D	C	B	X	A	X	X	X	X	B	X	C	A	B	D	D	C	C	A	D	C	B	A	D	A	X	X	B	X	X
