ijkID	verwerkingsstrategieenScore	stuurloosleergedragScore	zelfcontroleScore	uitstelScore	nieuwsgierigheidScore	testangstScore	emotionelecontroleScore	samenwerkingScore	extraversieScore
31847	15	7	13	7	14	10	14	12	11
31853	15	7	13	5	15	9	14	11	10
31905	12	8	10	8	14	10	15	13	15
31802	14	11	10	8	15	10	15	13	15
31808	13	7	11	5	14	9	11	11	12
31815	12	6	12	10	13	12	13	14	12
31816	15	7	12	6	14	10	13	13	16
31844	15	6	16	6	13	9	13	13	17
31859	13	13	13	6	12	16	9	13	10
31870	12	12	8	10	15	5	17	12	14
31906	13	12	9	14	14	14	14	13	13
31805	16	8	16	5	14	8	15	10	16
31806	15	6	12	5	16	9	12	9	12
31809	13	13	10	8	12	14	11	13	13
31817	17	5	15	5	14	9	15	14	14
31830	14	8	12	7	14	9	16	13	16
31833	16	6	13	7	14	8	14	14	13
31852	15	7	13	5	15	11	11	8	9
31860	16	6	14	7	17	10	15	15	17
31872	13	5	12	8	13	9	14	13	14
31873	14	7	10	7	12	12	15	15	13
31874	12	8	8	17	12	9	15	11	11
31888	16	7	13	6	14	11	13	11	14
31892	15	4	11	8	14	11	10	12	13
31894	16	7	13	9	12	9	14	13	12
31800	15	17	14	6	9	18	13	16	13
31811	15	9	13	10	14	9	14	16	13
31814	15	7	13	6	14	8	15	10	13
31819	15	7	11	12	17	8	15	14	16
31829	15	8	12	5	13	9	14	8	15
31857	14	8	14	6	14	9	15	9	13
31858	13	9	13	9	14	10	9	9	11
31864	13	6	13	9	12	11	11	14	14
31865	15	6	14	4	10	9	15	11	9
31869	17	9	14	4	15	9	15	17	15
31871	16	6	12	7	15	7	17	16	14
31877	14	10	11	7	15	16	11	10	10
31884	14	9	13	10	12	11	15	15	13
31891	16	6	16	5	15	10	15	12	14
31898	17	7	13	6	17	8	15	17	13
31899	16	9	13	7	13	10	16	13	12
31901	15	8	14	7	14	9	15	11	15
31804	17	6	16	4	13	11	13	13	15
31822	17	7	14	5	14	10	13	11	11
31824	17	7	13	5	15	10	13	13	17
31842	14	9	12	8	17	14	17	19	15
31845	16	6	16	6	17	8	15	17	14
31849	18	11	16	6	12	8	11	11	14
31856	18	5	17	4	16	9	11	13	14
31881	17	6	16	5	15	9	15	15	14
31895	15	11	11	8	14	10	12	16	15
31902	17	5	14	4	16	7	16	12	16
31797	18	6	19	4	15	6	20	7	15
31798	17	10	14	7	13	12	15	13	12
31801	18	4	18	4	13	7	17	12	14
31803	18	7	14	6	16	8	16	11	17
31807	18	7	18	4	19	6	15	18	16
31813	17	7	15	4	14	9	13	12	15
31818	17	5	16	5	15	5	17	11	13
31823	15	9	13	7	14	9	13	11	11
31826	15	6	15	6	13	15	11	20	16
31827	17	6	18	5	19	9	17	16	16
31831	15	6	16	4	18	8	17	11	18
31832	17	4	16	4	11	9	13	10	11
31834	17	8	14	5	13	11	13	14	14
31835	14	5	13	5	15	9	16	13	13
31838	18	5	17	4	19	6	17	11	14
31839	16	14	10	7	14	11	15	14	12
31843	18	7	12	6	15	12	13	12	14
31854	16	5	14	5	16	10	13	11	12
31855	16	4	16	5	17	6	15	9	16
31862	16	7	13	7	11	14	14	13	12
31863	16	7	15	5	14	9	14	13	15
31867	16	6	15	4	16	12	13	13	16
31875	17	7	14	6	15	9	15	13	16
31876	15	7	10	7	10	11	9	18	15
31883	14	12	16	10	14	13	11	11	14
31887	15	5	10	8	13	8	14	12	15
31890	15	10	10	7	15	13	12	16	14
31903	15	7	12	7	14	8	12	11	11
