Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,ijkID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,31860,18dwAET302331860,18,B,8,16,10,4,5,6,2,2,1,3,5,2,6,7,3,0,,,,,,,,,,,,,,,,,,,,
,,31804,18dwAET300131804,18,B,8,17,13,0,3,5,5,0,2,4,6,0,7,8,2,0,,,,,,,,,,,,,,,,,,,,
,,31853,18dwAET302131853,18,B,9,15,5,10,5,5,1,4,2,3,4,3,7,7,0,3,,,,,,,,,,,,,,,,,,,,
,,31822,18dwAET300731822,18,B,7,15,13,2,4,5,4,1,2,4,5,1,5,6,4,0,,,,,,,,,,,,,,,,,,,,
,,31849,18dwAET301831849,18,A,14,22,4,4,9,9,1,0,4,5,2,3,8,8,1,1,,,,,,,,,,,,,,,,,,,,
,,31805,18dwAET300231805,18,B,9,16,9,5,4,5,4,1,4,5,3,2,5,6,2,2,,,,,,,,,,,,,,,,,,,,
,,31852,18dwAET302031852,18,B,9,16,8,6,5,6,3,1,3,4,2,4,5,6,3,1,,,,,,,,,,,,,,,,,,,,
,,31856,18dwAET302231856,18,A,13,22,8,0,9,9,1,0,2,4,6,0,9,9,1,0,,,,,,,,,,,,,,,,,,,,
,,31848,18dwAET301731848,18,C,2,10,19,1,1,3,6,1,0,2,8,0,3,5,5,0,,,,,,,,,,,,,,,,,,,,
,,31817,18dwAET300631817,18,B,8,17,13,0,6,7,3,0,3,5,5,0,3,5,5,0,,,,,,,,,,,,,,,,,,,,
,,31806,18dwAET300331806,18,B,5,12,14,4,6,6,1,3,0,1,8,1,3,5,5,0,,,,,,,,,,,,,,,,,,,,
,,31873,18dwAET302631873,18,B,7,14,9,7,5,6,2,2,2,4,5,1,3,4,2,4,,,,,,,,,,,,,,,,,,,,
,,31894,18dwAET303231894,18,B,7,14,9,7,8,8,0,2,0,2,5,3,3,4,4,2,,,,,,,,,,,,,,,,,,,,
,,31824,18dwAET300831824,18,A,11,19,8,3,7,7,1,2,3,5,5,0,6,7,2,1,,,,,,,,,,,,,,,,,,,,
,,31881,18dwAET302831881,18,B,5,11,11,8,4,4,1,5,1,3,5,2,2,4,5,1,,,,,,,,,,,,,,,,,,,,
,,31847,18dwAET301631847,18,C,4,11,17,2,3,5,5,0,1,3,7,0,1,3,5,2,,,,,,,,,,,,,,,,,,,,
,,31842,18dwAET301431842,18,A,11,18,4,8,6,6,0,4,3,4,4,2,8,8,0,2,,,,,,,,,,,,,,,,,,,,
,,31874,18dwAET302731874,18,C,3,9,15,6,3,4,3,3,0,1,9,0,3,4,3,3,,,,,,,,,,,,,,,,,,,,
,,31895,18dwAET303331895,18,C,3,11,19,0,2,4,6,0,1,3,7,0,2,4,6,0,,,,,,,,,,,,,,,,,,,,
,,31845,18dwAET301531845,18,A,10,18,7,5,7,7,1,2,3,4,3,3,6,7,3,0,,,,,,,,,,,,,,,,,,,,
,,31905,18dwAET303731905,18,B,7,14,12,4,4,5,2,3,1,3,7,0,5,6,3,1,,,,,,,,,,,,,,,,,,,,
,,31830,18dwAET301031830,18,A,13,21,6,3,5,6,2,2,6,7,2,1,7,8,2,0,,,,,,,,,,,,,,,,,,,,
,,31872,18dwAET302531872,18,B,9,15,6,9,5,5,1,4,4,5,4,1,5,5,1,4,,,,,,,,,,,,,,,,,,,,
,,31902,18dwAET303531902,18,A,10,18,8,4,5,6,3,1,6,7,3,0,4,5,2,3,,,,,,,,,,,,,,,,,,,,
