ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	ruimtelijkJuist	ruimtelijkFout	ruimtelijkBlanco	ruimtelijkScore
32090	1	1	16	5	1	13	12	5	1	11	7	1	0	8	5	4	1	7	4	0	0	10
32003	1	0	8	10	4	4	5	9	4	2	2	3	3	1	3	6	1	2	3	1	0	7
32029	1	0	8	6	8	5	5	5	8	4	3	3	2	3	2	2	6	3	3	1	0	7
32113	1	0	4	10	8	1	3	7	8	1	2	3	3	1	1	4	5	0	1	3	0	0
32121	1	0	7	3	12	5	4	2	12	4	4	2	2	4	0	0	10	0	3	1	0	7
31995	1	0	6	11	5	2	3	10	5	0	1	6	1	0	2	4	4	1	3	1	0	7
31973	1	0	9	9	4	5	5	9	4	2	3	4	1	2	2	5	3	1	4	0	0	10
32054	1	1	18	1	3	16	14	1	3	15	7	1	0	8	7	0	3	14	4	0	0	10
32050	1	0	9	5	8	7	7	3	8	7	5	1	2	6	2	2	6	3	2	2	0	3
31914	1	0	7	7	8	4	7	4	7	6	5	3	0	5	2	1	7	3	0	3	1	0
32144	1	0	11	2	9	9	7	2	9	7	5	1	2	6	2	1	7	3	4	0	0	10
32117	1	0	12	5	5	9	10	4	4	10	7	1	0	8	3	3	4	4	2	1	1	4
31970	1	0	7	9	6	4	4	8	6	1	2	5	1	0	2	3	5	2	3	1	0	7
32007	1	0	10	7	5	7	7	6	5	6	5	1	2	6	2	5	3	1	3	1	0	7
32037	1	0	13	5	4	10	9	5	4	8	6	1	1	7	3	4	3	3	4	0	0	10
32052	1	0	11	8	3	8	8	7	3	6	4	4	0	3	4	3	3	6	3	1	0	7
31990	1	0	9	13	0	4	6	12	0	2	4	4	0	3	2	8	0	0	3	1	0	7
32086	1	0	7	13	2	2	5	11	2	1	3	3	2	3	2	8	0	0	2	2	0	3
31927	1	0	8	9	5	5	6	7	5	4	3	3	2	3	3	4	3	3	2	2	0	3
31943	1	1	14	4	4	12	10	4	4	10	7	1	0	8	3	3	4	4	4	0	0	10
31920	1	0	9	6	7	6	7	4	7	6	5	2	1	5	2	2	6	3	2	2	0	3
32091	1	0	6	6	10	4	5	3	10	4	3	2	3	3	2	1	7	3	1	3	0	0
31957	1	1	17	4	1	14	14	3	1	14	8	0	0	10	6	3	1	10	3	1	0	7
31994	1	0	9	5	8	7	6	4	8	5	5	1	2	6	1	3	6	0	3	1	0	7
32079	1	0	11	3	8	9	9	3	6	9	6	2	0	7	3	1	6	5	2	0	2	5
31929	1	0	8	6	8	5	7	3	8	7	4	2	2	4	3	1	6	5	1	3	0	0
31961	1	0	6	8	8	3	3	7	8	1	3	3	2	3	0	4	6	0	3	1	0	7
32096	1	1	17	1	4	15	13	1	4	14	7	0	1	9	6	1	3	11	4	0	0	10
31918	1	1	15	4	3	12	11	4	3	11	7	1	0	8	4	3	3	6	4	0	0	10
31958	1	0	13	4	5	11	9	4	5	9	7	1	0	8	2	3	5	2	4	0	0	10
32140	1	0	9	4	9	7	7	3	8	7	4	2	2	4	3	1	6	5	2	1	1	4
32014	1	0	6	4	12	4	4	2	12	4	2	1	5	2	2	1	7	3	2	2	0	3
32095	1	1	17	0	5	15	13	0	5	14	7	0	1	9	6	0	4	12	4	0	0	10
31915	1	1	12	1	9	11	9	1	8	10	6	0	2	8	3	1	6	5	3	0	1	8
32097	1	1	15	2	5	13	11	2	5	11	8	0	0	10	3	2	5	5	4	0	0	10
32006	1	0	9	3	10	7	6	3	9	6	3	3	2	3	3	0	7	6	3	0	1	8
31937	1	1	14	1	7	12	10	1	7	11	7	0	1	9	3	1	6	5	4	0	0	10
31910	1	0	13	5	4	10	9	5	4	8	6	2	0	7	3	3	4	4	4	0	0	10
32116	1	0	11	6	5	8	9	4	5	9	6	0	2	8	3	4	3	3	2	2	0	3
32068	1	0	8	14	0	3	5	13	0	1	1	7	0	0	4	6	0	4	3	1	0	7
