ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
32090	1	C	C	B	D	B	D	A	A	C	A	D	A	D	A	X	B	B	A	B	B	A	D
32003	1	C	D	X	B	X	D	X	B	A	A	D	X	C	D	A	B	D	A	B	B	C	D
32029	1	B	C	B	X	X	B	A	A	C	X	D	A	A	X	X	X	X	X	B	D	A	D
32113	1	X	D	X	A	C	D	X	A	X	D	X	B	A	X	X	D	X	C	C	C	A	A
32121	1	C	D	B	X	X	D	A	A	X	X	X	X	X	X	X	X	X	X	D	B	A	D
31995	1	D	D	B	A	X	B	C	B	C	X	X	A	B	D	X	D	X	A	A	B	A	D
31973	1	C	B	B	B	X	C	B	A	B	C	X	C	B	A	X	X	C	B	B	B	A	D
32054	1	C	C	B	D	B	D	A	A	X	A	A	A	X	A	A	X	B	A	B	B	A	D
32050	1	C	C	X	D	A	D	X	A	X	B	X	X	C	X	X	X	B	A	B	D	A	A
31914	1	C	B	C	D	B	D	A	A	X	A	X	D	X	X	A	X	X	X	D	D	B	X
32144	1	C	D	B	D	X	D	X	A	C	X	X	A	X	X	X	X	X	A	B	B	A	D
32117	1	C	C	B	D	B	B	D	A	A	A	X	A	B	X	A	C	X	X	X	A	A	D
31970	1	C	D	C	B	X	B	B	A	D	X	X	A	B	X	D	X	X	A	C	B	A	D
32007	1	C	C	B	B	X	D	X	A	A	A	C	X	B	X	D	A	X	C	B	D	A	D
32037	1	C	C	B	D	X	D	B	A	X	C	B	X	X	A	A	D	C	A	B	B	A	D
32052	1	B	C	A	D	C	B	D	A	D	A	D	A	B	X	A	X	X	A	B	B	B	D
31990	1	B	B	B	C	B	D	A	A	D	D	D	A	A	B	C	B	D	C	B	D	A	D
32086	1	A	D	X	D	X	D	D	D	A	D	A	C	D	A	B	B	C	B	B	D	D	D
31927	1	C	D	A	X	X	D	A	A	B	X	A	A	B	C	X	D	C	X	C	B	A	A
31943	1	C	C	B	D	B	D	A	A	A	A	B	D	X	X	A	X	X	A	B	B	A	D
31920	1	C	D	B	D	X	B	D	A	X	X	B	A	B	X	X	X	X	A	A	B	B	D
32091	1	X	C	B	D	A	B	X	X	X	B	X	A	X	X	X	A	X	X	C	B	C	C
31957	1	C	C	B	D	B	D	D	A	X	A	A	A	B	A	B	C	B	A	B	B	B	D
31994	1	X	C	B	D	X	D	B	A	X	C	B	A	D	X	X	X	X	X	D	B	A	D
32079	1	A	C	B	D	B	D	C	A	X	A	B	A	X	X	A	X	X	X	X	B	A	X
31929	1	X	B	B	D	B	B	X	A	X	A	X	A	X	X	A	B	X	X	C	D	D	D
31961	1	D	D	X	D	X	D	A	A	X	B	C	X	B	X	X	B	X	X	B	D	A	D
32096	1	C	C	B	D	B	D	X	A	B	X	A	A	A	X	A	X	C	A	B	B	A	D
31918	1	D	C	B	D	B	D	D	A	C	A	X	D	A	X	A	X	C	A	B	B	A	D
31958	1	C	C	B	D	B	D	A	A	C	B	C	A	A	X	X	X	X	X	B	B	A	D
32140	1	B	D	B	D	X	D	X	A	B	A	X	X	X	X	A	C	X	X	B	B	B	X
32014	1	X	D	X	X	X	D	X	A	B	X	B	A	X	X	X	X	X	X	A	D	A	D
32095	1	C	C	B	D	B	D	X	A	B	A	A	A	A	X	X	X	X	A	B	B	A	D
31915	1	X	C	B	D	B	D	X	A	X	A	A	B	X	X	X	A	X	X	X	B	A	D
32097	1	C	C	B	D	B	D	D	A	A	A	B	A	X	X	A	X	X	X	B	B	A	D
32006	1	A	D	B	B	X	D	X	A	B	A	X	A	X	X	X	X	X	X	X	B	A	D
31937	1	C	C	B	D	B	D	X	A	X	A	A	C	X	X	X	X	X	A	B	B	A	D
31910	1	C	C	B	B	B	D	A	A	A	X	A	D	B	X	X	X	B	A	B	B	A	D
32116	1	C	C	B	X	X	D	D	A	B	X	D	D	D	X	A	D	X	A	C	B	B	D
32068	1	B	A	A	D	C	A	C	B	B	A	D	A	A	C	B	C	D	B	B	B	B	D
