vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	40	23	6	3	5	23	3
2	C	40	22	0	1	4	22	13
3	B	40	29	6	3	29	2	0
4	D	40	26	5	2	6	1	26
5	B	40	17	18	2	17	3	0
6	D	40	30	0	1	8	1	30
7	D	40	8	14	11	4	3	8
8	A	40	35	1	35	3	0	1
9	B	40	9	15	7	9	6	3
10	A	40	19	11	19	4	3	3
11	A	40	9	14	9	7	3	7
12	A	40	23	7	23	2	3	5
13	A	40	8	15	8	11	2	4
14	A	40	6	29	6	1	2	2
15	A	40	14	20	14	3	1	2
16	A	40	3	22	3	6	4	5
17	B	40	5	26	0	5	6	3
18	A	40	18	16	18	3	3	0
19	B	40	24	4	3	24	6	3
20	B	40	29	0	1	29	1	9
21	A	40	29	0	29	7	2	2
22	D	40	33	3	3	0	1	33
