ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
33770	1	C	B	A	B	D	D	D	B	D	C	A	B	A	B	C	C	D	B	A	D	D	C	C	B	B
33482	1	C	B	A	D	D	B	D	B	D	C	A	B	A	B	C	C	A	C	A	A	B	C	X	B	X
32679	1	C	B	A	B	D	B	C	B	D	C	A	B	C	B	A	C	D	C	A	D	D	D	C	B	C
33881	1	B	B	A	B	B	B	D	B	D	C	C	A	A	B	D	C	A	B	C	B	B	C	D	D	B
33649	1	C	B	A	B	D	B	C	X	D	C	A	X	X	X	X	X	D	C	A	D	B	X	X	A	X
33546	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	X	B	B
32788	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
33009	1	C	B	A	B	D	D	D	B	D	C	A	X	X	B	A	D	D	C	A	D	B	D	X	B	B
33070	1	D	C	A	C	D	D	C	C	C	B	C	A	B	D	C	D	C	A	D	D	B	B	C	A	C
32667	1	C	B	A	B	D	B	X	B	D	C	A	B	X	B	A	C	A	C	A	X	B	D	C	B	D
33511	1	A	A	A	B	D	C	A	B	D	C	A	C	D	B	A	C	B	C	A	A	A	C	C	C	B
33016	1	C	B	D	A	D	B	D	B	D	C	A	B	B	B	A	C	D	C	A	D	D	C	C	C	B
32931	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	B	B	B
33820	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	C	D	C	A	D	D	D	C	B	D
33323	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	X	C	D	C	A	D	D	X	C	B	X
33747	1	D	B	A	D	D	B	D	B	C	C	A	B	A	B	B	C	D	C	B	A	D	C	A	C	A
33814	1	C	B	A	B	D	D	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	X	B	B
33623	1	C	B	A	B	D	A	D	A	D	C	A	B	C	C	A	C	C	B	A	B	B	B	A	D	C
32617	1	X	B	A	B	D	C	X	B	D	C	A	X	A	D	A	B	X	C	D	X	D	B	X	B	C
33127	1	C	B	D	B	D	B	D	B	D	C	A	B	A	B	A	C	A	C	A	X	D	D	X	B	D
33491	1	C	B	A	B	D	B	D	B	D	C	C	B	A	A	B	C	D	B	A	A	B	D	C	C	D
32480	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	C	D	X	X	B	B
33920	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	C	D	B	B
32320	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	B	C	C	B	C
33468	1	C	B	A	B	D	B	A	B	D	C	A	X	X	D	A	C	D	C	A	A	C	D	C	B	X
33756	1	C	B	D	A	D	B	D	B	B	C	A	A	X	B	C	C	D	C	A	X	B	D	A	X	D
33248	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	C	B	B
33176	1	C	B	A	B	D	B	A	B	D	C	A	B	X	B	X	C	D	B	X	D	D	X	X	D	B
33440	1	C	B	A	B	D	B	D	B	D	C	A	A	C	B	A	C	D	D	A	X	D	X	X	B	X
33721	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	D	C	D	C	A	D	D	D	C	B	B
33753	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	A	D	D	C	B	B
33833	1	C	B	A	B	D	D	C	B	D	C	A	X	A	B	A	C	X	C	X	D	B	D	X	B	X
33731	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	A	C	B	B
33615	1	C	B	A	B	D	B	D	B	D	C	A	B	X	X	A	X	D	C	X	X	X	X	X	X	X
33364	1	C	B	A	B	D	B	D	B	D	X	A	X	A	B	D	C	C	C	X	X	C	C	C	B	B
32776	1	C	B	A	B	D	B	D	B	D	C	A	B	A	A	A	C	D	C	A	D	D	C	C	B	B
33277	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	B	B	D	C	A	A	B	C	C	B	B
32963	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	X	C	D	C	A	X	D	C	C	B	X
32461	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	A	C	D	D	A	C	B	D	D	B	B
32799	1	C	B	A	B	D	D	D	B	D	C	A	X	A	B	D	C	D	C	A	D	D	C	C	B	B
32472	1	C	B	A	B	D	B	D	B	D	C	C	A	X	A	A	C	A	B	A	D	B	C	X	B	B
33501	1	C	B	A	B	B	D	C	D	D	B	C	B	C	D	C	C	D	D	A	A	A	A	D	C	B
33462	1	C	B	A	B	D	B	X	B	D	C	A	B	X	B	B	C	D	D	A	X	X	X	X	B	X
32538	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	A	C	A	D	D	B	C	B	B
33082	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	X	B	B
33529	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	B	C	D	C	A	A	D	D	C	B	A
33017	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	C	C	D	C	A	D	D	C	C	B	B
33063	1	C	B	A	B	B	C	D	B	D	C	A	X	A	D	X	C	A	C	A	A	B	X	B	X	D
33388	1	C	B	A	B	D	B	D	B	B	C	A	B	B	B	A	C	D	D	A	D	D	A	C	B	B
