ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25
q1216554	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	X	A	D	B	A	C	B	X
q1166487	1	C	B	X	D	D	B	C	X	D	C	X	A	A	B	X	C	X	D	A	D	C	X	X	A	X
q1166482	1	X	C	C	B	D	B	D	X	D	C	A	X	X	B	X	C	A	C	A	X	C	X	X	X	X
q1166480	1	C	B	A	B	D	B	D	X	B	X	D	X	X	X	X	B	X	X	A	D	X	X	X	X	X
q1218189	1	C	B	A	B	D	B	B	B	D	A	A	X	D	B	X	C	A	C	X	X	D	X	X	B	X
q0925743	1	X	B	A	B	D	B	D	B	D	C	A	B	A	B	X	C	A	C	A	X	D	X	X	B	X
q1196439	1	C	B	A	B	B	B	D	X	D	C	B	X	C	B	B	C	D	C	C	X	B	X	D	X	X
q1139647	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	B	C	X	B	A
q1165495	1	C	B	A	A	D	A	D	B	D	C	A	B	X	B	A	C	D	C	X	C	D	X	B	B	B
q1145674	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	A	C	A	C	C	A	C	D	X
q0902511	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	D	A	D	B	X	C	B	B
q1165048	1	C	B	A	B	D	B	D	B	D	C	D	B	C	B	X	C	A	C	A	A	C	X	C	A	X
q1178443	1	C	B	A	B	D	B	D	B	D	A	A	X	A	B	X	C	X	D	X	D	C	X	X	B	B
q0978105	1	C	B	A	A	D	B	D	B	B	C	A	X	X	B	A	C	A	C	D	X	B	X	X	X	B
q1098280	1	C	D	A	B	D	C	D	B	D	C	A	B	X	B	X	C	A	C	X	A	X	X	C	D	X
q1156137	1	C	B	A	B	D	B	A	X	D	C	A	X	X	B	D	C	X	B	A	A	B	C	X	B	B
q1156136	1	X	B	A	B	D	B	X	X	D	C	X	X	A	B	X	C	X	C	A	D	X	X	X	X	D
q0975127	1	C	B	A	B	D	B	D	B	D	C	X	B	X	B	A	C	D	C	A	X	B	X	X	B	X
q1205122	1	C	B	A	B	D	B	D	B	D	C	X	B	X	B	A	C	D	C	A	X	B	X	X	B	X
q1165049	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	B	D	C	B	B
q1165056	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	B	D	C	B	B
q1142335	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	B	D	C	B	B
q1165044	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	B	D	C	B	B
q1192934	1	C	B	A	B	D	B	C	B	D	C	A	A	D	D	A	C	A	B	A	D	C	C	C	C	B
q1150416	1	C	B	A	B	D	B	D	B	D	C	C	B	B	B	A	C	A	D	A	D	D	X	C	C	X
q1166330	1	C	B	C	A	D	A	A	X	D	C	D	A	A	B	A	C	A	X	A	A	B	D	A	D	A
q1166337	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	D
q1143814	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	X	C	A	D	D	C	B	B	B
q1178275	1	C	B	A	B	D	B	D	B	D	C	A	A	A	B	A	C	A	C	A	D	B	B	X	B	D
q0976716	1	C	B	A	B	D	B	X	B	D	C	A	X	B	D	B	C	D	A	A	X	D	C	C	X	B
q1178673	1	C	B	A	B	D	B	X	B	D	C	A	X	B	D	B	C	D	A	A	X	D	C	C	X	B
q1165051	1	C	B	A	B	D	A	C	B	D	C	D	B	B	B	C	C	D	C	A	B	B	B	B	B	B
q1146436	1	C	B	A	B	D	B	X	B	D	C	X	B	X	B	A	C	X	C	A	A	X	D	X	B	X
q1180329	1	A	B	A	D	D	B	D	C	D	X	A	B	B	C	X	C	C	C	A	X	X	C	X	B	X
q1203303	1	X	B	A	C	D	C	X	X	D	X	X	X	D	X	X	X	X	D	A	A	A	A	B	X	A
q1196674	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	A	X	D	X	A	D	D	X	C	B	X
q1178272	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	X	C	A	X	B	X	B	B	X
q1220593	1	C	B	A	B	A	B	D	B	B	C	A	B	X	B	A	C	D	C	X	D	D	X	X	B	B
q1006359	1	C	B	A	B	D	B	A	B	D	C	A	B	A	B	A	C	D	C	A	A	B	D	C	B	A
q1167840	1	C	B	A	B	D	B	D	B	D	X	B	B	A	B	X	C	C	C	A	D	D	C	X	B	X
q1156194	1	C	B	A	B	D	B	D	X	D	D	A	X	X	X	D	C	D	C	A	X	X	A	B	B	X
q1218617	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	X	C	X	X	X	C	X	X	X	X	X
q1171007	1	C	B	A	B	C	C	B	X	D	X	A	X	X	B	X	C	X	X	X	D	X	X	X	X	A
q1166089	1	X	B	A	D	B	B	B	B	D	C	X	B	X	B	X	X	C	D	X	C	B	C	D	X	X
q1178271	1	B	B	A	B	D	C	C	B	D	C	A	C	B	A	C	C	C	C	A	B	D	C	D	B	D
q1152913	1	C	B	C	B	D	B	D	C	D	C	B	C	D	B	A	C	B	C	A	B	D	C	A	C	D
q1178646	1	X	B	X	B	B	B	X	X	D	X	X	X	X	B	X	X	X	X	X	A	X	X	X	B	X
q1391930	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	C	B
q1446121	1	C	B	A	C	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B
q1422987	1	C	B	A	C	D	B	D	B	D	C	A	X	X	X	D	D	A	D	A	C	B	X	C	B	B
q1320662	1	C	B	A	B	D	B	D	B	D	C	A	X	X	X	X	X	X	X	X	X	X	X	X	X	X
