ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore
q1458963	1	0	15	10	0	9	10	0	0	10	5	10	0	2
q1417869	1	0	15	10	0	9	10	0	0	10	5	10	0	2
q1379583	1	1	18	6	1	13	10	0	0	10	8	6	1	6
q1455819	1	0	10	12	3	5	8	2	0	7	2	10	3	0
q1391908	1	1	23	2	0	18	10	0	0	10	13	2	0	12
q1400822	1	1	24	1	0	19	10	0	0	10	14	1	0	14
q1390771	1	1	17	1	7	13	8	0	2	8	9	1	5	9
q1382215	1	1	16	4	5	12	9	0	1	9	7	4	4	6
q1392361	1	0	14	11	0	8	6	4	0	5	8	7	0	6
q1442399	1	1	20	4	1	15	9	1	0	9	11	3	1	10
q0826738	1	0	1	3	21	0	1	3	6	0	0	0	15	0
r0843765	1	1	21	4	0	16	10	0	0	10	11	4	0	10
r0798734	1	0	13	4	8	9	9	0	1	9	4	4	7	3
r0845604	1	1	14	6	5	10	9	1	0	9	5	5	5	3
r0840924	1	1	22	3	0	17	10	0	0	10	12	3	0	11
r0840107	1	0	11	3	11	8	7	1	2	7	4	2	9	3
r0837942	1	1	18	4	3	13	9	1	0	9	9	3	3	8
r0839486	1	0	13	8	4	8	8	2	0	7	5	6	4	3
r0840752	1	1	19	2	4	15	10	0	0	10	9	2	4	8
r0834595	1	1	15	5	5	11	9	1	0	9	6	4	5	5
r0708074	1	0	13	6	6	9	8	2	0	7	5	4	6	4
r0839582	1	0	11	14	0	5	6	4	0	5	5	10	0	2
r0857469	1	1	14	4	7	10	9	1	0	9	5	3	7	4
r0811286	1	1	18	2	5	14	9	1	0	9	9	1	5	9
r0855741	1	0	15	10	0	9	8	2	0	7	7	8	0	4
r0837941	1	1	20	4	1	15	10	0	0	10	10	4	1	9
r0856174	1	1	20	3	2	15	10	0	0	10	10	3	2	9
r0825085	1	1	14	6	5	10	6	3	1	5	8	3	4	7
r0843758	1	1	21	3	1	16	10	0	0	10	11	3	1	10
r0834784	1	1	19	4	2	14	9	1	0	9	10	3	2	9
r0856154	1	1	21	1	3	17	10	0	0	10	11	1	3	11
r0848649	1	0	13	5	7	9	9	0	1	9	4	5	6	2
r0850169	1	1	21	2	2	16	10	0	0	10	11	2	2	10
r0849682	1	1	24	0	1	19	10	0	0	10	14	0	1	14
r0848650	1	1	21	2	2	16	9	1	0	9	12	1	2	12
r0837927	1	1	15	5	5	11	8	1	1	8	7	4	4	6
r0892869	1	1	19	1	5	15	10	0	0	10	9	1	5	9
r0842847	1	1	20	3	2	15	10	0	0	10	10	3	2	9
r0853423	1	0	13	12	0	7	5	5	0	3	8	7	0	6
r0837928	1	1	20	3	2	15	9	1	0	9	11	2	2	10
r0835818	1	1	19	4	2	14	10	0	0	10	9	4	2	8
r0837937	1	1	17	4	4	13	9	0	1	9	8	4	3	7
r0855872	1	1	18	4	3	13	9	0	1	9	9	4	2	8
r0849675	1	1	18	6	1	13	10	0	0	10	8	6	1	6
r0849684	1	0	14	7	4	9	6	3	1	5	8	4	3	7
r0837443	1	1	22	3	0	17	10	0	0	10	12	3	0	11
r0837441	1	1	23	0	2	18	10	0	0	10	13	0	2	13
r0850724	1	0	10	9	6	6	8	1	1	8	2	8	5	0
r0853864	1	1	14	6	5	10	7	2	1	6	7	4	4	6
