ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
34163	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	B	D	D
34531	1	X	C	B	B	D	X	D	A	C	D	B	A	X	D	C	X	B	D	X	X	X	D
34671	1	D	B	B	A	D	X	C	A	X	D	X	X	X	D	C	X	X	D	D	C	D	D
33981	1	D	C	B	C	D	A	D	A	X	D	X	A	C	D	C	B	B	X	B	A	A	D
34334	1	D	C	B	B	D	A	D	A	C	C	B	A	C	X	D	X	B	D	D	X	D	D
34504	1	D	C	B	B	D	A	D	A	C	D	B	A	X	D	C	X	B	D	D	B	A	A
34764	1	D	C	B	B	D	A	D	A	C	D	X	X	X	D	C	A	B	X	X	C	B	D
34718	1	D	C	D	B	C	A	B	A	C	D	B	A	C	B	C	C	B	D	B	C	D	C
34319	1	X	C	B	B	D	D	A	A	C	D	A	A	X	D	C	A	B	D	D	A	A	D
34187	1	D	C	B	B	D	A	B	A	X	B	B	A	C	X	X	X	X	D	C	A	D	B
34697	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	X	D	X	D	D
34711	1	D	C	B	B	D	A	A	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
34670	1	D	C	C	B	X	D	D	A	X	C	X	X	C	D	C	X	X	X	X	X	C	X
34528	1	D	C	B	B	A	C	D	A	C	D	B	A	C	D	C	D	B	C	B	D	D	B
34610	1	D	C	B	B	D	A	D	A	C	B	D	A	C	D	C	D	B	D	D	C	A	D
34850	1	D	C	B	B	D	A	B	A	A	A	D	X	C	D	C	X	D	C	A	A	B	B
34102	1	D	C	B	B	D	A	D	A	C	D	B	A	B	D	C	A	B	D	X	C	B	D
34544	1	D	C	B	B	D	A	D	A	C	D	X	A	C	D	C	A	B	D	C	C	B	D
34426	1	D	C	B	B	D	C	B	A	C	D	C	X	C	D	C	X	D	D	D	C	B	D
33968	1	D	C	B	B	D	A	D	A	C	D	X	A	X	D	C	A	X	X	X	X	X	B
34752	1	D	C	B	B	D	X	D	A	C	D	B	X	X	C	D	X	B	X	D	X	B	D
34675	1	D	C	B	B	D	C	D	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
