ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
32582	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	A	C	A	D	A	C	B	B	B
32237	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	A	D	A	D	B	D	C	B	X	C	B	C	A	D	A	C	B	B	B
32592	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	D	C	B	B	C	B	C	A	D	B	C	B	B	B
33683	1	C	B	A	B	D	B	D	B	D	C	X	B	A	B	X	C	D	C	A	D	C	C	C	B	B	C	B	C	A	X	A	C	B	B	B
32966	1	C	B	A	B	D	C	A	B	D	C	A	B	A	B	C	D	A	C	C	B	D	B	C	B	B	C	C	C	C	D	C	C	B	B	B
33815	1	C	B	A	B	D	B	D	B	D	C	C	B	A	X	A	C	D	C	A	X	D	C	C	B	B	C	D	A	A	D	A	C	B	B	B
33455	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	D	B	D	C	A	B	A	D	A	C	B	C	B
32781	1	C	B	A	B	D	C	D	B	B	C	A	B	X	B	X	C	A	C	A	X	D	C	X	X	X	C	B	B	A	A	A	C	C	B	B
33860	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	X	C	A	D	B	X	C	B	D	C	B	B	A	D	X	C	B	B	B
33917	1	C	B	A	B	D	B	D	B	D	C	A	C	A	A	A	C	C	C	C	C	A	C	C	B	B	C	A	B	A	A	B	C	B	B	B
32374	1	C	B	A	B	D	B	C	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	D	C	A	C	A	D	A	C	A	B	B
32452	1	C	B	A	B	D	B	D	B	D	C	C	B	A	C	A	C	D	C	A	B	D	C	C	B	A	C	D	B	A	D	A	C	B	B	B
33522	1	C	B	A	B	D	B	D	B	D	C	C	X	B	B	A	C	D	B	X	X	B	X	X	B	B	C	B	C	A	D	A	C	B	B	B
33131	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
33843	1	A	B	A	B	D	B	C	B	B	C	A	D	B	A	B	B	B	C	A	C	B	B	A	B	A	C	B	C	A	D	B	D	B	A	C
33060	1	C	B	A	B	D	B	D	B	D	C	A	B	B	B	A	C	D	C	C	X	B	X	C	B	B	C	D	C	D	A	A	D	C	B	B
33383	1	C	B	A	B	D	X	D	B	D	C	A	X	X	B	X	D	X	C	A	A	B	B	X	X	X	B	A	X	A	D	X	C	C	B	B
