ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
q1371828	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	D	C	D	C	A	D	B	X	X	B	X	C	B	C	A	D	B	B	A	B	B
q1461911	1	C	B	A	B	D	X	D	B	D	C	A	X	X	B	X	X	D	X	A	X	B	X	X	X	X	B	B	C	D	A	C	C	X	B	B
q1430198	1	X	B	A	B	D	B	D	X	D	C	A	B	X	B	X	B	A	C	X	X	D	D	X	X	X	B	B	C	A	X	A	X	X	B	X
q1383455	1	C	B	D	B	D	B	D	B	D	C	C	C	A	B	X	C	D	C	A	D	D	X	X	B	B	X	B	C	A	X	B	C	X	B	B
q1337919	1	C	B	A	C	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	X	B	D	C	A	C	A	X	B	B	X	B	C
q0967475	1	C	B	A	B	D	C	D	B	D	C	A	B	A	B	A	C	D	C	A	C	D	D	C	B	D	C	A	X	A	X	X	X	X	X	X
q0982724	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	D	A	D	D	X	X	B	B	C	B	C	A	D	B	A	A	B	B
q1382535	1	C	B	A	B	D	B	D	B	C	C	A	B	A	B	A	C	D	C	A	D	D	D	X	X	A	C	C	C	A	A	A	C	C	C	B
q1422784	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	D	C	X	B	B	C	X	A	A	D	A	C	A	B	B
q1403226	1	C	B	A	B	D	B	D	B	D	C	X	X	A	B	X	C	C	X	C	D	A	D	C	X	X	C	A	X	A	X	C	A	X	A	D
q1400968	1	C	B	A	D	D	B	D	B	D	C	A	B	D	B	C	C	D	B	A	X	D	X	C	B	X	D	B	C	A	C	A	C	B	B	B
q1233055	1	X	X	C	B	X	B	D	X	D	X	X	X	B	X	X	X	D	X	A	X	A	X	X	X	X	X	D	X	A	X	X	X	B	B	D
q1404892	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	B	D	D	D	X	B	B	C	B	C	A	D	B	C	B	B	B
q1443179	1	C	B	A	B	D	B	D	C	D	C	X	B	X	X	A	C	D	C	A	X	X	X	X	X	X	C	B	C	A	X	A	C	B	B	B
