scoreNaam	groepLabel	kleur	aantal
totaal	<8	rgb(255,140,0)	55
totaal	8-12	rgb(255,215,0)	53
totaal	>=13	rgb(144,238,144)	43
wiskunde	<8	rgb(255,140,0)	55
wiskunde	8-12	rgb(255,215,0)	53
wiskunde	>=13	rgb(144,238,144)	43
