ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	chemie_fysicaJuist	chemie_fysicaFout	chemie_fysicaBlanco	chemie_fysicaScore
34013	1	1	21	1	0	19	16	0	0	16	5	1	0	5
34212	1	1	18	1	3	16	14	0	2	14	4	1	1	4
34060	1	1	17	3	2	15	14	2	0	13	3	1	2	3
34175	1	1	16	5	1	13	10	5	1	8	6	0	0	6
34297	1	1	21	0	1	19	15	0	1	15	6	0	0	6
34587	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34282	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34398	1	1	16	2	4	14	12	2	2	11	4	0	2	4
34558	1	1	20	1	1	18	15	0	1	15	5	1	0	5
34773	1	1	14	8	0	10	12	4	0	11	2	4	0	1
33994	1	1	15	3	4	13	13	0	3	13	2	3	1	1
34193	1	1	17	3	2	15	11	3	2	10	6	0	0	6
34831	1	1	16	3	3	14	14	0	2	14	2	3	1	1
34006	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34816	1	1	17	5	0	14	13	3	0	12	4	2	0	3
34566	1	1	20	2	0	18	14	2	0	13	6	0	0	6
34604	1	1	19	3	0	16	15	1	0	15	4	2	0	3
33954	1	0	6	12	4	2	5	8	3	2	1	4	1	0
34167	1	1	20	1	1	18	15	1	0	15	5	0	1	5
34660	1	1	18	3	1	15	13	2	1	12	5	1	0	5
34082	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34638	1	0	10	9	3	6	7	8	1	4	3	1	2	3
34085	1	1	13	5	4	10	9	3	4	8	4	2	0	3
34612	1	1	14	6	2	11	10	5	1	8	4	1	1	4
34797	1	1	13	4	5	11	9	2	5	8	4	2	0	3
34051	1	1	20	2	0	18	15	1	0	15	5	1	0	5
34113	1	1	21	1	0	19	15	1	0	15	6	0	0	6
34745	1	1	15	3	4	13	9	3	4	8	6	0	0	6
33963	1	1	19	3	0	16	14	2	0	13	5	1	0	5
34375	1	1	18	2	2	16	15	1	0	15	3	1	2	3
34138	1	0	7	7	8	4	6	3	7	5	1	4	1	0
34749	1	0	8	14	0	3	6	10	0	3	2	4	0	1
34367	1	1	19	2	1	17	13	2	1	12	6	0	0	6
34063	1	1	16	2	4	14	14	2	0	13	2	0	4	2
34779	1	1	17	4	1	14	12	3	1	11	5	1	0	5
34062	1	1	19	3	0	16	15	1	0	15	4	2	0	3
34633	1	1	17	2	3	15	14	0	2	14	3	2	1	2
33995	1	0	11	7	4	8	10	4	2	9	1	3	2	0
34474	1	1	13	7	2	10	10	4	2	9	3	3	0	2
34483	1	1	14	8	0	10	13	3	0	12	1	5	0	0
34416	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34360	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34361	1	0	13	9	0	9	9	7	0	7	4	2	0	3
34026	1	1	20	2	0	18	14	2	0	13	6	0	0	6
34032	1	1	14	4	4	12	9	4	3	8	5	0	1	5
34400	1	1	18	2	2	16	12	2	2	11	6	0	0	6
34601	1	1	22	0	0	20	16	0	0	16	6	0	0	6
34094	1	1	16	5	1	13	13	2	1	12	3	3	0	2
