ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
34127	1	D	D	A	D	D	B	C	A	A	C	C	B	C	A	B	C	B	C	B	A	A	C
33957	1	D	D	A	D	X	X	D	A	A	A	C	A	A	D	B	C	C	C	B	C	A	C
34572	1	A	D	A	B	D	C	D	B	A	A	C	X	B	C	X	C	C	C	B	X	B	D
34135	1	D	D	A	D	C	C	D	D	A	A	C	A	C	D	B	C	D	D	B	C	A	C
34154	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	C	C	B	C	A	C
34171	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	C	C	B	C	A	C
34314	1	D	D	A	D	D	A	D	A	X	D	C	X	X	D	X	C	X	X	B	C	A	C
34553	1	D	A	X	D	X	D	D	A	A	D	C	X	A	D	B	D	C	A	X	C	B	C
34526	1	D	D	A	D	D	B	D	A	A	D	C	B	A	B	B	C	C	C	B	C	B	C
34098	1	A	D	D	D	D	C	D	C	A	D	D	A	A	D	B	D	C	A	B	A	A	D
34778	1	D	D	A	D	D	B	D	A	A	A	C	A	A	D	B	C	C	C	B	C	A	C
34562	1	D	D	A	D	D	X	C	B	X	X	D	A	A	C	B	C	X	B	B	C	A	X
34241	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	C	C	B	C	B	C
34075	1	D	C	A	D	D	B	D	A	A	D	C	B	A	D	B	C	C	C	B	C	A	C
34482	1	D	D	A	D	C	X	D	A	A	D	C	X	A	X	B	C	C	C	B	C	A	X
34500	1	D	D	A	D	D	B	D	A	A	D	C	A	A	D	B	C	C	C	B	C	A	C
34292	1	D	D	B	D	D	X	D	A	D	D	C	B	A	D	X	C	D	C	B	C	A	C
34717	1	D	D	A	D	D	B	D	A	A	D	C	B	A	D	B	C	C	C	B	C	A	X
34123	1	X	D	A	D	D	C	D	A	A	D	X	B	A	D	B	B	C	C	B	C	B	C
