vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	15	12	0	2	1	12	0
2	B	15	14	0	0	14	1	0
3	A	15	14	0	14	1	0	0
4	B	15	14	0	0	14	0	1
5	D	15	14	0	1	0	0	14
6	B	15	10	2	1	10	2	0
7	D	15	7	3	1	1	3	7
8	B	15	11	1	3	11	0	0
9	D	15	14	0	0	1	0	14
10	C	15	14	1	0	0	14	0
11	A	15	12	1	12	0	2	0
12	B	15	5	5	1	5	3	1
13	A	15	6	5	6	2	1	1
14	B	15	10	1	1	10	2	1
15	A	15	9	2	9	1	1	2
16	C	15	10	0	2	1	10	2
17	D	15	7	1	2	2	3	7
18	C	15	11	0	0	1	11	3
19	A	15	12	0	12	0	2	1
20	D	15	7	4	3	0	1	7
21	D	15	6	2	2	4	1	6
22	C	15	10	2	1	0	10	2
23	C	15	5	5	0	3	5	2
24	B	15	11	2	2	11	0	0
25	B	15	8	4	1	8	2	0
26	B	15	6	2	1	6	4	2
27	D	15	6	1	2	4	2	6
28	C	15	9	2	1	1	9	2
29	A	15	11	0	11	2	1	1
30	C	15	14	0	1	0	14	0
31	D	15	9	2	0	0	4	9
32	A	15	8	0	8	0	1	6
33	C	15	12	0	2	1	12	0
34	A	15	7	1	7	4	1	2
35	C	15	9	0	0	1	9	5
