vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	D	968	837	63	21	37	10	837
2	C	968	862	13	12	62	862	19
3	B	968	832	48	17	832	15	56
4	B	968	768	11	151	768	31	7
5	D	968	822	30	20	27	69	822
6	A	968	550	166	550	85	152	15
7	D	968	517	80	52	122	197	517
8	A	968	825	25	825	40	41	37
9	C	968	771	175	10	3	771	9
10	D	968	741	13	18	174	22	741
11	B	968	702	118	26	702	47	75
12	A	968	527	324	527	47	18	52
13	C	968	371	483	42	38	371	34
14	D	968	676	91	5	30	166	676
15	C	968	681	123	22	62	681	80
16	A	968	388	497	388	41	27	15
17	B	968	458	340	60	458	48	62
18	D	968	571	298	29	13	57	571
19	D	968	493	209	75	99	92	493
20	C	968	329	335	82	177	329	45
21	B	968	493	25	115	493	67	268
22	D	968	615	108	22	168	55	615
