ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
30674	1	D	C	D	B	D	X	C	C	C	B	X	D	C	C	C	X	X	X	D	A	D	X
31260	1	B	C	B	A	D	B	X	B	X	D	X	X	A	D	C	X	B	X	B	X	B	B
30745	1	D	C	D	B	D	B	A	A	C	B	B	X	X	B	C	X	X	X	C	X	D	B
31504	1	B	D	D	C	A	C	A	B	C	B	B	A	B	D	D	B	C	C	B	B	A	B
31235	1	D	C	B	A	D	A	C	A	X	B	B	X	C	C	X	A	B	X	X	X	D	C
31041	1	D	C	B	A	C	B	C	A	X	D	B	A	C	C	C	X	X	D	D	C	A	D
30472	1	A	X	B	A	D	X	C	A	D	D	B	X	X	X	X	X	B	B	D	D	D	D
31691	1	C	D	A	A	C	C	A	D	X	A	B	D	C	B	X	D	B	C	X	B	C	B
31566	1	D	C	B	B	C	B	D	C	C	D	B	C	C	D	C	A	B	D	B	C	D	A
31325	1	B	C	A	D	B	A	C	D	C	D	A	D	B	D	A	C	D	A	D	C	C	A
31733	1	A	B	D	B	B	X	B	B	A	C	X	X	C	C	B	D	C	C	B	B	B	C
30687	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	A	B	D	D	C	B	D
31627	1	A	B	D	B	B	C	C	D	C	C	A	A	B	D	B	C	A	X	D	C	A	B
31339	1	D	C	B	A	D	A	X	A	X	D	X	X	X	C	C	X	X	D	D	X	B	D
31306	1	D	C	C	A	D	X	C	D	X	D	D	X	C	C	X	X	X	X	X	X	C	C
31632	1	D	C	B	A	D	A	A	A	C	B	B	X	C	D	C	X	X	X	X	X	D	X
31561	1	B	C	B	C	D	A	A	A	X	B	A	D	X	B	C	X	X	X	X	A	A	B
30479	1	D	C	C	B	D	A	D	A	C	B	D	B	A	D	C	A	A	D	C	B	D	D
31214	1	D	C	B	A	D	B	D	A	C	D	A	A	B	D	C	A	B	D	D	A	A	C
30564	1	D	B	D	B	D	X	A	C	X	D	X	D	X	D	C	C	X	X	B	X	A	A
31522	1	X	C	B	B	X	C	B	A	X	B	C	D	C	C	C	X	X	D	A	A	B	B
31220	1	D	C	X	B	D	X	D	D	C	D	B	C	C	D	C	A	A	D	X	B	B	B
31656	1	X	C	B	B	X	B	C	D	X	A	C	X	X	D	X	X	A	D	D	B	X	D
31105	1	D	C	B	A	D	A	D	A	C	D	C	A	X	D	C	A	X	D	X	D	B	D
31489	1	D	C	B	B	D	A	D	D	X	B	B	X	X	D	C	X	B	D	A	D	D	X
30805	1	D	C	B	B	D	C	A	A	X	D	B	A	X	D	C	B	B	D	C	B	B	B
31047	1	D	C	B	A	D	A	D	A	C	D	B	A	X	D	C	A	B	D	D	C	D	D
30772	1	D	C	B	B	D	X	D	A	C	D	B	A	X	C	C	X	A	D	D	X	C	X
31224	1	D	B	B	B	C	A	D	B	C	D	C	X	B	C	C	X	A	B	D	D	C	B
30516	1	D	C	B	B	D	A	C	D	C	D	B	A	C	D	C	X	X	B	C	B	A	X
30995	1	D	C	B	B	D	A	B	D	C	D	B	X	X	X	C	X	X	X	D	X	D	D
31597	1	D	C	B	B	A	C	B	A	C	D	C	D	C	B	B	X	X	D	B	C	D	B
31419	1	D	C	B	X	C	A	B	A	X	D	B	D	X	X	C	X	X	C	B	A	B	D
30851	1	B	B	B	B	D	B	B	C	C	D	B	X	X	C	B	B	X	A	C	D	B	A
30940	1	D	C	X	A	B	B	C	A	C	D	B	X	X	D	D	X	B	X	X	B	A	X
31165	1	D	C	B	B	D	X	B	A	C	D	B	X	C	D	C	X	X	X	X	C	B	D
30596	1	D	C	B	B	D	A	D	D	C	A	B	X	X	D	X	X	B	D	D	A	D	D
30871	1	X	B	B	A	X	X	B	A	X	B	D	C	B	C	X	X	X	D	C	X	B	D
