ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
30945	1	1	15	2	5	13	15	2	5	13
30957	1	1	12	3	7	10	12	3	7	10
30932	1	1	14	6	2	11	14	6	2	11
30930	1	1	17	2	3	15	17	2	3	15
30935	1	1	14	4	4	12	14	4	4	12
30942	1	1	13	1	8	12	13	1	8	12
30929	1	1	20	1	1	18	20	1	1	18
30976	1	1	13	4	5	11	13	4	5	11
30956	1	1	15	1	6	13	15	1	6	13
30963	1	1	12	3	7	10	12	3	7	10
31056	1	0	11	7	4	8	11	7	4	8
31007	1	1	16	1	5	14	16	1	5	14
31002	1	0	7	8	7	4	7	8	7	4
30982	1	1	18	1	3	16	18	1	3	16
30996	1	0	13	9	0	9	13	9	0	9
31115	1	1	13	4	5	11	13	4	5	11
31018	1	1	17	2	3	15	17	2	3	15
31087	1	1	19	1	2	17	19	1	2	17
31055	1	1	17	1	4	15	17	1	4	15
31019	1	1	15	6	1	12	15	6	1	12
31039	1	1	19	1	2	17	19	1	2	17
31011	1	1	19	1	2	17	19	1	2	17
31004	1	1	22	0	0	20	22	0	0	20
31049	1	1	20	2	0	18	20	2	0	18
31073	1	1	14	4	4	12	14	4	4	12
31108	1	1	13	2	7	11	13	2	7	11
30979	1	1	22	0	0	20	22	0	0	20
30988	1	1	21	0	1	19	21	0	1	19
31022	1	1	20	1	1	18	20	1	1	18
31102	1	0	12	8	2	8	12	8	2	8
31015	1	1	18	4	0	15	18	4	0	15
31180	1	1	13	5	4	10	13	5	4	10
31003	1	1	18	3	1	15	18	3	1	15
31054	1	1	16	0	6	15	16	0	6	15
31062	1	1	16	6	0	13	16	6	0	13
31023	1	1	14	2	6	12	14	2	6	12
31075	1	1	17	4	1	14	17	4	1	14
31091	1	1	17	2	3	15	17	2	3	15
31026	1	0	10	9	3	6	10	9	3	6
31053	1	1	13	5	4	10	13	5	4	10
31061	1	0	8	7	7	5	8	7	7	5
31025	1	1	14	6	2	11	14	6	2	11
31069	1	1	20	2	0	18	20	2	0	18
31090	1	1	20	2	0	18	20	2	0	18
31042	1	1	17	4	1	14	17	4	1	14
31106	1	0	11	7	4	8	11	7	4	8
31083	1	1	17	1	4	15	17	1	4	15
31016	1	1	20	2	0	18	20	2	0	18
31111	1	1	22	0	0	20	22	0	0	20
31109	1	1	21	1	0	19	21	1	0	19
31036	1	1	16	3	3	14	16	3	3	14
31012	1	0	4	10	8	1	4	10	8	1
30989	1	1	20	2	0	18	20	2	0	18
31085	1	0	12	8	2	8	12	8	2	8
31050	1	1	14	5	3	11	14	5	3	11
31006	1	1	20	2	0	18	20	2	0	18
31208	1	1	16	2	4	14	16	2	4	14
31181	1	1	16	4	2	13	16	4	2	13
31228	1	1	21	1	0	19	21	1	0	19
31113	1	0	8	5	9	6	8	5	9	6
31250	1	1	18	1	3	16	18	1	3	16
31275	1	1	13	3	6	11	13	3	6	11
31130	1	1	18	4	0	15	18	4	0	15
31251	1	0	8	9	5	5	8	9	5	5
31129	1	0	9	8	5	6	9	8	5	6
31116	1	1	13	2	7	11	13	2	7	11
31283	1	1	18	3	1	15	18	3	1	15
31280	1	1	16	4	2	13	16	4	2	13
31305	1	1	20	1	1	18	20	1	1	18
31308	1	1	13	3	6	11	13	3	6	11
31131	1	1	18	2	2	16	18	2	2	16
31299	1	1	15	6	1	12	15	6	1	12
31174	1	1	17	5	0	14	17	5	0	14
31316	1	1	18	1	3	16	18	1	3	16
31239	1	1	14	7	1	11	14	7	1	11
31127	1	1	16	2	4	14	16	2	4	14
31191	1	1	19	0	3	17	19	0	3	17
31245	1	1	17	1	4	15	17	1	4	15
31137	1	1	13	4	5	11	13	4	5	11
31243	1	0	12	5	5	9	12	5	5	9
31179	1	1	16	0	6	15	16	0	6	15
