"ijkID","feedbackcode"
"17dwGRG302830169","17dw64746"
"17dwGRG302930170","17dw98305"
"17dwAEEX07830171","17dw30152"
"17dwAEEX07930172","17dw52965"
"17dwGRG303030173","17dw84353"
"17dwAEEX08030174","17dw20150"
"17dwGRG303130175","17dw86983"
"17dwGRG303230176","17dw28416"
"17dwAEEX08130177","17dw14322"
"17dwGRG400130178","17dw50266"
"17dwGRG400230179","17dw77393"
"17dwGRG400330180","17dw55982"
"17dwGRG900730447","17dw17983"
"17dwGRG400430181","17dw60137"
"17dwGRG400530182","17dw47092"
"17dwAEEX08230183","17dw89842"
"17dwAEEX08330184","17dw48579"
"17dwGRG400630185","17dw97333"
"17dwGRG400730186","17dw33629"
"17dwGRG400830187","17dw65176"
"17dwGRG400930188","17dw64015"
"17dwAEEX08430189","17dw24045"
"17dwGRG900830448","17dw83578"
"17dwAEEX08530190","17dw42103"
"17dwAEEX08630191","17dw70648"
"17dwAEEX08730192","17dw79895"
"17dwGRG401030193","17dw78938"
"17dwGRG401130194","17dw80687"
"17dwGRG401230195","17dw76027"
"17dwAEEX08830196","17dw35361"
"17dwGRG401330197","17dw12387"
"17dwGRG401430198","17dw85675"
"17dwGRG401530199","17dw65953"
"17dwGRG401630200","17dw66269"
"17dwGRG401730201","17dw72590"
"17dwGRG401830202","17dw64575"
"17dwGRG401930203","17dw34510"
"17dwGRG402030204","17dw19428"
"17dwGRG402130205","17dw17577"
"17dwGRG402230206","17dw18262"
"17dwAEEX08930207","17dw75986"
"17dwGRG402330208","17dw55639"
"17dwGRG402430209","17dw96699"
"17dwGRG402530210","17dw39124"
"17dwGRG402630211","17dw55272"
"17dwGRG402730212","17dw13627"
"17dwGRG402830213","17dw47265"
"17dwGRG402930214","17dw85929"
"17dwAEEX09030215","17dw42070"
"17dwAEEX09130216","17dw81749"
"17dwGRG403030217","17dw75119"
"17dwAEEX09230218","17dw23004"
"17dwGRG403130219","17dw53112"
"17dwAEEX09330220","17dw61458"
"17dwAEEX09430221","17dw54591"
"17dwAEEX09530222","17dw26506"
"17dwAEEX09630223","17dw26649"
"17dwAEEX09730224","17dw22279"
"17dwGRG403230225","17dw91469"
"17dwAEEX09830226","17dw52241"
"17dwAEEX09930227","17dw26720"
"17dwAEEX10030228","17dw12404"
"17dwGRG500130229","17dw19771"
"17dwGRG500230230","17dw55835"
"17dwAEEX10130231","17dw47232"
"17dwAEEX10230232","17dw81252"
"17dwGRG500330233","17dw70803"
"17dwAEEX10330234","17dw23912"
"17dwGRG500430235","17dw99684"
"17dwGRG500530236","17dw22910"
"17dwGRG500630237","17dw34643"
"17dwGRG500730238","17dw56122"
"17dwAEEX10430239","17dw71439"
"17dwAEEX10530240","17dw30265"
"17dwGRG500830241","17dw56043"
"17dwGRG500930242","17dw83277"
"17dwGRG501030243","17dw70317"
"17dwGRG501130244","17dw17795"
"17dwAEEX10630245","17dw95830"
"17dwGRG900930449","17dw24920"
"17dwAEEX18530450","17dw39334"
"17dwGRG501230246","17dw28047"
"17dwAEEX10730247","17dw64660"
"17dwGRG501330248","17dw57864"
"17dwAEEX10830249","17dw38831"
"17dwGRG501430250","17dw86061"
"17dwAEEX10930251","17dw43889"
"17dwAEEX11030252","17dw57703"
"17dwAEEX11130253","17dw36545"
"17dwGRG501530254","17dw98764"
"17dwGRG501630255","17dw53912"
"17dwGRG501730256","17dw63627"
"17dwAEEX11230257","17dw15308"
"17dwGRG501830258","17dw46309"
"17dwAEEX11330259","17dw23503"
"17dwAEEX11430260","17dw35488"
"17dwGRG501930261","17dw80181"
"17dwGRG502030262","17dw84786"
"17dwGRG502130263","17dw97436"
"17dwAEEX11530264","17dw30340"
"17dwGRG502230265","17dw58501"
"17dwGRG502330266","17dw47928"
"17dwAEEX11630267","17dw32834"
"17dwAEEX11730268","17dw27269"
"17dwGRG502430269","17dw12232"
"17dwGRG502530270","17dw71041"
"17dwGRG502630271","17dw44128"
"17dwGRG502730272","17dw61738"
"17dwGRG502830273","17dw71538"
"17dwGRG502930274","17dw36088"
"17dwAEEX11830275","17dw27902"
"17dwGRG503030276","17dw83045"
"17dwGRG503130277","17dw86328"
"17dwGRG503230278","17dw89536"
"17dwAEEX11930279","17dw52308"
"17dwGRG600130280","17dw59052"
"17dwAEEX12030281","17dw45181"
"17dwGRG600230282","17dw19921"
"17dwAEEX12130283","17dw37813"
"17dwGRG901030451","17dw26569"
"17dwGRG600330284","17dw91511"
"17dwAEEX12230285","17dw49526"
"17dwAEEX12330286","17dw17387"
"17dwGRG600430287","17dw19553"
"17dwGRG600530288","17dw26745"
"17dwGRG600630289","17dw58471"
"17dwGRG600730290","17dw68831"
"17dwAEEX12430291","17dw47196"
"17dwAEEX12530292","17dw69779"
"17dwGRG600830293","17dw30441"
"17dwGRG600930294","17dw94611"
"17dwGRG601030295","17dw36207"
"17dwGRG601130296","17dw64911"
"17dwAEEX18630452","17dw25614"
"17dwGRG601230297","17dw23358"
"17dwGRG601330298","17dw66170"
"17dwAEEX12630299","17dw77921"
"17dwGRG601430300","17dw83105"
"17dwGRG601530301","17dw92036"
"17dwAEEX12730302","17dw31520"
"17dwGRG601630303","17dw62534"
"17dwGRG601730304","17dw19183"
"17dwAEEX12830305","17dw75431"
"17dwGRG601830306","17dw65045"
"17dwAEEX12930307","17dw84461"
"17dwAEEX13030308","17dw37084"
"17dwGRG601930309","17dw66165"
"17dwGRG602030310","17dw77572"
"17dwGRG602130311","17dw12496"
"17dwGRG602230312","17dw26847"
"17dwGRG602330313","17dw71918"
"17dwGRG602430314","17dw13195"
"17dwAEEX13130315","17dw35566"
"17dwAEEX13230316","17dw11144"
"17dwAEEX13330317","17dw94858"
