vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	D	243	175	72	33	13	9	19	7	175
2	C	243	190	78	6	2	5	27	190	15
3	B	243	159	65	19	7	9	159	15	41
4	B	243	182	75	7	2	30	182	11	13
5	D	243	165	68	23	9	17	14	24	165
6	A	243	86	35	83	34	86	33	39	2
7	D	243	85	35	37	15	10	42	69	85
8	A	243	149	61	22	9	149	28	19	25
9	C	243	128	53	96	39	7	4	128	8
10	D	243	140	58	9	3	7	64	23	140
11	B	243	123	51	55	22	9	123	23	33
12	A	243	77	32	130	53	77	8	6	22
13	C	243	63	26	152	62	8	9	63	11
14	D	243	129	53	45	18	6	13	50	129
15	C	243	114	47	51	20	10	35	114	33
16	A	243	35	14	180	74	35	16	9	3
17	B	243	70	29	137	56	15	70	8	13
18	D	243	110	45	95	39	9	8	21	110
19	D	243	216	89	2	0	7	2	16	216
20	A	243	149	61	19	7	149	10	24	41
21	C	243	132	54	33	13	34	22	132	22
22	A	243	201	83	3	1	201	10	16	13
