scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	118
totaal	10-13	rgb(255,215,0)	77
totaal	>=14	rgb(144,238,144)	48
wiskunde	<=6	rgb(255,140,0)	85
wiskunde	7-9	rgb(255,215,0)	45
wiskunde	>=10	rgb(144,238,144)	113
wiskunde_basis	<=4	rgb(255,140,0)	89
wiskunde_basis	5-7	rgb(255,215,0)	87
wiskunde_basis	>=8	rgb(144,238,144)	67
wiskunde_standaard	<4	rgb(255,140,0)	69
wiskunde_standaard	4-6	rgb(255,215,0)	35
wiskunde_standaard	>=7	rgb(144,238,144)	139
ruimtelijk	<=4	rgb(255,140,0)	76
ruimtelijk	5-7	rgb(255,215,0)	63
ruimtelijk	>=8	rgb(144,238,144)	104
