feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
17ia15120	1	X	C	D	B	C	X	X	B	X	C	X	A	X	X	X	X	X	X	D	D	B	A
17ia80603	1	D	C	X	B	D	X	X	A	C	C	X	A	X	D	D	X	C	A	C	C	A	A
17ia69665	1	D	C	B	B	D	A	D	A	C	D	D	X	C	D	D	X	X	D	D	A	C	A
17ia20927	1	D	C	B	B	D	A	D	A	C	D	X	X	X	X	C	X	X	X	D	X	C	A
17ia62190	1	D	C	D	B	C	B	X	A	X	D	B	D	X	D	C	X	X	X	D	C	C	A
17ia87713	1	X	A	D	D	B	A	C	B	C	B	C	A	C	C	B	A	X	D	D	C	X	C
17ia57326	1	D	C	B	B	C	A	C	A	C	B	B	A	X	D	C	C	X	D	D	D	C	A
17ia15709	1	D	C	B	D	D	A	X	A	C	C	X	A	X	X	C	A	B	D	D	A	C	A
17ia26360	1	D	C	B	B	D	A	D	A	C	D	B	X	D	D	C	X	X	D	D	D	C	A
17ia89843	1	D	C	B	B	D	X	C	A	C	C	B	B	X	D	C	X	B	D	D	A	C	A
17ia44050	1	B	C	B	B	D	X	C	A	X	D	B	X	C	D	C	X	D	C	D	A	C	A
17ia81699	1	D	C	X	B	D	C	B	A	D	D	B	X	C	D	C	X	D	D	D	C	C	A
17ia89801	1	D	C	B	B	D	A	C	A	C	D	B	X	X	D	X	X	X	X	D	A	X	A
17ia90588	1	D	B	A	D	B	A	B	C	C	B	C	A	C	A	C	B	X	D	C	C	A	B
17ia49958	1	D	B	X	C	A	X	D	D	X	B	D	X	C	X	B	X	X	B	C	B	A	A
17ia47568	1	C	C	D	D	B	C	B	D	X	B	B	X	A	C	B	A	X	B	D	A	A	C
17ia58154	1	D	C	D	B	D	A	C	A	C	D	B	D	C	D	C	C	B	D	D	A	A	A
17ia52163	1	D	B	B	C	D	X	X	D	C	C	B	X	C	D	D	X	X	C	X	C	C	A
17ia68130	1	D	C	D	D	A	B	C	X	C	D	X	A	X	D	X	X	X	X	D	C	X	A
17ia73921	1	D	C	B	B	D	C	D	A	X	D	B	X	X	D	C	X	X	D	D	A	C	A
17ia31836	1	D	C	B	B	D	C	B	D	D	B	D	D	C	A	D	B	B	D	D	A	A	A
17ia78849	1	D	B	B	X	X	B	A	A	C	D	X	A	X	C	X	X	X	X	D	A	A	A
17ia91292	1	D	D	D	C	B	X	D	A	D	B	B	A	X	B	B	X	X	X	C	C	B	D
17ia10150	1	D	C	B	B	D	A	D	A	C	D	B	X	X	D	C	X	D	D	D	A	A	A
17ia55275	1	D	C	X	B	A	A	C	A	X	D	B	X	C	C	X	B	B	D	D	A	C	A
17ia44833	1	D	C	B	B	X	X	B	A	C	D	C	A	B	D	A	B	C	C	D	A	X	D
17ia33234	1	D	C	B	A	D	C	C	A	C	D	B	D	X	D	D	A	B	D	D	A	A	A
17ia46740	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	X	B	D	D	A	X	A
17ia78506	1	D	C	B	B	D	C	D	A	C	D	X	X	X	D	C	X	B	X	D	A	D	A
17ia47260	1	D	C	C	C	D	X	C	A	C	D	A	A	X	D	B	X	X	X	D	A	D	A
17ia55487	1	X	C	B	D	X	A	C	A	X	D	X	X	X	X	C	X	X	X	D	A	C	A
17ia33463	1	D	C	B	B	D	C	D	A	C	D	B	X	X	D	X	X	X	A	D	X	C	A
17ia47229	1	D	C	B	B	D	A	C	A	C	D	B	A	X	D	C	X	X	D	D	A	A	A
17ia51650	1	D	C	B	B	D	C	D	A	C	D	B	A	C	D	C	X	D	D	D	A	C	A
17ia32240	1	A	C	B	B	C	X	D	A	X	D	B	A	C	C	B	B	X	X	D	A	C	A
17ia59839	1	D	C	B	B	D	X	C	A	X	B	B	A	X	D	C	X	X	X	D	A	C	A
17ia32399	1	D	C	B	B	D	A	C	A	C	D	B	A	C	X	C	X	B	D	D	A	C	A
17ia60899	1	D	C	X	B	D	C	B	A	C	D	B	X	C	D	D	X	B	D	D	D	C	A
17ia32011	1	C	D	D	B	A	C	D	B	A	B	C	A	C	B	D	C	A	B	D	A	D	D
17ia97705	1	D	C	B	B	D	X	B	D	X	D	X	A	X	X	C	X	X	D	D	A	C	A
17ia22097	1	D	C	B	B	D	B	C	A	C	B	X	X	C	D	D	A	X	D	D	A	C	A
17ia28243	1	D	C	D	B	X	C	D	A	C	B	D	B	X	C	A	C	D	A	B	D	C	B
17ia88175	1	D	C	C	B	X	X	B	X	C	D	X	A	X	D	C	X	X	D	D	A	C	A
17ia30511	1	D	C	B	B	D	A	D	A	C	D	B	X	X	C	D	A	B	X	D	C	A	A
17ia76596	1	D	C	B	B	D	A	D	A	X	B	B	X	B	D	C	X	B	D	D	A	C	A
17ia51564	1	B	C	B	B	D	B	C	A	X	B	B	C	X	C	B	X	X	X	D	D	C	A
17ia89459	1	B	A	B	B	D	A	D	B	X	B	X	A	C	D	C	X	X	X	D	B	C	D
17ia43124	1	D	C	B	B	D	A	D	A	D	D	B	A	C	D	C	A	B	D	D	D	C	A
17ia69223	1	D	D	C	B	D	C	A	B	X	D	C	X	C	D	B	X	X	X	D	D	B	A
17ia82245	1	D	C	B	B	C	A	D	A	C	D	B	X	X	D	C	X	B	D	D	A	C	A
17ia80033	1	D	C	B	B	D	X	X	A	C	D	B	X	X	D	X	X	X	X	D	X	X	C
17ia84936	1	B	C	B	B	D	X	X	D	A	D	D	X	X	D	C	X	B	D	D	X	C	A
17ia32814	1	X	C	X	X	X	X	D	X	X	B	X	X	X	D	D	X	X	X	D	D	X	A
17ia41397	1	C	C	A	B	D	A	D	C	X	D	D	X	X	C	C	X	D	X	D	B	B	C
17ia80377	1	D	C	B	A	D	B	D	B	C	D	B	X	C	D	X	X	X	X	D	A	A	A
17ia16166	1	D	B	B	B	C	A	B	A	C	B	X	A	X	D	C	X	B	X	D	C	C	A
17ia19611	1	D	D	X	B	D	C	D	X	X	B	C	X	X	C	D	X	X	D	D	A	B	A
17ia50118	1	B	B	D	B	B	X	B	C	X	A	B	A	C	X	C	X	A	D	D	A	C	A
17ia39859	1	D	D	A	B	D	B	D	A	A	B	B	A	D	D	C	C	B	X	D	A	A	A
17ia33584	1	D	C	B	A	D	A	D	B	C	X	B	X	X	D	X	X	B	X	D	C	C	A
