ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
q1378892	1	D	B	C	C	D	B	B	B	D	C	D	B	D	B	C	B	D	B	C	D	D	C	C	C	A	C	B	A	A	X	B	C	B	B	B
q1426501	1	C	C	A	B	D	C	C	B	B	C	C	X	X	B	B	C	A	C	A	X	B	X	X	B	D	C	B	B	D	A	X	B	A	C	B
q1389033	1	C	B	A	B	D	B	D	B	D	C	A	B	A	A	A	C	X	C	A	D	D	D	X	C	A	C	B	C	A	D	B	C	B	B	B
q1378103	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	C	C	B	B	D	C	B	B	A	D	A	C	C	C	B
q1381795	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	A	C	A	A	C	B	C	C	A	C	D	B	B	D	D	A	C	A	A	D
q1459271	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	X	C	C	D	C	C	C	A	C	A	B	C	B	B
q1404992	1	D	C	C	B	D	B	D	A	B	D	C	C	C	B	C	B	D	D	D	D	B	D	X	B	B	C	B	A	D	B	B	C	C	D	C
q1461384	1	C	B	A	B	D	B	D	B	D	C	C	B	A	B	A	C	D	D	A	D	A	D	C	B	B	C	B	C	A	D	A	C	C	B	C
q1296430	1	C	B	A	D	D	D	B	B	D	C	A	B	C	B	A	C	C	C	A	B	A	D	C	B	A	C	B	C	A	D	A	C	B	B	B
q1389853	1	C	B	D	B	D	B	D	B	D	C	A	B	A	D	A	C	B	C	A	C	C	D	C	C	D	C	A	C	D	D	B	C	B	B	D
q1400957	1	A	B	A	D	D	B	C	B	D	D	A	B	C	B	D	C	D	B	C	D	B	C	C	B	D	C	B	B	A	A	B	C	B	D	D
q1341804	1	C	B	A	B	X	B	B	C	D	C	B	X	X	B	C	C	D	A	A	A	B	X	X	X	X	X	X	X	X	X	X	X	X	X	X
