ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
27016	1	C	C	D	B	C	B	D	E	B	C	E	C	E	A	A	C	D	B	E	C	D	B	C	E	B	B	B	D	B	A	D	E	E	C	B	E	E	A	D	C
24936	1	D	A	D	B	C	B	D	D	B	B	E	C	D	A	A	C	D	B	A	C	C	E	A	E	B	B	B	C	E	X	C	X	E	B	B	X	E	E	D	D
27091	1	C	C	D	D	C	B	D	D	B	B	C	C	B	A	A	C	E	X	E	C	C	B	D	E	B	B	B	X	E	X	D	X	E	A	B	X	B	D	A	C
26210	1	D	C	D	B	B	A	D	D	B	C	E	C	D	A	A	C	D	E	A	E	C	B	C	E	D	B	B	C	E	B	B	E	C	C	B	E	D	A	D	A
24568	1	D	C	D	B	X	B	D	D	C	B	E	C	D	C	A	C	X	C	B	C	C	B	A	A	B	B	C	D	E	C	A	A	D	C	B	C	E	C	D	D
26425	1	C	X	D	X	X	B	D	E	B	B	C	C	D	A	A	C	X	C	B	C	C	X	A	E	B	B	B	E	D	X	X	A	D	X	A	C	E	C	B	D
26959	1	D	D	D	D	D	A	D	D	B	C	E	E	X	A	A	C	X	E	X	X	C	B	C	C	B	C	B	X	E	X	C	X	X	X	B	C	D	A	B	D
27489	1	C	C	D	B	C	B	D	D	E	B	E	C	D	A	A	C	X	C	X	C	D	B	A	E	B	B	B	C	D	C	C	C	E	E	B	C	E	C	D	D
27381	1	D	D	D	B	E	B	D	D	B	B	E	C	D	A	A	C	E	C	C	C	D	X	D	E	D	B	B	D	X	B	C	B	D	D	X	X	D	X	B	B
27288	1	D	C	D	B	C	B	D	D	X	B	E	C	D	A	A	C	X	C	B	C	C	B	X	E	A	B	C	C	E	C	C	A	D	C	B	C	E	X	X	D
26821	1	C	C	D	B	X	B	D	D	C	B	X	E	X	C	B	X	C	E	X	B	C	B	A	E	B	X	B	X	E	A	X	X	D	X	C	X	D	D	D	X
27370	1	D	C	C	B	D	A	D	D	C	C	E	C	D	A	A	C	X	C	X	C	C	B	E	E	D	B	B	A	C	C	X	D	C	C	B	C	B	E	X	D
24847	1	X	C	D	D	X	B	D	X	B	B	X	E	D	A	A	X	D	X	E	X	X	X	C	E	D	X	B	X	E	X	E	X	X	B	B	X	X	D	X	X
24500	1	D	C	B	B	C	B	D	D	X	B	D	C	D	A	A	C	X	C	X	C	C	B	A	E	D	B	C	C	E	C	E	A	D	C	C	X	D	C	B	D
27029	1	D	C	D	B	B	B	D	D	B	B	E	E	D	A	A	C	X	C	X	C	C	B	A	E	D	E	B	X	E	X	B	X	D	B	B	A	D	E	X	A
25477	1	D	C	D	D	B	B	D	D	C	B	E	E	D	A	A	C	D	B	X	C	C	B	C	E	D	B	C	C	E	C	A	A	D	B	B	C	E	X	D	D
25884	1	D	D	D	B	C	A	D	D	A	B	E	C	D	A	A	C	D	C	B	C	X	B	A	B	D	X	B	C	C	C	A	A	D	B	B	C	D	E	B	C
25084	1	D	C	D	B	B	B	D	D	B	X	E	C	D	A	A	C	X	C	B	C	C	D	A	E	D	C	C	C	E	C	C	A	E	C	B	C	B	X	D	X
24992	1	X	C	A	B	C	B	D	D	B	B	E	C	D	A	A	C	E	X	B	C	C	B	C	E	D	B	C	C	B	C	C	A	D	D	B	D	D	X	X	D
26696	1	C	C	A	D	A	B	D	D	B	B	E	E	D	D	A	C	E	C	A	C	A	B	C	E	B	B	B	X	E	B	C	A	A	D	C	E	E	A	D	A
25596	1	C	C	D	A	B	B	D	D	B	C	E	C	A	A	A	C	X	C	X	C	C	B	A	E	D	B	C	X	E	C	E	A	D	C	X	D	D	C	X	D
25322	1	E	C	D	A	C	A	D	D	C	C	E	C	D	A	A	C	D	B	B	B	C	A	A	E	B	B	C	C	C	C	A	A	D	B	B	C	E	D	A	D
