Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,32600,bw15921183759Jk56JEZOtHX2nqxHJrKhORWaXu4oX,19,A,11,,,,10,,,,9,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,32607,bw1592137703fqBCpB36RVORlxYpxj2fKe3YrGQ2j4,19,B,6,,,,2,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,32611,bw15921495783oCFzTg0yFUkfTerkeR2S8K3F2wpzW,19,B,9,,,,8,,,,4,,,,3,,,,,,,,,,,,,,,,,,,,,,,
,,32616,bw1592163869vaYJdz3zPktrqNVgryR2iHD9kdAAbr,19,A,13,,,,10,,,,6,,,,6,,,,,,,,,,,,,,,,,,,,,,,
,,32632,bw1592300320ESMNxMyDFMJMH8FO3Lo1Cn6zmdtn7a,19,B,9,,,,9,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,32658,bw1592463536I1o3cirVwmaMMKazL1qneJ4SH3gz0u,19,A,17,,,,10,,,,11,,,,8,,,,,,,,,,,,,,,,,,,,,,,
,,32672,bw1592582790DqtBXjawWTBDp7i3HglIEzkogx5Vm1,19,A,12,,,,10,,,,7,,,,5,,,,,,,,,,,,,,,,,,,,,,,
,,32691,bw1592761831Iyk7owbPsM1dqFJzGsJOdKVA3g4SFM,19,A,11,,,,9,,,,7,,,,4,,,,,,,,,,,,,,,,,,,,,,,
,,32703,bw1592900072RIfiXLuOhuZwvLJLOdQRe1ONPFUqJN,19,B,7,,,,9,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,
,,32707,bw1592910234RfNETX9W2QuegBU8zP0nNfMEFXDP3O,19,A,15,,,,10,,,,8,,,,8,,,,,,,,,,,,,,,,,,,,,,,
