ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
28163	1	D	B	B	A	C	B	A	D	A	D	A	A	D	D	C	A	C	A	D	X	A	B	D	D	D	B	D	C	B	B
28550	3	D	B	B	X	D	B	A	A	C	D	B	A	X	A	X	C	C	D	C	X	A	X	X	X	X	X	B	C	A	X
28439	3	D	B	B	B	C	C	A	D	A	C	X	X	D	C	X	C	A	A	X	B	A	B	D	X	A	D	D	C	A	X
28219	4	D	C	C	X	B	B	A	D	A	C	C	X	X	A	X	C	D	A	C	X	A	C	B	B	B	D	C	D	A	B
28257	4	D	A	B	B	D	B	A	D	A	D	A	X	X	C	X	B	D	A	X	X	A	X	D	B	X	X	X	C	A	B
28196	1	D	B	B	B	C	B	A	D	A	D	A	A	D	A	X	B	A	A	B	D	A	X	D	D	X	B	X	C	A	X
27864	3	A	B	B	X	C	X	A	D	A	D	A	A	D	A	D	A	B	A	C	D	A	X	X	C	X	D	D	C	A	C
27985	1	D	B	B	B	B	B	A	D	A	D	B	A	X	D	D	A	D	A	C	X	B	X	D	D	X	D	X	C	B	B
28172	3	D	B	B	B	C	B	A	D	A	D	D	A	X	D	D	B	D	C	C	A	A	X	D	C	X	C	D	C	A	A
28015	1	A	B	B	B	C	A	B	A	A	D	C	C	D	D	A	A	A	A	C	X	B	X	D	D	D	B	B	C	A	X
27865	4	A	B	B	B	C	B	A	B	D	D	X	X	D	X	X	C	A	A	X	X	X	X	D	D	X	X	D	A	X	X
28269	4	X	A	B	A	D	B	A	B	D	C	X	X	X	C	X	A	A	A	X	X	D	X	X	X	D	X	A	D	A	B
28317	4	A	B	B	B	X	A	A	X	A	D	X	A	D	A	D	X	C	A	X	D	X	X	D	X	X	A	X	C	A	X
27527	2	D	B	B	B	C	B	A	D	A	D	A	A	D	A	D	A	D	A	C	D	B	B	D	A	D	B	D	C	A	A
27793	2	D	B	B	B	C	B	A	D	A	D	A	A	D	A	D	B	C	A	C	D	B	X	D	B	D	B	D	C	A	A
27789	1	D	A	B	B	C	B	A	D	A	D	X	A	D	A	D	B	C	A	C	D	B	X	X	X	X	X	D	X	X	X
28556	4	D	B	B	B	C	B	A	D	A	D	A	X	D	A	X	A	X	X	C	X	X	X	X	B	X	X	D	X	X	X
28045	4	D	B	B	B	C	B	B	X	A	D	B	A	B	A	C	B	C	A	X	X	B	X	X	C	D	X	B	C	A	A
28476	3	A	A	B	B	C	A	A	D	A	D	X	A	B	B	X	B	A	A	C	A	B	X	D	B	D	C	X	C	A	X
28607	3	D	D	B	A	A	B	A	D	B	D	D	C	X	D	C	A	X	C	B	X	A	X	B	D	X	B	A	B	A	X
28240	2	D	B	B	B	C	A	A	B	A	D	A	A	B	A	X	A	C	A	C	D	A	X	D	C	A	X	X	C	A	X
27874	1	D	B	B	B	C	D	A	D	A	A	A	C	D	A	X	B	D	A	C	D	A	X	D	B	D	B	B	C	A	A
27678	3	A	B	B	B	C	B	A	D	A	D	A	A	D	A	A	B	A	A	C	X	A	B	X	C	X	A	D	C	A	A
27895	1	D	A	B	B	C	B	A	X	A	D	A	X	D	B	B	B	B	A	C	X	D	X	D	B	D	X	X	X	X	A
28116	2	D	B	B	B	C	B	A	B	A	D	A	A	D	A	D	A	C	A	B	X	A	X	X	C	A	B	D	C	A	X
27731	4	D	B	B	B	C	B	A	D	A	D	A	A	D	A	D	A	D	A	C	D	B	B	D	C	D	D	D	C	A	A
28343	1	D	X	B	B	C	X	A	X	A	D	A	A	D	X	X	B	D	A	X	X	A	X	X	X	X	A	X	C	X	X
27717	2	D	B	B	A	C	B	B	D	C	D	A	A	D	C	A	A	C	D	B	X	D	X	D	X	D	B	D	B	A	A
28165	2	A	B	B	D	C	B	A	B	A	D	X	X	X	X	D	A	D	X	X	X	X	X	X	B	D	X	D	X	X	A
