ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
32112	1	C	C	B	D	B	D	D	A	B	A	A	A	X	A	A	B	B	A	C	X	A	X
32001	1	B	C	B	C	X	D	C	D	X	X	C	X	B	X	A	C	X	X	A	A	B	B
32145	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	A	D	B	A	C	B	D	B
32009	1	C	C	X	D	X	D	X	A	X	A	B	X	X	X	A	X	X	X	X	B	X	X
32034	1	C	C	B	D	B	D	X	A	X	A	C	A	X	X	A	A	B	A	D	B	A	B
31956	1	D	C	B	X	A	D	X	B	A	A	X	A	X	D	A	D	B	X	D	D	A	X
32012	1	D	C	B	A	B	D	D	A	B	A	A	A	A	A	A	D	B	A	A	B	A	B
32076	1	D	C	B	D	B	D	D	A	X	X	A	D	A	A	A	A	B	A	D	B	A	B
31954	1	C	C	B	D	X	B	X	A	B	X	A	A	A	D	X	X	X	X	X	B	B	B
32043	1	C	C	B	D	B	D	X	A	B	A	X	A	C	X	A	A	X	A	X	B	B	X
31933	1	B	D	B	D	X	D	D	A	A	A	X	A	D	A	A	A	B	A	A	B	A	B
31988	1	B	C	B	D	B	D	X	A	C	A	B	A	X	D	D	B	A	X	X	X	A	A
31941	1	D	D	B	D	B	A	A	A	D	A	C	A	B	X	B	X	B	C	D	D	C	B
31985	1	C	C	B	D	B	D	D	A	B	X	A	D	A	B	A	A	B	A	C	B	B	A
32035	1	C	C	B	X	B	D	D	A	X	X	A	A	A	B	D	D	B	A	D	B	D	B
32017	1	C	C	B	D	B	D	D	A	A	A	B	A	A	D	A	X	B	D	D	B	A	B
31931	1	C	C	B	D	B	D	D	A	D	A	X	D	A	B	A	D	B	A	X	B	B	B
31928	1	C	D	B	D	B	D	C	A	X	A	D	A	B	A	A	X	B	A	A	B	A	B
32127	1	A	C	B	X	X	B	C	A	X	C	A	C	C	X	D	B	X	A	B	B	B	B
32138	1	C	C	B	X	X	D	B	A	X	A	X	A	C	X	X	B	X	D	B	X	A	C
32005	1	C	A	B	D	B	X	C	A	X	D	B	B	C	D	C	B	D	B	C	X	C	X
32015	1	C	A	B	D	X	D	C	B	X	A	X	X	B	X	A	X	B	X	D	A	A	X
31926	1	C	C	B	D	X	D	X	A	B	A	A	A	A	A	A	B	B	A	D	B	A	C
32084	1	C	A	B	X	X	D	A	B	X	X	A	D	X	D	C	X	X	D	X	X	X	C
32066	1	D	C	D	X	A	B	A	A	B	X	X	C	A	A	B	X	A	C	B	C	B	C
31921	1	C	B	B	X	A	D	X	A	A	D	B	A	C	X	A	B	X	X	D	X	A	B
31938	1	C	C	B	D	B	D	X	A	A	A	A	A	B	A	A	X	B	A	D	B	D	A
31924	1	C	C	B	X	B	X	X	X	X	X	D	C	X	X	X	X	B	B	X	X	X	B
31917	1	C	C	B	D	B	D	D	A	A	B	A	A	A	X	X	D	X	A	D	B	B	X
31911	1	X	C	B	D	X	D	X	D	X	A	X	A	X	X	X	X	X	A	X	X	B	C
31981	1	C	C	C	X	B	D	X	A	A	A	X	X	X	X	X	C	X	X	C	C	D	C
31949	1	C	C	B	D	B	D	X	A	A	A	A	A	A	A	A	X	B	X	X	X	A	X
31966	1	C	B	X	X	B	D	D	A	B	X	D	A	X	X	A	B	X	X	X	X	A	B
31984	1	C	C	B	D	B	D	X	B	X	A	A	C	X	X	B	X	X	X	C	B	A	B
31947	1	C	D	B	D	B	D	X	A	B	A	A	A	X	D	A	A	B	A	A	B	D	B
31953	1	C	C	B	D	B	D	D	D	B	A	A	A	A	X	X	X	B	X	D	B	A	B
31942	1	B	C	B	D	B	D	X	A	X	A	D	A	A	X	X	X	X	A	X	B	A	X
32008	1	C	C	B	D	B	D	X	A	X	A	X	A	X	X	A	X	B	A	X	B	X	B
32004	1	X	C	B	D	B	D	X	A	A	A	A	A	B	D	A	X	X	X	X	B	A	B
31935	1	C	C	B	D	B	D	B	A	X	A	X	D	X	X	X	X	X	X	X	B	B	B
31925	1	C	C	B	D	B	D	D	A	B	A	A	A	A	A	A	A	B	A	D	B	A	B
31974	1	C	D	B	X	B	B	X	A	X	X	X	D	A	X	A	X	B	A	X	B	A	B
31987	1	C	C	B	D	B	D	D	A	D	X	A	A	X	B	A	B	B	X	D	B	A	B
31980	1	C	C	B	D	B	D	X	A	B	X	X	X	X	A	A	X	X	X	D	B	D	A
31916	1	C	C	B	D	B	D	D	A	C	A	A	D	X	A	A	X	X	A	B	B	D	A
31979	1	C	C	B	X	B	D	D	A	X	A	X	A	A	X	X	X	X	A	A	X	D	B
31969	1	C	C	B	D	B	D	D	A	B	C	D	A	X	D	A	B	B	X	X	B	A	B
31930	1	D	C	B	X	B	D	D	A	B	A	A	A	A	X	A	X	B	A	X	B	C	B
31951	1	C	B	B	B	B	D	X	A	B	X	X	X	D	X	A	X	B	C	X	B	B	B
