vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	146	111	5	2	13	111	15
2	C	146	109	1	10	7	109	19
3	B	146	138	4	0	138	3	1
4	D	146	87	36	6	13	4	87
5	B	146	104	36	4	104	0	2
6	D	146	126	2	2	15	1	126
7	D	146	59	48	20	6	13	59
8	A	146	132	3	132	4	2	5
9	B	146	55	57	21	55	9	4
10	A	146	95	29	95	11	4	7
11	A	146	50	44	50	17	15	20
12	A	146	93	12	93	5	10	26
13	A	146	52	48	52	28	12	6
14	A	146	36	74	36	12	3	21
15	A	146	92	28	92	6	7	13
16	A	146	23	74	23	20	8	21
17	B	146	66	66	5	66	7	2
18	A	146	84	40	84	10	6	6
19	D	146	45	62	9	12	18	45
20	B	146	97	23	9	97	10	7
21	A	146	75	10	75	28	9	24
22	B	146	80	20	18	80	20	8
