ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore
31977	1	1	16	3	3	14	16	3	3	14
32150	1	0	9	10	3	5	9	10	3	5
32149	1	0	5	7	10	2	5	7	10	2
32063	1	0	7	6	9	5	7	6	9	5
31952	1	0	11	11	0	7	11	11	0	7
32047	1	0	11	4	7	9	11	4	7	9
31909	1	1	11	1	10	10	11	1	10	10
32087	1	0	4	6	12	2	4	6	12	2
32124	1	0	8	9	5	5	8	9	5	5
32018	1	0	12	6	4	9	12	6	4	9
31946	1	1	12	3	7	10	12	3	7	10
32072	1	0	4	6	12	2	4	6	12	2
32033	1	0	6	9	7	3	6	9	7	3
32013	1	0	11	11	0	7	11	11	0	7
32056	1	0	5	15	2	0	5	15	2	0
31923	1	0	10	3	9	8	10	3	9	8
32111	1	0	13	9	0	9	13	9	0	9
32011	1	0	12	10	0	8	12	10	0	8
32065	1	0	8	1	13	7	8	1	13	7
32064	1	1	14	3	5	12	14	3	5	12
32040	1	0	9	8	5	6	9	8	5	6
32021	1	1	15	7	0	12	15	7	0	12
32107	1	1	17	3	2	15	17	3	2	15
31975	1	1	16	4	2	13	16	4	2	13
31996	1	1	20	2	0	18	20	2	0	18
32146	1	1	13	5	4	10	13	5	4	10
31948	1	1	17	5	0	14	17	5	0	14
32088	1	1	16	6	0	13	16	6	0	13
31919	1	1	16	2	4	14	16	2	4	14
31965	1	1	20	1	1	18	20	1	1	18
32092	1	1	14	1	7	12	14	1	7	12
32071	1	0	6	12	4	2	6	12	4	2
32027	1	0	12	5	5	9	12	5	5	9
32026	1	1	15	4	3	12	15	4	3	12
32093	1	0	9	9	4	5	9	9	4	5
32103	1	1	14	5	3	11	14	5	3	11
31999	1	0	10	7	5	7	10	7	5	7
31940	1	0	9	5	8	7	9	5	8	7
31989	1	0	10	2	10	8	10	2	10	8
32112	1	1	17	2	3	15	17	2	3	15
32001	1	0	5	10	7	2	5	10	7	2
32145	1	1	19	3	0	16	19	3	0	16
32009	1	0	8	1	13	7	8	1	13	7
32034	1	1	17	1	4	15	17	1	4	15
31956	1	0	9	7	6	6	9	7	6	6
32012	1	1	18	4	0	15	18	4	0	15
32076	1	1	18	2	2	16	18	2	2	16
31954	1	0	11	3	8	9	11	3	8	9
32043	1	1	14	2	6	12	14	2	6	12
31933	1	1	15	5	2	12	15	5	2	12
31988	1	0	9	8	5	6	9	8	5	6
31941	1	0	9	11	2	5	9	11	2	5
31985	1	1	16	5	1	13	16	5	1	13
32035	1	1	15	4	3	12	15	4	3	12
32017	1	1	17	4	1	14	17	4	1	14
31931	1	1	15	5	2	12	15	5	2	12
31928	1	1	15	5	2	12	15	5	2	12
32127	1	0	7	10	5	3	7	10	5	3
32138	1	0	8	6	8	5	8	6	8	5
32005	1	0	5	13	4	1	5	13	4	1
32015	1	0	9	5	8	7	9	5	8	7
31926	1	1	18	2	2	16	18	2	2	16
32084	1	0	4	8	10	1	4	8	10	1
32066	1	0	5	13	4	1	5	13	4	1
31921	1	0	9	7	6	6	9	7	6	6
31938	1	1	16	4	2	13	16	4	2	13
31924	1	0	6	3	13	5	6	3	13	5
31917	1	1	14	4	4	12	14	4	4	12
31911	1	0	7	3	12	5	7	3	12	5
31981	1	0	6	7	9	3	6	7	9	3
