vraagId	juisteAntwoord
1	D
2	C
3	D
4	B
5	C
6	B
7	D
8	D
9	B
10	B
11	E
12	C
13	D
14	A
15	A
16	C
17	E
18	C
19	B
20	C
21	C
22	B
23	C
24	E
25	D
26	B
27	C
28	C
29	E
30	C
31	C
32	A
33	D
34	C
35	C
36	B
37	D
38	C
39	D
40	D
