ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
J979453	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	A	C	D	C	A	X	B	X	X	B	A	B	B	C	B	B	C	D	A	C	C
J979449	1	X	X	A	X	X	X	X	X	D	D	D	X	A	B	X	X	C	X	A	X	D	X	X	X	D	B	D	X	A	A	X	X	C	C	X
J979448	1	C	B	A	B	C	D	D	X	B	C	A	X	A	B	X	C	X	X	A	X	B	X	X	C	D	B	A	C	A	A	X	X	X	X	D
q1392016	1	C	B	A	D	D	B	D	C	B	X	B	X	X	A	X	X	D	A	A	B	C	X	X	X	B	C	D	C	D	B	X	D	A	D	B
q1418974	1	C	B	A	B	D	D	D	A	D	C	A	X	A	B	A	C	D	B	A	X	X	X	C	C	B	D	D	C	A	B	D	C	C	A	C
q1377163	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	B	D	C	A	X	B	D	X	B	B	B	C	C	D	A	X	X	A	A	C
J979447	1	C	B	A	B	D	B	D	B	D	C	A	B	D	B	A	D	D	C	A	D	D	C	C	C	A	B	D	B	D	C	C	A	C	X	X
q1390249	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	D	C	B	A	D	C	C	A	C	D	A	C	B	D
q1318771	1	C	B	A	B	D	B	A	B	D	C	A	D	A	B	A	C	D	C	A	A	D	C	C	B	B	B	D	C	A	C	D	A	C	A	C
q1381469	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	B	D	C	A	D	D	D	C	B	B	B	D	C	A	C	D	A	C	B	C
q1343165	1	C	B	A	B	D	C	D	B	D	C	D	B	X	B	X	B	C	C	A	X	A	D	X	B	B	B	B	B	D	C	X	A	C	B	C
q1391415	1	C	B	A	B	D	B	B	B	D	C	C	X	X	B	B	C	D	C	A	A	D	X	C	B	B	A	D	C	A	C	C	A	C	A	X
J979432	1	C	B	A	B	D	B	C	B	D	C	C	B	X	B	B	C	D	C	A	X	B	D	X	B	B	B	C	A	B	C	D	A	C	A	D
J979431	1	C	B	C	A	D	B	D	X	D	C	B	A	X	X	B	C	X	D	X	X	D	C	X	X	C	X	A	C	A	B	C	A	C	A	C
J979429	1	A	B	A	B	B	C	B	A	B	B	C	D	A	D	C	B	D	B	C	A	B	A	D	B	A	C	A	C	A	D	A	A	D	D	C
J979422	1	C	B	A	B	D	B	D	B	D	C	A	X	X	B	D	X	D	D	A	X	B	X	X	X	A	C	A	D	D	D	D	D	D	C	B
q1388265	1	C	B	A	B	D	B	D	C	B	C	A	B	X	B	A	D	B	C	A	A	D	D	X	X	X	B	B	C	A	C	D	C	B	D	D
J979196	1	C	B	A	B	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
J979172	1	C	B	A	B	D	A	D	B	D	C	A	B	D	B	A	D	D	D	A	D	D	D	C	B	B	D	D	C	A	B	C	A	C	A	C
J979138	1	C	B	A	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
q0935908	1	B	B	A	B	C	B	D	B	D	C	D	D	B	B	B	B	C	A	A	D	D	D	C	D	D	B	D	C	A	C	C	A	C	A	C
J978924	1	C	B	A	B	C	B	D	B	D	C	A	C	B	B	B	B	C	B	C	C	D	D	C	A	A	B	D	B	A	C	D	A	C	A	C
J978691	1	C	B	A	B	D	X	X	C	D	C	A	B	A	B	A	C	X	C	A	X	D	C	X	B	X	B	C	C	A	C	D	A	C	A	C
