vraagId	juisteAntwoord
1	D
2	C
3	B
4	B
5	D
6	A
7	D
8	A
9	C
10	D
11	B
12	A
13	C
14	D
15	C
16	A
17	B
18	D
19	D
20	A
21	C
22	A
