ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
32376	1	B	A	D	D	B	C	D	D	C	D	B	B	A	C	B	B	A	B	A	C	D	X	A	B	A	B	A	B	B	D
32454	1	A	A	D	D	C	D	D	D	A	B	B	C	C	C	X	X	B	C	X	D	D	X	A	B	A	B	A	A	A	B
32180	1	B	C	D	A	A	D	D	D	A	B	B	B	A	B	D	X	D	A	X	B	C	X	A	D	A	X	A	D	B	B
32244	1	B	A	D	D	C	D	D	D	A	D	B	B	A	A	B	A	A	A	C	C	D	D	C	B	A	A	A	A	B	A
32700	1	B	A	D	D	A	B	C	D	C	B	B	B	A	C	B	B	D	D	C	C	D	D	B	D	D	B	A	B	A	B
33496	1	B	B	D	A	A	A	D	D	A	B	B	B	A	C	C	X	A	B	C	X	D	D	X	B	A	A	A	A	C	D
32289	1	B	A	D	D	B	D	D	D	A	D	B	B	A	C	B	B	C	A	B	C	D	D	A	C	A	B	A	B	A	B
33453	1	B	A	D	C	D	A	D	C	A	B	B	X	A	C	D	D	A	B	A	C	D	B	A	B	D	B	A	C	C	B
33701	1	B	A	D	D	A	C	C	D	A	C	B	B	A	C	D	X	B	B	A	A	D	D	B	B	D	A	A	C	C	D
33451	1	B	B	D	D	B	C	D	D	A	B	A	C	A	A	D	A	A	D	C	B	C	D	B	D	A	B	B	A	B	B
32670	1	C	A	D	A	B	D	D	X	A	B	B	A	A	C	B	X	D	C	A	B	D	D	A	B	X	A	C	C	D	A
32541	1	A	B	A	D	A	A	C	B	A	D	A	A	A	B	D	B	A	A	B	A	D	A	B	A	B	B	D	A	A	D
32318	1	B	A	D	D	A	D	D	D	C	C	B	B	A	C	B	B	D	B	B	B	D	D	A	B	A	B	C	A	B	B
