Alle studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naam","Voornaam","nummer","ijkID","ijkingstoetssessie","FeedbackGroep","TOTAAL","juist","fout","blanco","scoreA","juistA","foutA","blancoA","scoreB","juistB","foutB","blancoB","scoreC","juistC","foutC","blancoC","scoreD","juistD","foutD","blancoD","scoreE","juistE","foutE","blancoE","scoreF","juistF","foutF","blancoF","scoreG","juistG","foutG","blancoG","scoreH","juistH","foutH","blancoH"
,,30053,"17dwGRG200330053",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30054,"17dwGRG200430054",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30055,"17dwAEEX01930055",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30056,"17dwAEEX02030056",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30057,"17dwAEEX02130057",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30058,"17dwAEEX02230058",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30059,"17dwGRG200530059",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30060,"17dwGRG200630060",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30061,"17dwAEEX02330061",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30062,"17dwGRG200730062",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30063,"17dwAEEX02430063",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30064,"17dwGRG200830064",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30065,"17dwAEEX02530065",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30066,"17dwGRG200930066",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30067,"17dwGRG201030067",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30068,"17dwAEEX02630068",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30069,"17dwGRG201130069",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30445,"17dwGRG900630445",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30070,"17dwAEEX02730070",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30071,"17dwGRG201230071",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30072,"17dwGRG201330072",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30073,"17dwAEEX02830073",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30074,"17dwAEEX02930074",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30075,"17dwGRG201430075",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30076,"17dwAEEX03030076",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30077,"17dwAEEX03130077",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30078,"17dwGRG201530078",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30079,"17dwAEEX03230079",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30080,"17dwGRG201630080",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30081,"17dwGRG201730081",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30082,"17dwGRG201830082",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30083,"17dwGRG201930083",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30084,"17dwGRG202030084",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30085,"17dwAEEX03330085",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30086,"17dwAEEX03430086",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30087,"17dwGRG202130087",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30088,"17dwGRG202230088",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30089,"17dwGRG202330089",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30090,"17dwGRG202430090",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30091,"17dwGRG202530091",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30092,"17dwGRG202630092",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30093,"17dwAEEX03530093",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30094,"17dwAEEX03630094",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30095,"17dwGRG202730095",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30096,"17dwGRG202830096",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30097,"17dwGRG202930097",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30098,"17dwGRG203030098",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30099,"17dwAEEX03730099",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30100,"17dwAEEX03830100",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30101,"17dwAEEX03930101",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30102,"17dwGRG203130102",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30103,"17dwGRG203230103",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30104,"17dwGRG300130104",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30105,"17dwGRG300230105",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30106,"17dwAEEX04030106",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30107,"17dwAEEX04130107",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30108,"17dwAEEX04230108",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30109,"17dwGRG300330109",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30110,"17dwAEEX04330110",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30111,"17dwAEEX04430111",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30112,"17dwGRG300430112",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30113,"17dwAEEX04530113",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30114,"17dwAEEX04630114",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30115,"17dwAEEX04730115",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30116,"17dwGRG300530116",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30117,"17dwAEEX04830117",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30118,"17dwAEEX04930118",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30119,"17dwGRG300630119",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30120,"17dwGRG300730120",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30121,"17dwGRG300830121",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30122,"17dwGRG300930122",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30123,"17dwAEEX05030123",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30124,"17dwAEEX05130124",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30125,"17dwAEEX05230125",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30126,"17dwGRG301030126",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30127,"17dwAEEX05330127",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30128,"17dwGRG301130128",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30129,"17dwAEEX05430129",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30130,"17dwGRG301230130",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30131,"17dwGRG301330131",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30132,"17dwAEEX05530132",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30133,"17dwGRG301430133",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30134,"17dwAEEX05630134",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30135,"17dwAEEX05730135",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30136,"17dwAEEX05830136",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30137,"17dwGRG301530137",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30138,"17dwAEEX05930138",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30139,"17dwGRG301630139",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30140,"17dwGRG301730140",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30141,"17dwGRG301830141",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30446,"17dwAEEX18430446",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30142,"17dwAEEX06030142",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30143,"17dwAEEX06130143",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30144,"17dwAEEX06230144",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30145,"17dwAEEX06330145",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30146,"17dwAEEX06430146",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30147,"17dwAEEX06530147",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30148,"17dwGRG301930148",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30149,"17dwAEEX06630149",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30150,"17dwGRG302030150",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30151,"17dwAEEX06730151",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30152,"17dwAEEX06830152",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30153,"17dwGRG302130153",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
