vraagId	juisteAntwoord
1	A
2	A
3	C
4	D
5	B
6	B
7	A
8	C
9	D
10	B
11	B
12	A
13	C
14	D
15	D
16	B
17	A
18	D
19	D
20	B
21	A
22	A
23	B
24	C
25	A
26	C
27	A
28	D
29	D
30	C
