feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
13hi32271	1	D	C	D	B	C	A	D	D	B	C	E	A	C	A	D	X	E	C	B	E	B	D	C	B	C	D	C	X	B	C	D	E	C	C	A	E	B	A	X	C
13hi50071	1	D	D	B	B	C	B	D	E	C	X	C	A	C	A	D	A	X	C	E	E	B	E	A	X	B	C	C	X	C	C	X	B	C	E	A	D	B	X	E	C
13hi94163	1	A	C	D	D	C	B	D	D	B	B	E	A	C	A	D	E	D	A	B	E	B	E	B	D	X	C	C	X	D	C	X	B	B	E	X	E	A	B	E	A
13hi20631	1	D	C	A	B	B	A	D	D	B	B	E	D	C	A	B	A	E	C	B	E	B	B	C	E	C	D	C	X	C	D	X	X	C	A	A	A	D	X	X	D
13hi68808	1	D	X	A	B	C	A	D	D	B	B	E	A	C	A	D	A	E	A	B	E	B	D	C	A	B	C	C	X	B	C	X	X	X	E	A	B	B	A	E	C
13hi96773	1	D	C	D	B	D	A	D	D	E	C	E	A	C	A	D	A	E	C	B	E	B	D	B	C	C	C	B	E	B	C	D	B	C	D	A	E	B	E	E	C
13hi46768	1	D	C	D	B	X	B	D	D	B	B	D	A	C	A	D	A	E	A	B	E	B	D	B	C	C	C	C	X	B	C	D	B	C	X	E	E	D	A	A	C
13hi69443	1	D	C	A	B	C	B	D	D	E	C	E	A	C	A	D	A	E	X	B	E	B	E	B	B	C	C	C	X	B	B	X	B	X	C	A	D	X	X	C	C
13hi27821	1	D	C	D	C	B	A	D	D	B	B	A	D	C	A	D	X	D	X	E	E	X	D	B	C	A	C	A	X	C	D	X	X	C	A	X	E	B	X	D	X
13hi44985	1	X	C	D	C	B	B	D	B	B	C	E	D	C	A	D	A	E	C	B	E	B	X	B	C	C	D	C	X	C	D	D	B	C	E	B	X	X	X	A	X
13hi65734	1	E	C	A	E	B	A	A	D	B	C	E	A	E	A	D	A	E	E	B	E	B	E	B	B	E	X	C	X	B	C	E	C	C	C	X	E	A	D	E	D
13hi65247	1	X	C	D	B	C	B	D	E	B	B	E	A	C	A	D	A	E	C	B	E	B	D	B	C	E	E	C	A	B	C	D	B	C	A	A	E	X	A	E	A
13hi36651	1	C	C	B	B	X	A	D	E	E	B	D	A	C	A	D	A	E	A	D	E	B	E	B	C	C	C	B	X	C	C	E	X	C	C	D	E	A	A	E	C
13hi45269	1	D	C	D	B	B	B	D	E	B	B	E	A	C	A	D	A	D	C	B	E	B	D	B	C	C	X	C	B	C	D	E	C	B	X	A	B	E	B	D	E
13hi47057	1	D	C	D	B	C	B	D	D	B	B	E	A	C	A	D	A	D	C	B	E	B	D	B	D	C	C	C	X	C	C	D	B	C	E	X	E	X	A	A	C
13hi30430	1	D	D	A	B	B	B	D	D	B	C	E	A	C	A	D	E	E	E	C	A	B	D	B	C	B	X	C	X	D	C	X	X	D	C	A	E	B	A	X	E
13hi50759	1	D	C	D	B	C	B	D	E	B	B	E	A	C	A	D	A	E	C	B	E	B	D	X	B	C	C	C	X	B	C	E	X	C	C	A	E	D	A	E	E
13hi22793	1	B	B	D	D	A	B	D	B	B	B	B	C	C	A	E	B	D	C	B	D	B	E	B	E	A	C	X	X	B	C	B	C	B	C	B	D	E	X	X	D
13hi70317	1	C	A	D	D	X	A	D	E	B	B	E	A	C	A	D	B	E	C	B	E	B	D	B	E	C	D	C	X	B	D	D	B	C	A	X	E	D	A	X	D
13hi53345	1	D	D	B	C	X	B	D	E	B	C	E	C	C	A	D	A	E	C	B	X	B	E	C	E	C	D	C	X	B	C	X	A	X	X	C	D	E	E	X	A
13hi76972	1	D	C	D	B	E	B	D	D	B	B	E	A	C	A	D	X	D	A	B	E	B	C	B	X	X	X	X	X	C	C	X	X	X	E	X	C	X	X	X	A
13hi20943	1	D	C	D	B	C	B	D	D	B	B	E	A	C	A	D	A	X	C	B	E	B	E	B	B	X	C	C	E	C	A	X	D	C	C	A	D	D	X	X	X
13hi66929	1	D	C	E	B	D	B	D	D	B	B	E	A	C	A	D	A	E	C	B	E	B	D	C	D	C	X	C	A	B	C	D	X	C	C	X	E	D	B	E	C
13hi25816	1	D	C	D	B	C	B	D	D	E	B	E	D	C	A	D	A	B	C	B	E	B	D	B	B	C	X	X	X	E	C	X	B	C	A	X	E	B	X	X	C
13hi88042	1	X	C	D	B	C	B	D	E	X	C	E	A	C	A	D	A	E	C	B	E	B	E	C	X	E	C	B	A	B	C	D	C	C	A	A	E	D	X	E	C
13hi32316	1	D	C	E	B	D	B	D	D	B	C	E	A	C	A	D	E	X	C	B	E	B	D	B	C	A	X	X	B	B	D	X	B	B	A	X	D	X	E	X	D
13hi86012	1	C	C	D	B	X	B	D	D	B	B	E	D	C	A	C	A	E	C	B	C	E	E	B	E	X	C	C	X	D	B	X	B	X	X	B	A	D	X	E	E
13hi99342	1	D	D	D	D	B	B	D	D	B	B	D	D	C	A	D	A	X	A	B	E	B	D	B	C	E	C	C	E	B	C	X	B	C	E	X	B	D	X	E	D
13hi24972	1	D	C	D	B	C	B	D	D	E	C	E	A	C	A	D	X	A	C	B	D	B	E	B	B	X	E	B	X	B	C	E	B	C	A	A	X	D	D	E	X
13hi89362	1	X	D	B	B	C	B	D	E	A	B	E	A	C	A	D	A	E	A	A	X	B	E	A	C	X	C	C	X	C	C	X	A	X	X	A	D	X	X	E	X
13hi59952	1	D	A	D	B	C	B	D	D	B	C	E	D	C	A	D	X	A	C	B	X	B	E	B	C	X	D	D	X	C	D	X	C	D	E	X	D	C	D	D	X
13hi72081	1	D	C	D	C	E	C	D	E	B	B	E	A	C	A	E	E	D	X	B	E	B	E	B	B	B	C	C	X	C	B	E	B	D	A	C	D	B	X	E	C
13hi94878	1	D	A	D	B	C	B	D	D	B	B	E	C	C	A	D	X	D	E	B	E	B	D	B	D	C	C	C	E	C	C	X	B	C	A	A	D	D	A	A	E
13hi71632	1	D	D	D	B	B	A	X	E	B	C	E	A	C	A	D	A	X	C	B	X	B	B	C	X	D	C	D	X	B	E	X	X	B	A	X	A	B	A	A	A
13hi67953	1	D	C	D	A	B	A	D	E	B	C	E	A	D	A	D	X	X	A	B	E	C	E	E	C	X	E	B	X	C	C	X	B	C	E	X	E	E	A	D	X
13hi28402	1	D	C	D	B	C	E	D	E	B	C	E	A	C	A	D	A	D	E	B	E	B	B	A	C	B	D	C	X	C	C	D	C	B	C	A	C	A	A	A	D
13hi22578	1	D	C	D	D	B	A	D	E	A	C	E	A	C	A	D	A	X	C	B	E	B	D	B	B	C	C	C	A	B	C	X	B	X	E	A	E	D	A	X	C
13hi39547	1	D	C	D	B	C	A	D	D	B	B	E	A	C	A	D	A	E	C	B	E	B	D	C	B	C	C	C	A	B	C	D	B	C	C	A	E	D	A	A	C
13hi99613	1	C	A	B	B	B	A	D	E	B	B	E	D	C	A	D	A	E	C	B	E	X	E	B	D	E	C	A	X	E	D	C	C	D	X	X	D	A	X	X	D
13hi22529	1	D	C	D	A	C	B	D	E	B	B	E	A	C	A	B	A	E	E	B	E	B	D	B	B	C	C	C	X	B	C	D	B	C	E	A	E	C	A	E	C
13hi80337	1	D	C	D	B	E	B	D	E	B	B	C	A	C	A	A	D	B	C	B	E	B	E	A	C	E	D	C	B	C	C	D	B	C	A	A	E	B	B	B	A
13hi49207	1	D	C	D	B	C	B	D	D	B	B	E	A	C	A	D	A	D	C	B	D	B	D	B	A	B	C	A	X	A	B	D	X	C	C	X	E	D	A	E	C
