scoreNaam	groepLabel	kleur	aantal
academisch-redeneren	<5	rgb(255,140,0)	36
academisch-redeneren	5-7	rgb(255,215,0)	31
academisch-redeneren	>=7	rgb(144,238,144)	19
wiskunde	<15	rgb(255,140,0)	74
wiskunde	15-20	rgb(255,215,0)	8
wiskunde	>=20	rgb(144,238,144)	4
totaal	<10	rgb(255,140,0)	67
totaal	10-13	rgb(255,215,0)	15
totaal	>=14	rgb(144,238,144)	4
