vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	percentageJuist	aantalBlanco	percentageBlanco	aantalA	aantalB	aantalC	aantalD
1	C	169	151	89	3	1	5	6	151	4
2	B	169	158	93	4	2	1	158	2	4
3	A	169	154	91	1	0	154	3	6	5
4	B	169	141	83	3	1	6	141	9	10
5	D	169	150	89	1	0	2	10	6	150
6	B	169	129	76	13	7	5	129	15	7
7	D	169	130	77	12	7	8	5	14	130
8	B	169	154	91	10	5	3	154	2	0
9	D	169	157	93	3	1	0	6	3	157
10	C	169	158	93	2	1	1	3	158	5
11	A	169	123	73	14	8	123	7	14	11
12	B	169	103	61	29	17	18	103	12	7
13	A	169	79	47	52	30	79	16	17	5
14	B	169	140	83	7	4	4	140	4	14
15	A	169	116	69	17	10	116	17	10	9
16	C	169	147	87	7	4	0	7	147	8
17	D	169	106	63	19	11	15	11	18	106
18	C	169	126	75	6	3	9	9	126	19
19	A	169	143	85	11	6	143	1	6	8
20	D	169	101	60	36	21	13	5	14	101
21	D	169	88	52	9	5	9	43	20	88
22	C	169	73	43	31	18	2	6	73	57
23	C	169	87	51	42	24	8	16	87	16
24	B	169	125	74	19	11	2	125	13	10
25	B	169	104	62	34	20	12	104	1	18
26	C	169	133	79	12	7	5	12	133	7
27	B	169	108	64	13	7	26	108	12	10
28	C	169	115	68	9	5	9	28	115	8
29	A	169	132	78	3	1	132	6	6	22
30	D	169	107	63	27	15	19	4	12	107
31	A	169	100	59	13	7	100	38	14	4
32	C	169	129	76	8	4	10	14	129	8
33	B	169	93	55	24	14	13	93	38	1
34	B	169	128	76	4	2	9	128	24	4
35	B	169	119	70	9	5	1	119	19	21
