feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
19wb42352	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	B	C	A	D	C	C	B	B	B
19wb48967	1	B	B	B	A	B	X	X	B	X	A	X	X	D	B	X	C	B	C	X	D	B	B	X	A	B	C	C	B	A	D	C	D	B	B	B
19wb95858	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	D	D	X	B	B	C	A	C	A	D	A	C	X	B	B
19wb65726	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	A	C	A	A	B	C	B	B	B	C	B	D	D	D	C	A	B	B	C
19wb29129	1	C	X	A	X	C	C	X	X	D	C	A	X	X	X	X	X	X	X	X	A	B	X	B	X	X	B	D	B	A	X	B	B	C	C	B
19wb13141	1	C	C	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb22440	1	C	D	A	C	A	C	A	B	D	C	C	D	A	B	X	X	X	D	X	X	X	X	X	X	X	C	B	C	A	A	B	X	X	A	X
19wb11118	1	C	B	A	B	D	D	D	B	D	C	C	X	X	B	A	C	D	C	A	D	X	C	X	B	B	C	X	C	A	X	X	C	X	B	C
19wb22210	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb44538	1	C	B	A	B	D	B	A	B	D	C	A	B	X	X	X	C	D	D	A	A	B	X	D	B	A	B	C	C	A	C	D	C	C	B	D
19wb58093	1	C	B	A	B	D	B	A	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	B	D	A	D	A	C	B	B	B
19wb49926	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	X	B	X	C	B	C	A	D	A	C	C	B	B
19wb29084	1	C	B	C	B	D	B	B	B	D	C	A	C	X	A	X	C	C	C	A	X	B	C	C	B	B	B	A	B	A	D	C	C	B	C	C
19wb80807	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb55831	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	C	X	B	X	C	B	C	A	D	C	C	C	C	B
19wb29877	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	A	C	D	C	A	X	D	C	C	B	B	C	A	C	A	D	A	C	B	B	B
19wb53767	1	C	B	A	B	D	B	D	B	D	C	D	B	A	B	X	C	D	C	A	D	D	D	X	B	B	C	B	C	A	X	A	B	B	B	B
19wb52899	1	C	B	A	B	D	X	X	B	D	C	A	X	A	B	A	C	X	C	A	X	D	C	C	B	B	B	B	B	A	C	A	X	X	B	B
19wb78273	1	C	B	C	B	D	B	D	B	D	C	A	X	B	B	A	C	A	B	A	D	B	D	A	B	D	C	A	C	D	D	A	A	A	C	B
19wb69328	1	C	B	A	B	D	B	D	B	D	X	A	X	X	B	A	C	C	C	A	D	D	D	B	B	B	C	B	B	A	X	A	C	C	B	B
19wb69565	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb28057	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	B	B	B	C	B	B	A	C	B	B	B	B	B
19wb37021	1	C	B	A	B	D	A	D	B	D	C	A	X	X	B	A	C	D	C	A	C	D	C	D	B	B	C	A	C	A	D	A	C	B	B	D
19wb98484	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	B	D	C	B	B	C	B	C	A	B	A	C	C	B	B
19wb72995	1	C	B	C	D	B	B	B	B	D	C	D	A	C	B	C	C	A	C	A	B	B	C	D	C	A	C	A	B	A	A	A	C	C	B	D
19wb86329	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb70335	1	C	B	A	B	D	B	D	B	D	C	C	B	B	B	A	C	D	C	A	D	B	D	C	C	B	C	B	C	A	D	A	C	B	B	B
19wb79512	1	C	B	A	B	D	B	D	B	D	C	X	A	A	B	X	C	C	D	A	X	B	D	X	B	B	C	A	B	B	X	A	C	C	B	B
19wb14202	1	C	B	C	C	C	B	D	B	D	C	C	B	X	B	D	C	B	D	D	A	D	C	B	B	B	C	B	A	B	A	X	C	B	X	D
19wb37551	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	X	C	B	C	A	D	A	X	B	A	B
19wb93320	1	C	B	A	D	D	B	C	B	D	C	A	X	D	D	X	C	C	C	A	X	D	C	X	X	X	A	X	D	D	D	A	A	C	B	C
19wb35507	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	X	C	A	X	B	C	C	D	X	X	A	B	A	X	A	C	X	C	X
19wb21524	1	B	B	A	B	D	B	D	B	D	C	A	B	A	B	X	D	D	C	A	D	B	B	C	B	B	C	B	B	A	D	A	C	B	B	B
19wb68112	1	C	B	D	B	D	C	D	B	D	C	A	B	A	D	A	C	A	C	A	D	B	D	C	C	B	C	B	B	A	C	A	C	B	B	B
19wb39198	1	C	B	A	B	D	B	D	B	D	C	X	X	A	B	A	C	D	C	A	X	D	X	X	X	B	X	X	X	X	X	A	X	X	X	X
19wb80235	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	A	C	B	C	A	D	A	C	B	C	B
19wb76372	1	C	B	A	B	D	C	D	B	D	C	A	A	B	B	D	C	D	D	A	D	C	C	B	B	A	C	B	C	D	D	A	A	B	B	C
19wb24690	1	C	B	A	A	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	C	D	C	B	B	C	B	B	A	D	B	C	C	B	B
19wb97752	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	X	C	B	X	X	B	C	A	D	X	C	B	B	B
19wb10772	1	C	B	A	C	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	X	C	B	C	A	D	A	C	C	B	B
19wb33125	1	C	B	C	D	D	B	D	B	D	C	A	B	B	B	A	C	B	C	A	D	C	C	C	B	B	C	B	B	A	D	A	C	B	B	B
19wb41420	1	C	B	A	B	D	B	A	B	D	C	A	A	A	B	A	B	C	C	A	D	B	X	D	B	B	C	B	C	A	D	B	C	A	B	B
19wb15111	1	A	C	A	C	D	C	C	B	D	C	X	C	C	B	C	C	A	C	A	D	C	C	D	D	B	C	B	C	D	D	A	C	B	B	B
19wb88394	1	C	B	A	B	D	D	D	B	D	C	A	B	A	B	A	C	X	C	A	D	X	C	X	D	B	C	D	B	D	D	B	C	B	B	B
19wb12769	1	X	B	A	B	D	X	X	X	D	C	A	X	X	B	X	C	D	X	X	X	B	X	X	X	X	C	A	A	A	X	A	B	C	B	B
19wb52531	1	C	B	A	B	D	B	D	B	D	C	X	B	X	B	A	C	D	X	A	D	B	D	X	B	D	C	D	B	D	X	X	C	C	B	X
19wb10601	1	C	D	D	B	C	D	C	B	D	B	A	D	B	C	B	B	B	C	D	C	A	C	C	D	B	B	A	D	A	D	A	C	C	B	B
19wb61674	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	X	D	A	C	B	D	C	X	B	C	B	C	A	D	B	C	X	C	D
19wb32903	1	C	B	A	D	D	X	D	B	D	C	A	X	X	B	A	C	D	C	A	X	C	X	C	B	B	C	B	C	A	X	C	C	C	C	B
19wb76165	1	C	B	A	B	C	X	X	B	D	C	X	X	X	B	X	X	X	A	X	X	X	X	C	X	X	X	D	X	B	X	X	B	X	C	D
19wb81707	1	C	B	A	B	D	B	B	B	D	C	A	B	X	D	A	C	D	B	A	D	D	D	D	B	D	C	D	C	A	D	A	C	B	C	B
19wb76135	1	C	B	A	B	D	B	A	B	B	C	A	C	B	B	A	C	A	B	X	X	B	D	X	B	X	X	X	X	A	X	X	B	X	B	B
19wb94579	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	A	D	D	C	B	B	C	B	C	A	D	A	C	B	B	B
19wb97328	1	C	B	A	B	D	B	D	B	D	C	X	C	A	B	A	C	D	C	A	D	C	C	C	B	B	C	A	C	A	X	A	C	B	B	X
19wb59204	1	C	B	A	B	D	B	D	B	D	C	X	C	A	B	A	C	D	C	A	D	C	C	C	B	B	C	A	C	A	X	A	C	B	B	X
