ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
31009	1	D	C	B	B	D	A	D	A	C	D	X	X	X	X	C	X	X	X	D	X	C	A
30838	1	D	C	D	B	C	B	X	A	X	D	B	D	X	D	C	X	X	X	D	C	C	A
31000	1	X	A	D	D	B	A	C	B	C	B	C	A	C	C	B	A	X	D	D	C	X	C
31078	1	D	C	B	B	C	A	C	A	C	B	B	A	X	D	C	C	X	D	D	D	C	A
30891	1	D	C	B	D	D	A	X	A	C	C	X	A	X	X	C	A	B	D	D	A	C	A
31076	1	D	C	B	B	D	A	D	A	C	D	B	X	D	D	C	X	X	D	D	D	C	A
30864	1	D	C	B	B	D	X	C	A	C	C	B	B	X	D	C	X	B	D	D	A	C	A
30992	1	B	C	B	B	D	X	C	A	X	D	B	X	C	D	C	X	D	C	D	A	C	A
31080	1	D	C	X	B	D	C	B	A	D	D	B	X	C	D	C	X	D	D	D	C	C	A
30919	1	D	C	B	B	D	A	C	A	C	D	B	X	X	D	X	X	X	X	D	A	X	A
31008	1	D	B	A	D	B	A	B	C	C	B	C	A	C	A	C	B	X	D	C	C	A	B
30954	1	D	B	X	C	A	X	D	D	X	B	D	X	C	X	B	X	X	B	C	B	A	A
30841	1	C	C	D	D	B	C	B	D	X	B	B	X	A	C	B	A	X	B	D	A	A	C
30839	1	D	C	D	B	D	A	C	A	C	D	B	D	C	D	C	C	B	D	D	A	A	A
30852	1	D	B	B	C	D	X	X	D	C	C	B	X	C	D	D	X	X	C	X	C	C	A
31052	1	D	C	D	D	A	B	C	X	C	D	X	A	X	D	X	X	X	X	D	C	X	A
30966	1	D	C	B	B	D	C	D	A	X	D	B	X	X	D	C	X	X	D	D	A	C	A
30983	1	D	C	B	B	D	C	B	D	D	B	D	D	C	A	D	B	B	D	D	A	A	A
30846	1	D	B	B	X	X	B	A	A	C	D	X	A	X	C	X	X	X	X	D	A	A	A
30861	1	D	D	D	C	B	X	D	A	D	B	B	A	X	B	B	X	X	X	C	C	B	D
31044	1	D	C	B	B	D	A	D	A	C	D	B	X	X	D	C	X	D	D	D	A	A	A
30874	1	D	C	X	B	A	A	C	A	X	D	B	X	C	C	X	B	B	D	D	A	C	A
31074	1	D	C	B	B	X	X	B	A	C	D	C	A	B	D	A	B	C	C	D	A	X	D
31028	1	D	C	B	A	D	C	C	A	C	D	B	D	X	D	D	A	B	D	D	A	A	A
31360	1	D	C	B	B	D	A	D	A	C	D	B	A	C	D	C	X	B	D	D	A	X	A
31167	1	D	C	B	B	D	C	D	A	C	D	X	X	X	D	C	X	B	X	D	A	D	A
31244	1	D	C	C	C	D	X	C	A	C	D	A	A	X	D	B	X	X	X	D	A	D	A
31346	1	X	C	B	D	X	A	C	A	X	D	X	X	X	X	C	X	X	X	D	A	C	A
31216	1	D	C	B	B	D	C	D	A	C	D	B	X	X	D	X	X	X	A	D	X	C	A
31342	1	D	C	B	B	D	A	C	A	C	D	B	A	X	D	C	X	X	D	D	A	A	A
31201	1	D	C	B	B	D	C	D	A	C	D	B	A	C	D	C	X	D	D	D	A	C	A
31198	1	A	C	B	B	C	X	D	A	X	D	B	A	C	C	B	B	X	X	D	A	C	A
31256	1	D	C	B	B	D	X	C	A	X	B	B	A	X	D	C	X	X	X	D	A	C	A
31209	1	D	C	B	B	D	A	C	A	C	D	B	A	C	X	C	X	B	D	D	A	C	A
31186	1	D	C	X	B	D	C	B	A	C	D	B	X	C	D	D	X	B	D	D	D	C	A
31364	1	C	D	D	B	A	C	D	B	A	B	C	A	C	B	D	C	A	B	D	A	D	D
31128	1	D	C	B	B	D	X	B	D	X	D	X	A	X	X	C	X	X	D	D	A	C	A
31190	1	D	C	B	B	D	B	C	A	C	B	X	X	C	D	D	A	X	D	D	A	C	A
31688	1	D	C	D	B	X	C	D	A	C	B	D	B	X	C	A	C	D	A	B	D	C	B
31644	1	D	C	C	B	X	X	B	X	C	D	X	A	X	D	C	X	X	D	D	A	C	A
31513	1	D	C	B	B	D	A	D	A	C	D	B	X	X	C	D	A	B	X	D	C	A	A
31678	1	D	C	B	B	D	A	D	A	X	B	B	X	B	D	C	X	B	D	D	A	C	A
31405	1	B	C	B	B	D	B	C	A	X	B	B	C	X	C	B	X	X	X	D	D	C	A
31378	1	B	A	B	B	D	A	D	B	X	B	X	A	C	D	C	X	X	X	D	B	C	D
31392	1	D	C	B	B	D	A	D	A	D	D	B	A	C	D	C	A	B	D	D	D	C	A
31654	1	D	D	C	B	D	C	A	B	X	D	C	X	C	D	B	X	X	X	D	D	B	A
31429	1	D	C	B	B	C	A	D	A	C	D	B	X	X	D	C	X	B	D	D	A	C	A
31639	1	D	C	B	B	D	X	X	A	C	D	B	X	X	D	X	X	X	X	D	X	X	C
31569	1	B	C	B	B	D	X	X	D	A	D	D	X	X	D	C	X	B	D	D	X	C	A
31459	1	X	C	X	X	X	X	D	X	X	B	X	X	X	D	D	X	X	X	D	D	X	A
31445	1	C	C	A	B	D	A	D	C	X	D	D	X	X	C	C	X	D	X	D	B	B	C
31547	1	D	C	B	A	D	B	D	B	C	D	B	X	C	D	X	X	X	X	D	A	A	A
31537	1	D	B	B	B	C	A	B	A	C	B	X	A	X	D	C	X	B	X	D	C	C	A
