ijkID	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskunde_basisJuist	wiskunde_basisFout	wiskunde_basisBlanco	wiskunde_basisScore	wiskunde_standaardJuist	wiskunde_standaardFout	wiskunde_standaardBlanco	wiskunde_standaardScore	ruimtelijkJuist	ruimtelijkFout	ruimtelijkBlanco	ruimtelijkScore
30478	1	0	9	7	6	6	5	7	6	3	4	3	1	4	1	4	5	0	4	0	0	10
30561	1	1	16	3	3	14	12	3	3	12	7	1	0	8	5	2	3	9	4	0	0	10
30537	1	0	11	6	5	8	8	5	5	7	5	3	0	5	3	2	5	5	3	1	0	7
31725	1	0	7	7	8	4	5	5	8	4	2	4	2	1	3	1	6	5	2	2	0	3
30655	1	0	11	4	7	9	11	2	5	11	6	1	1	7	5	1	4	9	0	2	2	0
31175	1	0	10	6	6	7	9	3	6	9	5	2	1	5	4	1	5	7	1	3	0	0
30854	1	1	15	5	2	12	11	5	2	10	6	2	0	7	5	3	2	8	4	0	0	10
30949	1	1	13	4	5	11	10	3	5	10	6	2	0	7	4	1	5	7	3	1	0	7
31034	1	1	16	3	3	14	12	3	3	12	7	0	1	9	5	3	2	8	4	0	0	10
31249	1	1	19	0	3	17	15	0	3	17	8	0	0	10	7	0	3	14	4	0	0	10
31587	1	1	14	1	7	12	10	1	7	11	7	0	1	9	3	1	6	5	4	0	0	10
31236	1	0	10	5	7	8	9	3	6	9	5	2	1	5	4	1	5	7	1	2	1	1
31498	1	1	14	0	8	13	12	0	6	13	7	0	1	9	5	0	5	10	2	0	2	5
31241	1	0	14	7	1	11	10	7	1	9	5	3	0	5	5	4	1	7	4	0	0	10
31621	1	1	14	1	7	12	10	1	7	11	7	1	0	8	3	0	7	6	4	0	0	10
31650	1	1	13	2	7	11	10	1	7	11	5	1	2	6	5	0	5	10	3	1	0	7
31139	1	1	13	4	5	11	10	3	5	10	5	3	0	5	5	0	5	10	3	1	0	7
30579	1	1	14	2	6	12	10	2	6	10	5	2	1	5	5	0	5	10	4	0	0	10
30761	1	1	14	2	6	12	10	2	6	10	5	2	1	5	5	0	5	10	4	0	0	10
30707	1	1	14	0	8	13	10	0	8	11	5	0	3	6	5	0	5	10	4	0	0	10
30924	1	1	15	3	4	13	11	3	4	11	6	2	0	7	5	1	4	9	4	0	0	10
30880	1	1	14	2	6	12	11	2	5	11	6	1	1	7	5	1	4	9	3	0	1	8
30673	1	1	19	0	3	17	15	0	3	17	8	0	0	10	7	0	3	14	4	0	0	10
30542	1	0	13	4	5	11	9	4	5	9	3	4	1	2	6	0	4	12	4	0	0	10
30519	1	1	15	3	4	13	12	2	4	13	7	1	0	8	5	1	4	9	3	1	0	7
30750	1	0	12	4	6	10	8	4	6	7	4	3	1	4	4	1	5	7	4	0	0	10
30540	1	0	8	6	8	5	7	4	7	6	5	2	1	5	2	2	6	3	1	2	1	1
30943	1	1	19	2	1	17	15	2	1	16	6	2	0	7	9	0	1	18	4	0	0	10
31462	1	1	12	2	8	10	10	1	7	11	6	1	1	7	4	0	6	8	2	1	1	4
31110	1	1	16	0	6	15	12	0	6	13	6	0	2	8	6	0	4	12	4	0	0	10
31005	1	1	14	4	4	12	11	3	4	11	7	1	0	8	4	2	4	7	3	1	0	7
30708	1	0	12	5	5	9	11	2	5	11	5	2	1	5	6	0	4	12	1	3	0	0
31211	1	1	13	4	5	11	11	3	4	11	6	1	1	7	5	2	3	9	2	1	1	4
30883	1	0	11	3	8	9	7	3	8	7	3	2	3	3	4	1	5	7	4	0	0	10
30837	1	1	16	1	5	14	14	1	3	15	7	0	1	9	7	1	2	13	2	0	2	5
31276	1	1	19	0	3	17	15	0	3	17	8	0	0	10	7	0	3	14	4	0	0	10
30857	1	0	13	5	4	10	9	5	4	8	5	3	0	5	4	2	4	7	4	0	0	10
31225	1	1	21	1	0	19	18	0	0	20	8	0	0	10	10	0	0	20	3	1	0	7
30483	1	0	11	8	3	8	10	5	3	9	6	2	0	7	4	3	3	6	1	3	0	0
31353	1	0	9	7	6	6	7	5	6	6	4	3	1	4	3	2	5	5	2	2	0	3
31095	1	0	10	8	4	7	10	4	4	10	6	2	0	7	4	2	4	7	0	4	0	0
31669	1	1	13	4	5	11	12	3	3	12	5	3	0	5	7	0	3	14	1	1	2	2
30881	1	0	9	11	2	5	7	9	2	4	5	3	0	5	2	6	2	0	2	2	0	3
31594	1	1	15	3	4	13	11	3	4	11	5	3	0	5	6	0	4	12	4	0	0	10
31089	1	1	14	3	5	12	10	3	5	10	4	3	1	4	6	0	4	12	4	0	0	10
31151	1	0	8	6	8	5	5	5	8	4	4	1	3	5	1	4	5	0	3	1	0	7
31065	1	0	7	6	9	5	5	5	8	4	3	3	2	3	2	2	6	3	2	1	1	4
30691	1	0	8	4	10	6	6	3	9	6	3	3	2	3	3	0	7	6	2	1	1	4
31060	1	0	9	5	8	7	5	5	8	4	3	4	1	2	2	1	7	3	4	0	0	10
31648	1	1	17	2	3	15	14	1	3	15	8	0	0	10	6	1	3	11	3	1	0	7
31183	1	0	10	8	4	7	9	6	3	8	5	2	1	5	4	4	2	5	1	2	1	1
31606	1	0	8	9	5	5	6	7	5	4	5	3	0	5	1	4	5	0	2	2	0	3
30536	1	1	17	0	5	15	13	0	5	14	7	0	1	9	6	0	4	12	4	0	0	10
30848	1	0	9	4	9	7	5	4	9	4	4	3	1	4	1	1	8	1	4	0	0	10
30530	1	1	14	5	3	11	12	3	3	12	7	1	0	8	5	2	3	9	2	2	0	3
31068	1	1	13	3	6	11	10	3	5	10	6	1	1	7	4	2	4	7	3	0	1	8
30909	1	1	19	3	0	16	16	2	0	17	7	1	0	8	9	1	0	17	3	1	0	7
