vraagId	juisteAntwoord	aantalAntwoorden	aantalJuist	aantalBlanco	aantalA	aantalB	aantalC	aantalD
1	C	169	151	3	5	6	151	4
2	B	169	158	4	1	158	2	4
3	A	169	154	1	154	3	6	5
4	B	169	141	3	6	141	9	10
5	D	169	150	1	2	10	6	150
6	B	169	129	13	5	129	15	7
7	D	169	130	12	8	5	14	130
8	B	169	154	10	3	154	2	0
9	D	169	157	3	0	6	3	157
10	C	169	158	2	1	3	158	5
11	A	169	123	14	123	7	14	11
12	B	169	103	29	18	103	12	7
13	A	169	79	52	79	16	17	5
14	B	169	140	7	4	140	4	14
15	A	169	116	17	116	17	10	9
16	C	169	147	7	0	7	147	8
17	D	169	106	19	15	11	18	106
18	C	169	126	6	9	9	126	19
19	A	169	143	11	143	1	6	8
20	D	169	101	36	13	5	14	101
21	D	169	88	9	9	43	20	88
22	C	169	73	31	2	6	73	57
23	C	169	87	42	8	16	87	16
24	B	169	125	19	2	125	13	10
25	B	169	104	34	12	104	1	18
26	C	169	133	12	5	12	133	7
27	B	169	108	13	26	108	12	10
28	C	169	115	9	9	28	115	8
29	A	169	132	3	132	6	6	22
30	D	169	107	27	19	4	12	107
31	A	169	100	13	100	38	14	4
32	C	169	129	8	10	14	129	8
33	B	169	93	24	13	93	38	1
34	B	169	128	4	9	128	24	4
35	B	169	119	9	1	119	19	21
