Alle Studenten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Naam,Voornaam,nummer,onlineID,ijkingstoetssessie,FeedbackGroep,TOTAAL,juist,fout,blanco,scoreA,juistA,foutA,blancoA,scoreB,juistB,foutB,blancoB,scoreC,juistC,foutC,blancoC,scoreD,juistD,foutD,blancoD,scoreE,juistE,foutE,blancoE,scoreF,juistF,foutF,blancoF,scoreG,juistG,foutG,blancoG,scoreH,juistH,foutH,blancoH
,,33316,wb1596532087igsJvzcEROGldtTdiR57zjytJnAjEA,19,A,19,34,1,0,19,24,1,0,10,10,0,0,14,14,1,0,10,10,0,0,,,,,,,,,,,,,,,,
,,33307,wb1596476924lgJS1L7b7rcbMBQdihwRlyUiiflRQ8,19,A,18,32,3,0,17,22,3,0,10,10,0,0,14,14,1,0,7,8,2,0,,,,,,,,,,,,,,,,
,,33018,wb1594628980FfhP9BH4rIOCa6vTWzyg4W1c3152rW,19,A,8,18,13,4,6,11,11,3,6,7,2,1,3,5,7,3,5,6,4,0,,,,,,,,,,,,,,,,
,,32202,wb15910095894wX5Ghvhh90nOFoOizABMSdPGYkLRc,19,A,14,26,5,4,11,16,5,4,10,10,0,0,7,8,4,3,8,8,1,1,,,,,,,,,,,,,,,,
,,32235,wb1591018283L0s7m8t48bdhZpHI4zyPIB3NqDvN8g,19,A,12,23,8,4,10,15,6,4,7,8,2,0,8,9,3,3,5,6,3,1,,,,,,,,,,,,,,,,
,,33056,wb1594910665TsQgDNtSTPIHlY24tGgVoBU989z6H2,19,A,11,21,5,9,10,13,3,9,7,8,2,0,4,5,3,7,8,8,0,2,,,,,,,,,,,,,,,,
,,32438,wb1591440249Dv8fSfgaai1BJMQZOrTFKdn9NfmBET,19,A,17,31,4,0,16,21,4,0,10,10,0,0,11,12,3,0,9,9,1,0,,,,,,,,,,,,,,,,
,,33783,wb1596395770zW5BVNH8hxFEQSz5hfqpSKRgXRr0pB,19,A,15,27,1,7,13,17,1,7,10,10,0,0,9,9,1,5,8,8,0,2,,,,,,,,,,,,,,,,
,,32486,wb1591605273JMUHsz5I0K2OTY47hUeuESSq7tJFz2,19,A,18,32,3,0,17,22,3,0,10,10,0,0,15,15,0,0,6,7,3,0,,,,,,,,,,,,,,,,
,,33709,wb1593454105JKB2uTZZPNZPE5PbEYf89ZGvlRbozh,19,A,18,33,2,0,18,23,2,0,10,10,0,0,14,14,1,0,9,9,1,0,,,,,,,,,,,,,,,,
,,32874,wb1593694708H1uVCol5iqz5WggbLRoYW8z6MlgX46,19,A,5,13,14,8,6,11,9,5,0,2,5,3,3,5,5,5,5,6,4,0,,,,,,,,,,,,,,,,
,,33094,wb1595246685RKmZBXap709x4YwTtF3wyBft0h3mza,19,A,16,29,2,4,15,19,2,4,10,10,0,0,11,11,1,3,8,8,1,1,,,,,,,,,,,,,,,,
,,33267,wb1596365328HclTGxFXIqwG8PWep1jiNZx5zVwLpg,19,A,13,26,9,0,10,16,9,0,10,10,0,0,10,11,4,0,3,5,5,0,,,,,,,,,,,,,,,,
,,33066,wb1594987458hgb1icw5O3ONyav2SjyrKYWQVJ6PiD,19,A,2,7,12,16,0,3,10,12,3,4,2,4,0,1,3,11,0,2,7,1,,,,,,,,,,,,,,,,
,,32562,wb1591857818fXHxN4nQLYaTInAdp5Gb3OLwuuBGjK,19,A,19,34,1,0,20,25,0,0,9,9,1,0,15,15,0,0,10,10,0,0,,,,,,,,,,,,,,,,
,,33892,wb1597407033ujLFKkes8b5jcmKqqExoybAifn9Nrg,19,A,4,11,11,13,3,6,6,13,3,5,5,0,1,2,3,10,3,4,3,3,,,,,,,,,,,,,,,,
,,32313,wb1591117328hNKQG55bI5bCDy2U3JQLWAr36RyT3N,19,A,13,24,3,8,11,15,2,8,9,9,1,0,10,10,1,4,5,5,1,4,,,,,,,,,,,,,,,,
,,32973,wb1594293760lyj8gwwUQiqqBkJ9VaFLJAyCVEnKBR,19,A,20,35,0,0,20,25,0,0,10,10,0,0,15,15,0,0,10,10,0,0,,,,,,,,,,,,,,,,
,,32276,wb1591089387WSZK9ise8p3T0fiQmU5KXpxOdpJ29W,19,A,9,19,12,4,5,10,11,4,9,9,1,0,4,6,5,4,2,4,6,0,,,,,,,,,,,,,,,,
,,33464,wb1597164382dncEbpu8XhdxFpPUrFOU7rz58TaDoY,19,A,18,32,3,0,18,23,2,0,9,9,1,0,14,14,1,0,9,9,1,0,,,,,,,,,,,,,,,,
,,32275,wb1591085024V1SPXE6qANufF77SQL1JtvIAov0NRN,19,A,17,30,3,2,15,20,3,2,10,10,0,0,10,11,2,2,9,9,1,0,,,,,,,,,,,,,,,,
