ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35
33094	1	C	B	A	B	D	B	D	B	D	C	A	B	X	B	A	C	D	C	A	X	D	D	X	B	B	C	A	C	A	D	A	C	X	B	B
33267	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	A	C	A	A	B	C	B	B	B	C	B	D	D	D	C	A	B	B	C
33066	1	C	X	A	X	C	C	X	X	D	C	A	X	X	X	X	X	X	X	X	A	B	X	B	X	X	B	D	B	A	X	B	B	C	C	B
32562	1	C	C	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
33892	1	C	D	A	C	A	C	A	B	D	C	C	D	A	B	X	X	X	D	X	X	X	X	X	X	X	C	B	C	A	A	B	X	X	A	X
32313	1	C	B	A	B	D	D	D	B	D	C	C	X	X	B	A	C	D	C	A	D	X	C	X	B	B	C	X	C	A	X	X	C	X	B	C
32973	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
32276	1	C	B	A	B	D	B	A	B	D	C	A	B	X	X	X	C	D	D	A	A	B	X	D	B	A	B	C	C	A	C	D	C	C	B	D
33464	1	C	B	A	B	D	B	A	B	D	C	A	B	A	B	A	C	D	C	A	D	D	D	C	B	B	C	B	D	A	D	A	C	B	B	B
32275	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	C	D	C	A	D	B	D	X	B	X	C	B	C	A	D	A	C	C	B	B
32821	1	C	B	C	B	D	B	B	B	D	C	A	C	X	A	X	C	C	C	A	X	B	C	C	B	B	B	A	B	A	D	C	C	B	C	C
33229	1	C	B	A	B	D	B	D	B	D	C	A	B	C	B	A	C	D	C	A	D	D	C	C	B	B	C	B	C	A	D	A	C	B	B	B
32401	1	C	B	A	B	D	B	D	B	D	C	A	B	A	B	A	D	D	C	A	D	D	C	X	B	X	C	B	C	A	D	C	C	C	C	B
33326	1	C	B	A	B	D	B	D	B	D	C	A	X	A	B	A	C	D	C	A	X	D	C	C	B	B	C	A	C	A	D	A	C	B	B	B
32199	1	C	B	A	B	D	B	D	B	D	C	D	B	A	B	X	C	D	C	A	D	D	D	X	B	B	C	B	C	A	X	A	B	B	B	B
33635	1	C	B	A	B	D	X	X	B	D	C	A	X	A	B	A	C	X	C	A	X	D	C	C	B	B	B	B	B	A	C	A	X	X	B	B
32383	1	C	B	C	B	D	B	D	B	D	C	A	X	B	B	A	C	A	B	A	D	B	D	A	B	D	C	A	C	D	D	A	A	A	C	B
33139	1	C	B	A	B	D	B	D	B	D	X	A	X	X	B	A	C	C	C	A	D	D	D	B	B	B	C	B	B	A	X	A	C	C	B	B
