feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30	vraag31	vraag32	vraag33	vraag34	vraag35	vraag36	vraag37	vraag38	vraag39	vraag40
13ew75505	1	D	C	B	B	C	B	D	D	X	B	D	C	D	A	A	C	X	C	X	C	C	B	A	E	D	B	C	C	E	C	E	A	D	C	C	X	D	C	B	D
13ew45795	1	D	C	D	B	B	B	D	D	B	B	E	E	D	A	A	C	X	C	X	C	C	B	A	E	D	E	B	X	E	X	B	X	D	B	B	A	D	E	X	A
13ew58972	1	D	C	D	D	B	B	D	D	C	B	E	E	D	A	A	C	D	B	X	C	C	B	C	E	D	B	C	C	E	C	A	A	D	B	B	C	E	X	D	D
13ew77433	1	D	D	D	B	C	A	D	D	A	B	E	C	D	A	A	C	D	C	B	C	X	B	A	B	D	X	B	C	C	C	A	A	D	B	B	C	D	E	B	C
13ew43137	1	D	C	D	B	B	B	D	D	B	X	E	C	D	A	A	C	X	C	B	C	C	D	A	E	D	C	C	C	E	C	C	A	E	C	B	C	B	X	D	X
13ew54691	1	X	C	A	B	C	B	D	D	B	B	E	C	D	A	A	C	E	X	B	C	C	B	C	E	D	B	C	C	B	C	C	A	D	D	B	D	D	X	X	D
13ew24086	1	C	C	A	D	A	B	D	D	B	B	E	E	D	D	A	C	E	C	A	C	A	B	C	E	B	B	B	X	E	B	C	A	A	D	C	E	E	A	D	A
13ew17944	1	C	C	D	A	B	B	D	D	B	C	E	C	A	A	A	C	X	C	X	C	C	B	A	E	D	B	C	X	E	C	E	A	D	C	X	D	D	C	X	D
13ew26460	1	E	C	D	A	C	A	D	D	C	C	E	C	D	A	A	C	D	B	B	B	C	A	A	E	B	B	C	C	C	C	A	A	D	B	B	C	E	D	A	D
13ew17583	1	D	D	D	B	B	A	D	D	B	B	E	E	C	E	A	C	E	C	X	X	C	B	A	E	D	X	E	X	E	X	A	X	E	X	B	X	D	X	D	X
13ew56344	1	D	C	D	A	E	A	D	D	E	C	E	C	C	A	A	C	D	C	X	E	C	B	A	E	D	B	B	E	E	X	E	X	A	C	B	C	D	E	C	C
13ew45973	1	D	C	D	B	B	B	D	D	B	C	E	C	D	A	A	C	E	C	B	C	X	B	C	E	D	B	C	C	E	C	C	A	D	C	C	X	D	E	D	E
13ew85822	1	E	C	D	A	X	B	D	E	E	B	E	E	D	A	A	C	D	C	B	A	C	B	A	E	D	B	C	E	X	C	X	A	E	C	B	C	B	A	A	X
13ew66151	1	D	C	D	B	C	A	D	E	B	B	E	C	E	D	A	C	E	C	A	C	C	B	A	E	B	B	C	E	E	C	A	D	D	C	B	C	D	A	E	X
13ew71306	1	D	C	D	B	E	B	D	D	B	B	E	C	C	A	A	C	E	B	X	C	C	B	A	E	B	B	D	C	E	C	C	X	A	B	B	E	B	E	D	D
13ew85476	1	X	C	D	B	X	B	D	E	X	C	E	C	D	D	A	C	X	X	E	C	X	X	A	E	D	X	C	X	E	X	C	X	X	X	B	C	X	X	D	A
13ew79827	1	C	C	C	B	C	E	D	E	B	B	E	C	D	A	A	C	E	C	C	C	A	E	A	E	A	B	X	C	E	X	C	E	D	B	B	D	D	E	A	D
13ew29222	1	D	C	D	B	D	B	D	D	B	B	E	C	D	A	A	C	X	C	B	X	C	B	A	E	D	B	C	X	E	C	A	A	D	D	X	X	D	A	D	D
13ew85950	1	D	C	D	C	D	B	D	D	B	B	E	C	D	A	A	C	E	C	E	A	C	B	C	E	D	B	C	C	B	C	C	A	D	C	C	C	D	C	D	D
13ew24946	1	C	C	D	B	B	A	D	D	C	C	D	C	D	A	A	C	B	C	E	C	X	X	A	E	A	E	X	X	E	C	A	A	D	C	B	X	D	A	D	E
13ew86187	1	D	C	D	B	D	B	D	D	B	C	E	E	D	A	A	C	X	C	C	X	X	B	A	E	E	B	B	C	E	C	X	D	E	C	A	X	E	A	B	B
13ew75122	1	D	C	B	B	C	B	D	D	C	B	E	C	C	A	A	B	X	C	E	X	C	B	A	E	D	C	D	X	E	X	X	X	X	X	B	C	C	A	C	D
13ew81238	1	D	D	D	B	C	A	D	D	B	B	E	C	D	A	A	C	E	X	B	C	C	B	C	E	B	B	C	C	E	C	C	A	D	C	B	E	E	C	B	D
13ew21488	1	C	C	D	A	X	B	D	D	B	C	E	C	A	A	A	C	X	B	E	X	E	C	A	B	D	X	B	X	D	B	A	X	X	X	E	C	E	E	A	D
13ew84454	1	D	A	C	D	B	E	D	E	E	C	E	C	D	A	A	C	E	B	A	C	C	E	A	E	D	E	C	X	E	B	D	X	E	E	B	B	E	A	A	C
13ew48788	1	X	C	D	B	B	B	D	E	E	B	A	C	X	X	A	C	X	B	X	X	X	E	A	E	B	B	B	D	X	X	X	X	X	X	B	X	E	X	X	A
13ew28335	1	D	C	D	A	D	B	D	D	E	X	E	C	D	A	A	C	D	E	X	C	C	B	C	D	D	C	C	A	E	X	E	E	D	C	C	C	D	E	D	C
13ew91081	1	C	D	D	B	X	A	D	D	B	C	E	C	D	D	A	C	D	B	B	C	C	B	A	E	B	X	B	C	C	A	D	C	B	A	B	C	B	X	D	A
13ew89834	1	C	B	B	C	D	A	E	B	A	C	C	C	C	B	A	C	E	E	B	D	C	B	A	E	D	E	C	D	C	C	B	A	D	D	B	E	E	B	A	A
13ew10019	1	E	C	B	A	B	A	D	B	C	B	B	C	C	D	A	D	E	C	A	C	D	B	A	E	B	B	B	D	C	C	X	X	E	A	B	C	A	A	X	B
13ew29905	1	D	C	D	A	C	B	D	E	B	C	E	C	C	A	A	C	E	B	X	C	C	B	A	E	D	B	C	E	E	C	C	D	E	C	B	B	E	E	D	E
13ew96879	1	D	C	D	A	X	B	D	D	X	C	E	C	X	D	A	C	D	C	A	C	A	B	E	D	B	X	B	X	E	X	X	X	D	D	B	C	B	D	B	X
13ew59468	1	D	D	D	B	A	B	D	D	A	B	E	C	D	A	A	C	E	C	D	C	C	B	C	E	D	X	B	C	X	C	A	A	E	C	B	B	D	C	B	D
13ew68018	1	C	D	D	A	E	B	D	E	X	C	X	E	A	A	E	D	D	B	D	X	X	X	A	X	B	X	X	X	E	B	X	C	X	X	D	X	E	X	C	X
13ew58454	1	X	X	X	B	X	B	D	D	E	B	E	C	D	A	A	C	X	C	B	X	X	B	C	E	D	B	C	X	E	C	C	X	C	D	B	X	X	X	A	D
13ew21709	1	E	C	D	B	B	B	D	E	D	B	E	A	C	A	E	B	X	C	A	X	X	B	C	E	C	B	B	X	X	X	E	D	X	C	B	B	D	X	D	B
13ew82679	1	D	A	A	C	C	B	X	D	B	B	E	C	X	A	E	C	D	C	A	X	C	E	C	E	B	X	X	C	E	X	C	D	X	B	B	C	D	X	D	X
13ew84483	1	D	C	D	B	X	B	D	E	B	C	E	C	D	D	A	X	X	E	B	X	C	B	A	E	D	B	B	X	E	X	X	X	X	X	B	X	D	X	B	A
13ew38805	1	D	C	A	B	B	B	D	D	B	B	E	C	B	A	A	C	X	E	E	C	C	B	A	E	D	B	E	C	E	C	C	A	D	C	C	B	D	C	D	D
13ew63346	1	X	C	A	B	E	B	D	D	B	B	E	C	X	A	A	C	X	C	D	B	E	X	A	E	B	A	X	X	E	X	X	C	D	X	A	X	X	X	E	A
