Rnummer,plan,concepten,wiskundig,rekentechnisch,interpretatie
r0000000,1.0,0.0,0.4,0.0,0.4444444444444444
r0000000,1.0,1.0,1.0,1.0,0.8888888888888888
r0012000,0.0,1.0,0.4,0.0,0.2222222222222222
r0848798,1.0,1.0,0.4,0.5,0.2222222222222222
r0829898,1.0,0.0,0.9000000000000001,1.0,0.6666666666666666
r0788394,0.0,0.0,1.0,1.0,0.4444444444444444
r0836399,1.0,1.0,1.0,1.0,0.8888888888888888
r0825486,0.0,1.0,0.8,0.5,0.2222222222222222
r0849801,1.0,1.0,1.0,1.0,0.3333333333333333
r0849372,1.0,0.0,1.0,1.0,0.0
r0856783,0.0,1.0,0.6000000000000001,0.5,0.0
r0849757,0.0,1.0,0.6000000000000001,1.0,0.2222222222222222
r0839492,1.0,1.0,0.6000000000000001,1.0,0.0
r0834930,1.0,1.0,1.0,1.0,0.4444444444444444
r0852337,1.0,1.0,1.0,0.0,0.2222222222222222
r0845743,0.0,1.0,0.6000000000000001,1.0,0.6666666666666666
r0854474,1.0,1.0,1.0,1.0,0.4444444444444444
r0829881,0.0,1.0,1.0,1.0,0.6666666666666666
r0849473,1.0,1.0,1.0,1.0,0.8888888888888888
r0852986,0.0,1.0,0.8,1.0,0.2222222222222222
r0811990,1.0,1.0,1.0,1.0,0.6666666666666666
r0839369,1.0,0.0,1.0,1.0,0.6666666666666666
r0837399,1.0,0.0,1.0,0.0,0.6666666666666666
r0837787,1.0,1.0,1.0,1.0,0.2222222222222222
r0841399,1.0,1.0,1.0,1.0,0.0
r0834661,1.0,1.0,1.0,1.0,0.6666666666666666
r0845538,1.0,1.0,1.0,0.5,0.2222222222222222
r0834639,1.0,1.0,1.0,1.0,0.6666666666666666
r0827057,1.0,1.0,1.0,1.0,0.8888888888888888
r0837336,1.0,1.0,1.0,0.5,0.6666666666666666
r0836368,1.0,0.0,0.6000000000000001,0.5,0.6666666666666666
r0855062,1.0,1.0,1.0,1.0,0.4444444444444444
r0852808,0.0,1.0,0.8,0.0,0.0
r0857986,1.0,1.0,1.0,1.0,0.6666666666666666
r0858851,0.0,1.0,1.0,1.0,0.0
r0836838,0.0,1.0,0.7000000000000001,0.5,0.6666666666666666
r0856139,0.0,0.0,1.0,1.0,0.6666666666666666
r0837757,1.0,1.0,1.0,1.0,0.2222222222222222
r0850813,1.0,1.0,1.0,0.0,0.8888888888888888
r0844704,0.0,0.0,1.0,1.0,0.6666666666666666
r0842666,0.0,1.0,1.0,0.5,0.4444444444444444
r0835352,0.0,1.0,1.0,1.0,0.4444444444444444
r0832346,1.0,0.0,1.0,1.0,0.6666666666666666
r0854578,1.0,1.0,1.0,1.0,0.2222222222222222
r0855035,0.0,1.0,1.0,0.5,0.2222222222222222
r0844344,1.0,0.0,0.6000000000000001,0.5,0.4444444444444444
r0827116,0.0,1.0,1.0,1.0,0.4444444444444444
r0836409,0.0,1.0,0.8,0.0,0.8888888888888888
r0853831,1.0,1.0,1.0,1.0,0.2222222222222222
r0862336,1.0,1.0,1.0,1.0,0.8888888888888888
r0851650,1.0,1.0,1.0,1.0,0.6666666666666666
r0852996,0.0,1.0,1.0,1.0,0.4444444444444444
r0809947,0.0,1.0,1.0,0.5,0.0
r0842614,0.0,0.0,1.0,1.0,0.6666666666666666
r0846032,1.0,0.0,1.0,1.0,0.6666666666666666
r0800128,1.0,1.0,1.0,0.5,0.4444444444444444
r0810392,0.0,1.0,0.6000000000000001,0.5,0.2222222222222222
r0848790,0.0,1.0,1.0,1.0,0.0
r0843722,1.0,1.0,0.6000000000000001,1.0,0.2222222222222222
r0837401,1.0,1.0,1.0,1.0,0.6666666666666666
r0854435,0.0,1.0,1.0,1.0,0.0
r0837400,1.0,1.0,1.0,1.0,0.6666666666666666
r0832374,0.0,1.0,0.9000000000000001,0.5,0.4444444444444444
r0853422,0.0,1.0,1.0,1.0,0.2222222222222222
r0850242,1.0,1.0,1.0,1.0,0.6666666666666666
r0840318,0.0,1.0,1.0,1.0,0.4444444444444444
r0810654,1.0,1.0,1.0,1.0,0.6666666666666666
r0835911,0.0,1.0,1.0,1.0,0.6666666666666666
r0854787,1.0,1.0,1.0,1.0,0.8888888888888888
r0851479,0.0,0.0,1.0,1.0,0.8888888888888888
r0837082,1.0,1.0,1.0,1.0,0.4444444444444444
r0800408,1.0,1.0,1.0,1.0,0.6666666666666666
r0836398,1.0,1.0,1.0,1.0,0.6666666666666666
r0810751,1.0,1.0,1.0,1.0,0.6666666666666666
r0844604,1.0,1.0,1.0,1.0,0.4444444444444444
r0849348,1.0,1.0,1.0,1.0,0.2222222222222222
r0839445,0.0,1.0,0.9000000000000001,0.5,0.1111111111111111
r0854565,0.0,1.0,0.8,1.0,0.8888888888888888
r0858569,1.0,1.0,1.0,1.0,0.2222222222222222
r0835559,1.0,1.0,1.0,1.0,0.2222222222222222
r0843021,1.0,1.0,0.6000000000000001,1.0,0.2222222222222222
r0837577,0.0,1.0,1.0,1.0,0.2222222222222222
r0797360,1.0,1.0,0.6000000000000001,1.0,0.6666666666666666
r0850210,1.0,1.0,1.0,1.0,0.2222222222222222
r0856683,1.0,1.0,1.0,1.0,0.8888888888888888
r0847217,1.0,1.0,1.0,1.0,0.3333333333333333
r0836369,1.0,1.0,1.0,1.0,0.6666666666666666
r0839338,1.0,1.0,1.0,1.0,0.4444444444444444
r0848548,1.0,1.0,1.0,1.0,0.0
r0736054,1.0,0.0,1.0,1.0,0.6666666666666666
r0849973,1.0,0.0,1.0,1.0,0.6666666666666666
r0841385,1.0,1.0,1.0,1.0,0.2222222222222222
r0856003,1.0,1.0,1.0,0.5,0.6666666666666666
r0837218,1.0,1.0,1.0,1.0,0.6666666666666666
r0805624,1.0,1.0,1.0,1.0,0.4444444444444444
r0837725,1.0,1.0,1.0,1.0,0.2222222222222222
r0837189,1.0,1.0,1.0,1.0,0.4444444444444444
r0811089,1.0,1.0,1.0,1.0,0.1111111111111111
r0834291,0.0,1.0,1.0,1.0,0.2222222222222222
r0832445,1.0,1.0,1.0,1.0,0.2222222222222222
r0789225,1.0,1.0,0.9,1.0,0.4444444444444444
r0856686,1.0,1.0,1.0,1.0,0.0
r0836411,1.0,1.0,1.0,1.0,0.4444444444444444
r0854216,0.0,1.0,1.0,1.0,0.2222222222222222
r0846657,1.0,0.0,1.0,1.0,0.6666666666666666
r0851652,1.0,1.0,1.0,1.0,0.8888888888888888
r0849393,0.0,1.0,1.0,1.0,0.6666666666666666
r0842001,0.0,1.0,1.0,1.0,0.4444444444444444
r0807987,1.0,1.0,1.0,1.0,0.4444444444444444
r0856680,0.0,1.0,1.0,1.0,0.2222222222222222
r0843359,1.0,0.0,1.0,1.0,0.2222222222222222
r0835594,0.0,1.0,1.0,1.0,0.6666666666666666
r0856847,1.0,1.0,1.0,0.5,0.8888888888888888
r0859795,1.0,0.0,1.0,1.0,0.2222222222222222
r0838862,1.0,0.0,1.0,0.0,0.0
r0839395,1.0,1.0,0.6000000000000001,0.5,0.6666666666666666
r0845210,0.0,1.0,1.0,0.5,0.2222222222222222
r0836465,1.0,1.0,1.0,1.0,0.6666666666666666
r0854067,1.0,1.0,1.0,1.0,0.6666666666666666
r0837355,0.0,1.0,1.0,1.0,0.2222222222222222
r0852374,1.0,1.0,1.0,1.0,0.4444444444444444
r0837519,1.0,1.0,1.0,0.0,0.4444444444444444
r0839136,0.0,0.0,1.0,1.0,0.0
r0858967,1.0,1.0,1.0,1.0,0.2222222222222222
r0849830,1.0,1.0,1.0,1.0,0.4444444444444444
r0849828,1.0,1.0,1.0,1.0,0.2222222222222222
r0846622,1.0,1.0,1.0,1.0,0.4444444444444444
r0851470,1.0,1.0,1.0,1.0,0.4444444444444444
