Rnummer,plan,concepten,wiskundig,rekentechnisch,interpretatie
cf33f2640b4bb,0.0,0.9999999999999999,0.7857142857142857,0.0,0.3333333333333333
719d25c2e06df,0.0,0.8333333333333333,0.5714285714285714,0.0,0.3333333333333333
a66c807174b56,1.0,0.5,0.7142857142857143,1.0,0.5238095238095237
d131177e73b9e,0.0,0.5,0.5714285714285714,1.0,0.19047619047619047
e3c659799c163,0.0,0.8333333333333333,0.5357142857142857,1.0,0.38095238095238093
0f7b51b8ed78d,0.0,0.9999999999999999,0.7857142857142857,1.0,0.6666666666666666
448c229038ae9,0.0,0.9999999999999999,0.25,0.0,0.5238095238095237
d4722d7f219cb,1.0,0.0,0.3214285714285714,1.0,0.19047619047619047
b6c3d994c38b1,0.0,0.0,0.3214285714285714,0.0,0.3333333333333333
bc7ea5471f5a5,0.0,0.8333333333333333,0.4642857142857143,1.0,0.3333333333333333
244f2bb1b356a,0.0,0.16666666666666666,0.7142857142857143,1.0,0.7619047619047619
3418484da92ea,0.0,0.16666666666666666,0.39285714285714285,0.0,0.47619047619047616
610c01b3ee520,0.0,0.6666666666666666,0.7142857142857143,1.0,0.6666666666666666
8e18d6ca0d4a6,1.0,0.8333333333333333,0.7857142857142857,1.0,0.7619047619047619
9068e19a9fd9f,1.0,0.6666666666666666,0.6428571428571428,1.0,0.3333333333333333
2e0e14f45c907,0.0,0.6666666666666666,0.5357142857142857,0.0,0.6666666666666666
2d260e9e88df8,0.0,0.6666666666666666,0.3214285714285714,0.0,0.0
2d260e9e88df8,1.0,0.9999999999999999,0.7142857142857143,1.0,0.857142857142857
8686bf1f2d1d8,0.0,0.5,0.7142857142857143,1.0,0.0
934ff43246c61,0.0,0.6666666666666666,0.3214285714285714,0.0,0.3333333333333333
909bc19837b39,0.0,0.16666666666666666,0.7142857142857143,1.0,0.7619047619047619
4521e1a3c267b,0.0,0.3333333333333333,0.3214285714285714,1.0,0.857142857142857
80aabde63626b,0.0,0.9999999999999999,0.7857142857142857,1.0,0.42857142857142855
789a09b414999,1.0,0.5,0.3214285714285714,1.0,0.6666666666666666
d7c644665e391,1.0,0.9999999999999999,0.7857142857142857,1.0,0.42857142857142855
b4b55c330ebd2,1.0,0.16666666666666666,0.7142857142857143,1.0,0.6666666666666666
0d3ab6b9c73c2,0.0,0.5,0.5714285714285714,1.0,0.857142857142857
f88a2a9880afd,1.0,0.16666666666666666,0.6071428571428572,1.0,0.19047619047619047
a5492d6390dff,1.0,0.0,0.7142857142857143,1.0,0.3333333333333333
47e60e205b618,0.0,0.0,0.7857142857142857,1.0,0.6666666666666666
0bfc8b8fd11f8,0.0,0.9999999999999999,0.5714285714285714,1.0,0.3333333333333333
b0a03abbe44d3,0.0,0.9999999999999999,0.39285714285714285,0.0,0.6666666666666666
9d80e740990aa,0.0,0.9999999999999999,0.4642857142857143,0.0,0.3333333333333333
4a371788fbfe9,0.0,0.5,0.5357142857142857,0.0,0.6666666666666666
5138ce358be16,0.0,0.5,0.25,0.0,0.6666666666666666
2f12e5941c968,1.0,0.9999999999999999,0.7857142857142857,1.0,0.6666666666666666
27f349f030a36,1.0,0.8333333333333333,0.7857142857142857,1.0,0.42857142857142855
3be9d048c314f,0.0,0.6666666666666666,0.6428571428571428,1.0,0.19047619047619047
672f3fd84defe,1.0,0.5,0.5714285714285714,1.0,0.5238095238095237
bbd0d1afa9542,0.0,0.6666666666666666,0.25,0.0,0.6666666666666666
2069af2f8ca1e,0.0,0.5,0.7857142857142857,1.0,0.0
ac058fb931d5b,0.0,0.9999999999999999,0.7857142857142857,0.0,0.7142857142857142
d2b36605bd867,1.0,0.0,0.7857142857142857,1.0,0.42857142857142855
490cbf7347f03,0.0,0.5,0.5714285714285714,0.0,0.857142857142857
b1a476077bc24,1.0,0.5,0.7857142857142857,1.0,0.857142857142857
48b484232fb7b,0.0,0.3333333333333333,0.25,0.0,0.6666666666666666
20c8d3adb026e,0.0,0.16666666666666666,0.5714285714285714,1.0,0.0
84f3812e41b5b,1.0,0.9999999999999999,0.5357142857142857,1.0,0.0
cd52bd5b3b7cf,0.0,0.5,0.7857142857142857,1.0,0.6666666666666666
1c7f1203c4ae2,0.0,0.9999999999999999,0.5357142857142857,0.0,0.0
f22a428414fc8,1.0,0.16666666666666666,0.7142857142857143,1.0,0.5238095238095237
07ca7cec3d326,0.0,0.8333333333333333,0.7142857142857143,1.0,0.3333333333333333
00467583e31d4,1.0,0.9999999999999999,0.4642857142857143,1.0,0.09523809523809523
fa6be8f2615bc,1.0,0.6666666666666666,0.5714285714285714,1.0,0.3333333333333333
840c8b037e746,1.0,0.3333333333333333,0.8571428571428572,1.0,0.9523809523809523
fd11a2e6a08d4,0.0,0.3333333333333333,0.3214285714285714,1.0,0.6666666666666666
8e941735d7352,0.0,0.3333333333333333,0.6071428571428572,1.0,0.6666666666666666
b5be792251de1,0.0,0.6666666666666666,0.7142857142857143,1.0,0.6666666666666666
524bfaae8cd90,0.0,0.6666666666666666,0.5714285714285714,0.0,0.6666666666666666
4516f404b39ba,0.0,0.5,0.5357142857142857,0.0,0.3333333333333333
dcd0a55786ff2,1.0,0.0,0.4642857142857143,0.0,0.3333333333333333
06870529cc252,0.0,0.9999999999999999,0.7142857142857143,1.0,0.7142857142857142
6137b561ea7fc,0.0,0.5,0.4642857142857143,1.0,0.09523809523809523
4e344db4039f9,0.0,0.3333333333333333,0.5,1.0,0.6666666666666666
ceae782b59d45,1.0,0.16666666666666666,0.5714285714285714,0.0,0.857142857142857
5473f375d710f,0.0,0.8333333333333333,0.7857142857142857,1.0,0.3333333333333333
f20cee08e0780,1.0,0.3333333333333333,0.4642857142857143,1.0,0.09523809523809523
2997a9612791e,1.0,0.9999999999999999,0.7142857142857143,1.0,0.7619047619047619
70179853c3f40,0.0,0.6666666666666666,0.4642857142857143,0.0,0.09523809523809523
3fea8ae2acf36,0.0,0.0,0.7857142857142857,0.0,0.0
e5ad03e832d6c,1.0,0.3333333333333333,0.3214285714285714,0.0,0.6190476190476191
bb16c434d6b2b,0.0,0.9999999999999999,0.3214285714285714,1.0,0.3333333333333333
deff82dc1d4ce,0.0,0.0,0.25,0.0,0.0
922231510212f,0.0,0.6666666666666666,0.7857142857142857,1.0,0.6666666666666666
9cb75eb064ba5,0.0,0.5,0.7857142857142857,1.0,0.42857142857142855
a5c70f7aca970,0.0,0.5,0.7142857142857143,1.0,0.42857142857142855
7f253ad005335,0.0,0.5,0.39285714285714285,1.0,0.0
d8eebe23da715,0.0,0.8333333333333333,0.25,0.0,0.6666666666666666
75a0a2c8397ad,0.0,0.6666666666666666,0.5357142857142857,0.0,0.3333333333333333
9607744cb172d,0.0,0.5,0.3214285714285714,1.0,0.42857142857142855
233ee4c47335c,0.0,0.8333333333333333,0.3214285714285714,0.0,0.42857142857142855
226a504c4fceb,0.0,0.5,0.39285714285714285,0.0,0.6666666666666666
6073db19745f8,0.0,0.6666666666666666,0.5714285714285714,1.0,0.0
970d5523ede34,0.0,0.9999999999999999,0.5357142857142857,0.0,0.5238095238095237
39234072aafeb,0.0,0.16666666666666666,0.4642857142857143,1.0,0.7142857142857142
e2ec4029f091d,1.0,0.6666666666666666,0.4642857142857143,1.0,0.7619047619047619
12a835a118f45,0.0,0.5,0.25,0.0,0.857142857142857
476cc345c1a7b,0.0,0.5,0.7857142857142857,1.0,0.7619047619047619
d74287b273769,1.0,0.8333333333333333,0.7857142857142857,1.0,0.42857142857142855
53f84cd9a0396,1.0,0.5,0.3214285714285714,1.0,0.7619047619047619
66aff92cb7a9c,1.0,0.8333333333333333,0.3214285714285714,0.0,0.09523809523809523
d74cce29950fc,0.0,0.5,0.7857142857142857,1.0,0.6666666666666666
2840a97819eb1,1.0,0.6666666666666666,0.7857142857142857,1.0,0.6666666666666666
651c96cbd4b93,0.0,0.5,0.7857142857142857,0.0,0.6666666666666666
cf506c11a7b81,0.0,0.9999999999999999,0.7857142857142857,1.0,0.857142857142857
cf0adfea2346a,0.0,0.3333333333333333,0.7857142857142857,1.0,0.6666666666666666
18dab49921323,0.0,0.6666666666666666,0.5714285714285714,1.0,0.3333333333333333
f13c94c3079cd,0.0,0.5,0.5357142857142857,0.0,0.857142857142857
3c8501f0e5ba8,0.0,0.3333333333333333,0.7142857142857143,1.0,0.5238095238095237
4ead5ce9fc23e,0.0,0.8333333333333333,0.5357142857142857,1.0,0.6666666666666666
52c3165323f9b,0.0,0.5,0.5714285714285714,1.0,0.19047619047619047
0701ad0b7b993,0.0,0.16666666666666666,0.4642857142857143,0.0,0.7619047619047619
ce0829263e71f,0.0,0.6666666666666666,0.5357142857142857,0.0,0.6666666666666666
ea4f85e0380cb,0.0,0.3333333333333333,0.5357142857142857,1.0,0.0
492a89ba691f1,1.0,0.6666666666666666,0.4642857142857143,1.0,0.6666666666666666
1b38760229a57,0.0,0.6666666666666666,0.4642857142857143,1.0,0.3333333333333333
94fbe6d56ceff,0.0,0.16666666666666666,0.8571428571428572,1.0,0.2857142857142857
eb8a7baeb5635,0.0,0.6666666666666666,0.4642857142857143,0.0,0.5238095238095237
bc3ec607f76f0,0.0,0.8333333333333333,0.5714285714285714,1.0,0.3333333333333333
3682ebc66ab0c,0.0,0.6666666666666666,0.3214285714285714,1.0,0.3333333333333333
5bbe869a11883,0.0,0.5,0.25,0.0,0.3333333333333333
0478f8379ad6c,0.0,0.16666666666666666,0.5714285714285714,1.0,0.09523809523809523
806da24f19819,0.0,0.3333333333333333,0.7857142857142857,0.0,0.42857142857142855
8f4eb2e7556ef,0.0,0.8333333333333333,0.4642857142857143,0.0,0.9047619047619047
7827e22c19624,0.0,0.5,0.7142857142857143,1.0,0.5238095238095237
c734a578e819b,0.0,0.9999999999999999,0.3214285714285714,0.0,0.9047619047619047
5cb29d2eedf93,0.0,0.8333333333333333,0.3214285714285714,0.0,0.3333333333333333
073774d2f5808,0.0,0.9999999999999999,0.7857142857142857,1.0,0.6666666666666666
d39ffc436cc35,0.0,0.9999999999999999,0.7857142857142857,1.0,0.0
cfbf8a9ca6243,1.0,0.9999999999999999,0.7857142857142857,1.0,0.857142857142857
cc139ec28a148,0.0,0.5,0.7857142857142857,1.0,0.857142857142857
Average,0.2644628099173554,0.584022038567493,0.5714285714285712,0.6528925619834711,0.48642266824084995
