Rnummer,plan,concepten,wiskundig,rekentechnisch,interpretatie
r0001000,0.0,0.3333333333333333,0.8571428571428571,0.0,0.36363636363636365
r0829898,0.0,0.16666666666666666,0.5714285714285714,0.0,0.36363636363636365
r0794540,1.0,0.8333333333333333,0.7142857142857142,1.0,0.5454545454545454
r0808746,1.0,0.16666666666666666,0.7142857142857142,1.0,0.5454545454545454
r0788394,0.0,0.3333333333333333,1.0,1.0,0.7272727272727273
r0834930,1.0,0.8333333333333333,1.0,1.0,0.18181818181818182
r0849801,1.0,0.5,0.9285714285714285,1.0,0.36363636363636365
r0834705,0.0,0.5,0.42857142857142855,0.0,0.36363636363636365
r0789225,1.0,0.16666666666666666,1.0,1.0,0.36363636363636365
r0856056,0.0,0.5,1.0,1.0,0.36363636363636365
r0837336,1.0,0.5,1.0,1.0,0.5454545454545454
r0836399,1.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0849757,0.0,0.0,0.3571428571428571,1.0,0.36363636363636365
r0846622,1.0,0.3333333333333333,1.0,0.0,0.5454545454545454
r0829881,1.0,0.5,1.0,0.0,0.7272727272727273
r0856783,1.0,0.5,0.2857142857142857,0.0,0.0
r0841399,0.0,0.8333333333333333,1.0,1.0,0.18181818181818182
r0834661,0.0,0.6666666666666666,1.0,1.0,0.36363636363636365
r0839369,1.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0851650,1.0,0.5,1.0,0.0,0.7272727272727273
r0834639,0.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0848798,1.0,0.3333333333333333,0.5714285714285714,0.0,0.18181818181818182
r0825486,0.0,0.5,0.5714285714285714,1.0,0.36363636363636365
r0853422,0.0,0.5,1.0,1.0,0.18181818181818182
r0837787,0.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0846032,0.0,0.3333333333333333,1.0,1.0,0.5454545454545454
r0842666,0.0,0.8333333333333333,0.7857142857142857,0.0,0.7272727272727273
r0836368,1.0,0.5,1.0,1.0,0.5454545454545454
r0840007,1.0,0.5,0.42857142857142855,1.0,0.18181818181818182
r0835352,0.0,0.8333333333333333,1.0,1.0,0.18181818181818182
r0855062,1.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0849728,1.0,0.8333333333333333,0.7142857142857142,1.0,0.5454545454545454
r0848790,0.0,0.3333333333333333,1.0,1.0,0.0
r0827116,0.0,0.8333333333333333,0.5714285714285714,1.0,0.7272727272727273
r0858851,0.0,0.6666666666666666,0.857142857142857,1.0,0.36363636363636365
r0856693,1.0,0.6666666666666666,1.0,1.0,0.36363636363636365
r0850813,1.0,0.5,1.0,0.0,0.5454545454545454
r0849339,0.0,0.0,0.21428571428571427,0.0,0.9090909090909091
r0844704,1.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0832346,0.0,0.5,1.0,1.0,0.5454545454545454
r0736054,1.0,0.5,1.0,1.0,0.0
r0858569,0.0,0.8333333333333333,0.42857142857142855,0.0,0.36363636363636365
r0850708,1.0,0.5,1.0,1.0,0.5454545454545454
r0851479,1.0,0.3333333333333333,1.0,1.0,0.8181818181818182
r0810751,1.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0810654,1.0,0.8333333333333333,1.0,1.0,0.5454545454545454
r0835911,1.0,0.6666666666666666,1.0,1.0,0.36363636363636365
r0836398,1.0,0.8333333333333333,1.0,0.0,0.7272727272727273
r0856692,0.0,0.16666666666666666,1.0,1.0,0.0
r0852374,1.0,0.5,1.0,1.0,0.18181818181818182
r0837400,0.0,0.5,1.0,1.0,0.7272727272727273
r0853227,0.0,0.8333333333333333,0.9285714285714285,0.0,0.36363636363636365
r0827079,0.0,0.6666666666666666,1.0,1.0,0.36363636363636365
r0835559,0.5,0.5,1.0,1.0,0.36363636363636365
r0854565,0.0,0.5,0.7142857142857142,1.0,0.7272727272727273
r0843021,0.0,0.3333333333333333,1.0,0.0,0.18181818181818182
r0837189,1.0,0.8333333333333333,1.0,1.0,0.0
r0832445,0.0,0.8333333333333333,0.7142857142857142,1.0,0.18181818181818182
r0856683,1.0,0.5,1.0,1.0,0.7272727272727273
r0857986,1.0,0.5,1.0,1.0,0.5454545454545454
r0837008,1.0,0.8333333333333333,1.0,1.0,0.5454545454545454
r0805210,0.0,0.5,1.0,0.0,0.45454545454545453
r0841385,1.0,0.8333333333333333,0.8571428571428571,0.0,0.36363636363636365
r0849973,0.0,0.8333333333333333,1.0,1.0,0.0
r0849353,1.0,0.16666666666666666,1.0,1.0,0.7272727272727273
r0848548,1.0,0.6666666666666666,1.0,1.0,0.5454545454545454
r0837725,1.0,0.8333333333333333,1.0,1.0,0.36363636363636365
r0856680,0.0,0.3333333333333333,1.0,1.0,0.36363636363636365
r0837218,1.0,0.5,1.0,1.0,0.5454545454545454
r0800128,1.0,0.8333333333333333,1.0,0.0,0.5454545454545454
r0834291,0.0,0.3333333333333333,0.857142857142857,1.0,0.18181818181818182
r0839445,0.0,0.16666666666666666,1.0,0.0,0.09090909090909091
r0856847,1.0,0.5,1.0,0.0,0.9090909090909091
r0850311,1.0,0.6666666666666666,1.0,1.0,0.7272727272727273
r0853831,1.0,0.5,1.0,1.0,0.36363636363636365
r0834411,0.0,0.8333333333333333,0.9285714285714285,1.0,0.09090909090909091
r0837757,1.0,0.5,1.0,1.0,0.36363636363636365
r0836411,0.0,0.5,1.0,1.0,0.18181818181818182
r0857717,0.0,0.0,0.7142857142857142,1.0,0.5454545454545454
r0836367,1.0,0.8333333333333333,0.9285714285714285,0.0,0.0
r0849310,0.0,0.8333333333333333,1.0,0.0,0.5454545454545454
r0849473,0.0,0.8333333333333333,0.42857142857142855,1.0,0.7272727272727273
r0811089,0.0,0.5,1.0,1.0,0.36363636363636365
r0845743,0.0,0.3333333333333333,0.7142857142857142,1.0,0.7272727272727273
r0805624,1.0,0.8333333333333333,1.0,1.0,0.36363636363636365
r0829890,1.0,0.5,1.0,1.0,0.36363636363636365
r0854474,1.0,0.6666666666666666,1.0,1.0,0.0
r0856686,0.0,0.5,0.9285714285714285,0.0,0.5454545454545454
r0836201,0.0,0.16666666666666666,0.7142857142857142,1.0,0.5454545454545454
r0842614,0.0,0.16666666666666666,0.7142857142857142,1.0,0.7272727272727273
r0842001,0.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0827283,1.0,0.5,0.7142857142857142,0.0,0.18181818181818182
r0647310,1.0,0.8333333333333333,1.0,1.0,0.5454545454545454
r0833011,0.5,0.5,0.8571428571428571,1.0,0.9090909090909091
r0845210,1.0,0.5,1.0,0.0,0.0
r0851470,1.0,0.5,1.0,0.0,0.7272727272727273
r0837301,0.0,0.5,0.7142857142857142,0.0,0.9090909090909091
r0835594,1.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0837067,0.0,0.16666666666666666,0.8571428571428571,0.0,0.0
r0847085,0.0,0.5,0.2857142857142857,1.0,0.7272727272727273
r0837519,1.0,0.0,1.0,1.0,0.5454545454545454
r0850205,0.0,0.8333333333333333,1.0,1.0,0.18181818181818182
r0843722,1.0,0.5,1.0,1.0,0.5454545454545454
r0848510,0.0,0.8333333333333333,0.7142857142857142,1.0,0.5454545454545454
r0851474,0.0,0.8333333333333333,0.42857142857142855,0.0,0.36363636363636365
r0852815,0.0,0.5,0.2857142857142857,0.0,0.36363636363636365
r0841310,0.0,0.5,1.0,1.0,0.9090909090909091
r0836369,1.0,0.8333333333333333,1.0,1.0,0.36363636363636365
r0836838,1.0,0.8333333333333333,1.0,1.0,0.5454545454545454
r0856003,0.0,0.3333333333333333,1.0,0.0,0.18181818181818182
r0849828,1.0,0.5,0.9285714285714286,1.0,0.7272727272727273
r0854787,0.0,0.5,1.0,0.0,0.36363636363636365
r0810392,1.0,0.5,1.0,1.0,0.18181818181818182
r0832393,0.0,0.5,1.0,0.0,0.5454545454545454
r0851651,0.0,0.5,1.0,0.0,0.0
r0858967,1.0,0.8333333333333333,1.0,1.0,0.36363636363636365
r0849830,1.0,0.8333333333333333,1.0,1.0,0.5454545454545454
r0807987,1.0,0.8333333333333333,0.9285714285714285,1.0,0.5454545454545454
r0786778,1.0,0.16666666666666666,1.0,1.0,0.18181818181818182
r0854216,0.0,0.5,0.8571428571428571,0.0,0.0
r0832091,0.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0850209,0.0,0.5,1.0,0.0,0.0
r0853816,0.0,0.16666666666666666,0.5714285714285714,0.0,0.5454545454545454
r0811990,1.0,0.8333333333333333,1.0,0.0,0.5454545454545454
r0852819,1.0,0.8333333333333333,0.5714285714285714,0.0,0.0
r0845054,0.0,0.5,1.0,1.0,0.7272727272727273
r0839338,0.0,0.5,1.0,1.0,0.7272727272727273
r0845782,1.0,0.8333333333333333,0.7142857142857142,1.0,0.5454545454545454
r0836403,0.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0852105,1.0,0.16666666666666666,0.7142857142857142,1.0,0.18181818181818182
r0856139,0.0,0.5,1.0,1.0,0.7272727272727273
r0792376,1.0,0.8333333333333333,1.0,1.0,0.7272727272727273
r0843359,0.0,0.8333333333333333,0.7142857142857142,0.0,0.5454545454545454
r0852970,0.0,0.5,1.0,1.0,0.0
