ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22
q1346258	1	D	C	B	B	D	X	D	A	X	D	B	X	X	D	C	X	X	D	D	X	B	C
q1318516	1	D	C	B	B	D	C	C	A	C	X	D	A	X	C	B	X	B	X	D	D	D	B
q1344391	1	D	C	B	B	D	X	D	A	C	D	B	A	C	D	C	X	B	D	D	C	X	X
q0408377	1	X	C	X	A	C	X	A	A	X	D	B	X	X	X	C	X	X	D	X	X	B	X
q0963621	1	D	C	B	B	D	C	A	A	C	X	B	A	X	D	C	X	D	X	D	C	B	D
q1286823	1	D	C	B	A	D	A	D	A	C	C	B	A	C	D	C	A	B	D	D	C	D	D
q1316304	1	D	C	B	B	B	A	C	A	C	D	B	X	C	D	C	A	X	D	D	D	D	C
q1388438	1	D	C	B	B	D	X	D	A	C	X	B	X	X	X	C	X	X	X	X	C	B	D
q0790355	1	D	C	D	B	D	A	D	A	C	D	B	B	A	X	X	C	X	X	B	C	B	C
q1388467	1	X	C	B	B	A	X	X	A	X	D	X	X	C	D	D	X	X	D	C	C	B	D
q1380134	1	X	C	B	B	X	X	D	A	X	D	B	X	C	C	C	X	X	X	X	C	A	X
q1426958	1	D	C	B	X	D	B	D	A	C	D	B	D	B	D	C	A	C	D	X	B	B	X
q1388402	1	B	C	D	C	A	X	D	C	X	X	X	C	X	D	A	X	X	D	B	B	C	A
q1332285	1	D	C	B	B	D	X	B	C	A	D	D	A	B	C	C	X	C	D	C	B	A	B
q1378541	1	A	C	B	B	D	A	D	A	C	C	B	C	A	C	C	C	D	D	B	D	A	A
q1388378	1	D	C	X	B	C	X	D	X	X	D	X	X	X	X	C	X	X	X	X	B	B	X
q1446128	1	C	B	A	B	C	X	X	B	X	A	X	X	X	X	B	D	C	A	B	D	C	B
q1389829	1	B	C	B	X	X	A	X	A	X	X	B	X	C	A	C	X	X	X	X	A	B	X
q1442368	1	B	C	B	B	B	A	D	A	X	B	B	D	C	A	C	X	X	D	B	A	A	A
q1373336	1	X	C	B	B	X	X	B	A	D	D	X	B	X	D	C	X	X	D	D	C	C	D
q1442726	1	D	B	X	B	C	A	X	A	X	D	B	X	X	X	C	X	X	X	X	B	C	X
q1337385	1	A	C	B	B	D	A	D	A	C	D	X	A	C	D	X	X	B	X	B	C	B	B
q1321162	1	D	C	X	A	X	B	B	A	X	B	B	X	A	B	C	X	X	C	X	X	B	B
q1416766	1	D	C	X	A	C	X	A	A	X	D	X	X	B	X	C	X	X	X	X	B	B	C
q1359146	1	D	C	B	B	D	X	D	A	C	D	B	A	C	D	C	X	X	D	C	A	B	X
q1314977	1	D	C	B	B	X	X	D	A	X	D	A	X	X	D	C	X	X	X	D	B	B	D
q1389875	1	D	A	B	B	D	A	D	A	X	D	X	X	X	X	C	X	X	X	X	B	X	D
q1414258	1	D	C	X	B	D	A	D	A	C	D	B	C	C	D	X	A	B	D	D	X	B	D
q1201289	1	D	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X
q1381055	1	B	C	X	A	D	A	B	A	X	X	B	X	X	D	X	X	X	D	X	A	A	X
q1402338	1	D	C	B	B	D	A	C	A	X	X	B	X	X	D	C	X	X	D	X	X	X	X
q1419137	1	X	A	B	A	D	X	X	A	X	D	X	X	X	X	X	X	X	X	X	X	X	X
q1344760	1	C	C	X	B	X	X	X	A	X	B	X	X	C	D	C	X	X	C	X	A	X	B
q1342493	1	D	C	X	B	D	X	X	A	X	X	B	X	X	A	X	X	X	X	X	X	D	X
q0110971	1	D	C	X	B	D	A	X	A	C	C	X	X	X	X	C	D	X	X	X	X	C	X
q1462374	1	D	C	D	B	C	A	B	A	C	B	C	A	C	X	C	A	B	X	D	B	B	D
q1385886	1	D	C	X	B	D	A	D	A	C	D	B	A	X	D	C	A	B	D	D	X	A	D
q1308311	1	D	C	X	B	D	A	D	A	C	D	B	A	C	D	C	A	C	D	B	B	B	D
