scoreNaam	groepLabel	kleur	aantal
totaal	<10	rgb(255,140,0)	42
totaal	10-13	rgb(255,215,0)	118
totaal	>=14	rgb(144,238,144)	438
wiskunde_basis	<7	rgb(255,140,0)	33
wiskunde_basis	7-8	rgb(255,215,0)	70
wiskunde_basis	>=9	rgb(144,238,144)	495
wiskunde_standaard	<8	rgb(255,140,0)	143
wiskunde_standaard	8-11	rgb(255,215,0)	231
wiskunde_standaard	>=12	rgb(144,238,144)	224
