feedbackCode	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
17dw35361	1	D	A	X	X	X	X	A	C	X	D	B	D	X	X	B	X	X	D	C	B	X	A	X	X	X	X	B	C	B	X
17dw43696	1	A	X	B	D	B	D	A	A	X	B	B	A	C	C	A	B	A	D	D	D	C	X	B	C	A	C	A	D	D	C
17dw34760	1	A	D	C	X	B	X	A	C	X	B	C	A	C	X	B	X	B	X	A	X	A	A	B	C	A	C	C	X	D	C
17dw69895	1	B	B	B	X	X	A	A	C	X	C	D	A	C	C	A	C	X	B	D	B	B	C	B	X	A	D	A	D	D	B
17dw70648	1	A	X	X	X	D	D	A	D	X	C	B	A	X	X	A	B	X	X	D	D	B	X	B	X	A	D	B	D	C	X
17dw79895	1	A	B	B	D	X	B	A	C	X	D	B	B	B	X	A	B	X	D	A	B	B	X	B	C	A	X	B	D	D	X
17dw23004	1	A	A	C	D	B	B	A	C	D	C	B	A	C	C	A	B	A	D	D	D	A	A	B	C	A	C	A	D	D	C
17dw12929	1	A	A	A	X	X	B	A	X	X	C	B	A	D	X	X	B	X	X	X	X	X	X	B	X	A	C	B	D	X	X
17dw89842	1	B	D	C	C	B	B	A	C	D	B	B	A	C	B	A	B	B	D	A	B	B	A	B	C	A	C	B	D	D	C
17dw88109	1	A	B	A	C	A	C	C	C	D	C	B	C	B	D	A	D	D	B	D	D	B	B	B	C	B	C	A	A	B	C
17dw12522	1	A	B	X	D	X	X	A	C	D	B	B	A	C	D	A	B	A	X	X	D	B	C	B	B	A	C	A	D	D	C
17dw47627	1	A	A	C	B	C	C	A	C	D	B	B	A	A	C	A	B	B	C	D	B	C	X	B	D	D	C	X	X	B	C
17dw27986	1	A	A	B	X	B	B	A	C	D	B	B	B	B	D	D	B	X	D	D	B	A	A	B	C	A	C	A	D	D	C
17dw75986	1	A	X	C	D	X	X	A	C	X	B	B	A	C	C	X	X	X	X	X	X	X	A	B	X	A	C	X	X	D	X
17dw50919	1	B	B	B	X	X	D	A	B	X	A	B	B	X	X	A	B	C	X	A	D	C	D	B	D	X	B	A	D	C	C
17dw21259	1	A	C	D	A	B	B	B	B	D	C	D	A	A	B	A	D	B	D	A	B	A	A	D	C	C	D	B	A	D	C
17dw74421	1	A	D	B	C	A	C	A	C	B	C	B	A	C	C	A	B	A	B	A	B	C	A	B	C	A	C	A	A	D	B
17dw50510	1	A	C	X	X	D	A	A	A	D	D	D	A	D	X	A	B	B	D	C	B	B	D	X	X	X	C	X	D	X	C
17dw26649	1	A	X	B	X	X	X	D	A	X	C	B	B	X	B	X	A	A	D	C	X	A	C	B	X	X	X	A	A	D	C
17dw35493	1	B	D	B	B	B	C	B	C	B	C	B	A	B	B	A	B	C	A	D	B	A	C	B	C	A	C	A	D	D	C
17dw94787	1	A	C	B	D	B	C	A	C	D	C	D	A	A	C	A	B	B	B	A	B	B	D	B	D	D	C	A	A	B	D
17dw79332	1	B	D	C	C	C	C	A	B	A	C	D	B	B	C	A	B	A	D	D	B	B	C	B	C	A	D	B	C	D	B
17dw42103	1	D	X	X	X	X	B	A	C	X	C	B	A	X	C	X	B	C	X	D	B	B	D	B	X	B	C	X	D	D	C
17dw26506	1	B	D	C	C	D	C	A	C	B	D	B	B	C	A	A	A	A	B	A	D	B	D	B	C	B	C	A	A	D	A
17dw48579	1	C	B	D	B	D	C	C	D	A	B	A	C	B	C	D	B	A	D	A	D	C	B	D	D	B	C	D	A	B	C
17dw95331	1	C	B	X	C	X	B	A	A	X	B	B	A	A	X	X	A	C	D	B	D	B	C	B	C	B	C	A	A	D	C
17dw67613	1	D	C	C	D	B	X	A	X	A	D	B	C	C	B	A	B	D	D	A	X	B	C	X	D	X	D	A	D	B	D
17dw37156	1	D	X	D	B	X	A	A	B	C	C	B	D	A	C	A	B	C	B	B	D	C	A	D	A	C	C	B	D	D	D
17dw20150	1	B	C	B	B	C	D	C	C	B	C	B	B	C	C	A	D	D	C	A	B	C	C	B	D	D	C	B	D	D	C
17dw54591	1	A	C	C	B	D	B	A	B	C	B	B	A	C	C	C	B	B	B	D	B	A	D	B	C	A	C	A	D	C	C
17dw30152	1	D	X	A	X	B	A	X	A	D	A	B	A	B	C	A	B	C	C	A	B	B	C	X	X	B	B	A	X	B	D
17dw56368	1	C	C	D	B	D	C	D	C	B	C	B	B	A	B	C	B	B	C	C	C	A	A	B	B	C	C	A	D	C	D
17dw24045	1	B	C	X	X	X	D	A	A	X	X	B	B	C	A	A	B	A	A	D	B	C	C	B	C	A	C	B	D	C	D
17dw62882	1	D	D	A	A	B	D	B	C	B	C	A	B	B	C	X	A	D	B	D	B	B	X	C	X	D	X	A	D	D	A
17dw24214	1	B	D	B	C	A	B	D	D	C	C	B	A	A	C	A	B	A	B	D	B	A	D	B	C	A	C	B	D	C	A
17dw81749	1	D	D	D	B	B	X	C	C	B	C	B	A	A	C	A	B	B	B	D	B	B	C	B	C	B	C	B	A	C	C
17dw52965	1	D	C	C	X	B	B	C	C	X	A	B	A	X	C	A	B	B	C	A	D	A	C	B	C	C	A	B	D	D	C
17dw14322	1	A	C	B	B	C	D	C	A	A	C	B	A	B	C	B	A	B	D	A	B	A	C	B	C	A	D	A	D	D	B
17dw49703	1	C	B	D	C	B	D	A	C	C	B	B	A	C	B	D	D	C	D	A	B	D	A	B	C	B	C	B	D	B	A
17dw72331	1	B	X	X	X	X	X	A	B	X	B	B	X	B	C	A	B	A	A	C	D	A	B	B	C	B	C	A	D	D	C
17dw42938	1	B	X	C	D	X	X	A	C	B	B	B	A	A	B	X	D	B	X	A	X	C	B	B	X	A	D	A	A	B	C
17dw12460	1	D	B	B	A	A	B	A	B	D	D	B	C	X	X	X	D	X	B	B	B	X	A	X	X	X	B	B	D	C	C
17dw93406	1	B	C	B	X	X	D	C	X	D	C	A	X	X	X	X	A	B	B	D	B	A	X	X	X	X	X	B	B	X	D
17dw74404	1	A	A	C	X	X	X	A	C	D	B	B	X	C	C	X	B	A	X	B	C	B	A	B	C	A	C	A	D	D	C
17dw24206	1	C	X	X	B	X	A	A	X	C	X	A	B	A	D	A	B	B	D	D	B	X	D	X	C	B	D	B	X	B	X
17dw30480	1	B	X	X	C	B	B	X	X	A	B	A	B	X	X	X	D	A	A	A	A	D	A	X	X	B	X	A	D	B	C
17dw47104	1	B	D	A	D	B	A	A	C	D	C	B	A	A	C	B	A	C	A	A	D	B	D	B	D	C	D	A	D	D	C
17dw40211	1	B	A	D	D	B	A	A	D	X	B	B	A	C	A	A	B	D	C	A	A	B	C	B	B	B	C	X	X	D	B
17dw51832	1	B	X	X	X	B	X	C	C	X	A	B	A	X	C	X	B	B	D	D	B	B	D	A	C	B	X	A	D	D	D
17dw22773	1	B	X	X	D	B	C	C	C	A	B	B	A	B	C	D	A	C	B	A	B	B	B	A	C	A	D	B	A	C	D
17dw98092	1	D	X	C	D	B	B	A	C	D	C	B	A	X	C	X	B	X	B	D	B	B	A	B	D	B	C	B	B	C	X
17dw16904	1	C	D	D	D	B	B	A	C	A	C	B	A	A	B	A	B	B	D	D	D	B	D	B	C	A	C	A	D	B	C
17dw65335	1	D	D	D	B	B	C	D	C	A	B	B	A	B	C	C	B	C	B	D	B	C	B	C	C	B	C	B	C	D	C
17dw78287	1	B	A	D	C	A	C	A	C	B	C	D	A	C	C	B	C	B	D	C	A	B	C	B	B	A	C	D	D	C	D
17dw18792	1	A	X	C	C	B	X	B	X	C	C	B	A	C	C	X	B	A	A	D	A	A	C	B	B	A	C	X	B	C	C
17dw36957	1	D	C	D	B	B	B	A	C	C	B	B	A	B	A	B	B	D	B	A	B	A	C	B	C	A	B	A	A	B	C
17dw57767	1	C	B	A	D	B	B	B	C	C	C	B	A	C	B	B	B	A	A	D	B	B	C	B	C	A	C	B	B	C	C
17dw79974	1	B	D	D	D	B	D	A	D	B	B	B	A	A	A	A	A	C	B	D	D	B	C	C	D	B	C	D	A	D	B
17dw79173	1	C	D	A	D	B	D	C	C	A	D	B	A	B	C	B	A	D	D	B	D	D	B	X	X	A	C	A	D	B	C
17dw64411	1	C	B	D	A	C	A	A	D	B	C	A	B	C	D	B	A	C	B	D	D	B	B	D	C	B	C	A	B	C	C
17dw84661	1	D	B	B	X	X	C	A	C	X	D	B	B	X	C	X	D	B	X	B	X	C	A	B	X	D	C	B	D	D	D
17dw13607	1	B	B	A	D	A	C	A	X	X	B	B	C	A	A	B	B	C	A	B	B	A	X	B	X	B	C	X	D	B	D
17dw45818	1	A	C	C	D	X	A	B	C	C	B	B	A	D	C	D	B	B	X	A	D	X	D	B	B	A	C	A	B	D	D
17dw62316	1	D	C	D	C	D	C	D	C	B	C	B	A	D	C	B	D	B	D	A	A	B	C	B	A	B	B	A	C	D	C
17dw99686	1	B	X	X	X	B	D	A	X	X	C	A	A	C	A	A	C	B	X	D	D	B	C	X	C	D	C	B	X	D	B
17dw39604	1	A	B	A	D	X	D	A	D	X	C	B	A	X	X	A	B	A	D	A	A	B	D	B	C	A	D	A	A	B	C
17dw21166	1	B	X	X	A	A	X	A	C	B	X	B	A	A	C	A	A	A	C	D	B	D	A	B	D	A	C	A	D	D	B
17dw59498	1	A	A	C	D	B	X	A	C	D	C	B	A	A	D	D	B	B	X	D	B	C	A	B	C	A	C	A	D	D	B
17dw87716	1	A	C	D	C	A	D	A	C	C	B	B	A	C	D	A	B	A	B	D	C	B	D	B	B	D	C	A	D	X	C
17dw50502	1	A	C	B	A	C	C	B	A	X	B	B	A	A	C	B	D	A	B	D	B	A	A	B	C	B	C	B	A	B	D
17dw75423	1	B	D	A	A	B	D	C	A	D	C	B	A	D	D	A	D	A	C	D	D	A	D	B	C	A	C	D	B	C	C
17dw88625	1	A	X	B	X	X	B	B	C	X	C	B	A	B	C	A	A	A	D	D	B	A	D	B	C	A	C	A	D	D	B
17dw34405	1	A	C	B	A	X	X	A	C	D	B	B	A	X	B	A	B	B	A	B	B	B	A	B	A	X	C	X	B	C	C
17dw39501	1	A	A	C	D	X	X	A	C	D	C	B	A	C	D	X	B	X	A	X	X	X	D	B	X	A	C	A	D	X	C
17dw17484	1	D	C	D	B	X	D	B	X	B	B	D	B	C	X	X	A	C	X	A	B	B	C	B	B	A	C	A	B	D	D
17dw80353	1	A	D	B	B	B	X	A	C	C	C	B	A	C	C	A	B	A	D	D	B	B	A	B	C	A	D	B	D	C	C
17dw46353	1	B	X	X	D	X	X	C	C	X	C	B	A	C	B	A	A	C	X	D	B	A	A	B	C	A	C	B	D	D	X
17dw19197	1	A	X	X	X	X	C	C	C	X	X	B	A	X	C	A	B	A	C	D	D	A	A	B	B	X	C	X	B	B	C
17dw78847	1	B	X	X	D	B	X	X	B	X	B	B	A	C	X	X	B	X	X	D	X	B	A	B	C	A	D	A	D	D	C
17dw40050	1	D	C	C	X	A	D	A	C	X	C	B	A	A	C	D	B	A	B	D	X	C	A	B	C	A	D	A	A	D	B
17dw93107	1	A	X	X	X	X	X	A	C	D	B	B	A	B	C	B	X	A	B	D	B	A	B	X	C	A	X	A	D	X	D
17dw51259	1	A	X	A	C	X	B	A	B	B	B	B	B	A	C	A	B	D	A	A	D	A	X	B	B	A	D	A	A	D	C
17dw58962	1	D	C	X	X	X	C	A	B	A	B	B	A	X	A	A	C	A	X	D	D	C	X	B	X	A	D	A	D	C	C
17dw63410	1	A	A	C	X	X	B	A	C	D	B	A	A	X	D	B	B	A	D	D	B	X	A	B	C	A	X	A	D	D	C
17dw27825	1	A	X	X	C	X	C	X	A	X	C	B	A	A	C	A	C	A	X	D	D	A	C	B	C	A	C	X	C	D	D
17dw25584	1	A	X	C	D	C	B	A	C	X	B	B	A	C	D	A	B	X	D	A	B	A	C	B	X	B	C	B	D	X	D
17dw22279	1	A	C	D	X	X	C	A	C	C	C	B	A	B	C	B	C	A	B	D	B	A	C	B	C	A	C	B	D	B	C
