feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	totaal_geen_correctieJuist	totaal_geen_correctieFout	totaal_geen_correctieBlanco	totaal_geen_correctieScore	totaal_geen_correctieGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	wiskunde_geen_correctieJuist	wiskunde_geen_correctieFout	wiskunde_geen_correctieBlanco	wiskunde_geen_correctieScore	wiskunde_geen_correctieGroep	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	fysicaGroep	fysica_geen_correctieJuist	fysica_geen_correctieFout	fysica_geen_correctieBlanco	fysica_geen_correctieScore	fysica_geen_correctieGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep	chemie_geen_correctieJuist	chemie_geen_correctieFout	chemie_geen_correctieBlanco	chemie_geen_correctieScore	chemie_geen_correctieGroep	verwerkingsstrategieenScore	stuurloosleergedragScore	zelfcontroleScore	uitstelScore	nieuwsgierigheidScore	testangstScore	emotionelecontroleScore	samenwerkingScore	extraversieScore
17dw46248	1	0	13	14	0	6	5-9	13	17	0	5	5-9	4	5	0	3	3-4	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	4	5	0	3	3-4	4	6	0	2	<3	17	6	16	5	14	11	14	13	14
17dw34868	1	0	10	14	3	4	<5	10	17	3	3	<5	2	5	2	0	<3	2	6	2	0	<3	2	6	1	0	<3	2	7	1	0	<3	6	3	0	6	>=5	6	4	0	5	>=5	15	7	12	7	13	12	15	15	16
17dw94611	1	1	17	7	3	11	>=10	19	8	3	11	>=10	6	1	2	6	>=5	7	1	2	7	>=5	5	4	0	4	3-4	5	5	0	3	3-4	6	2	1	6	>=5	7	2	1	6	>=5	16	8	13	7	16	10	11	13	13
17dw97333	1	0	11	16	0	4	<5	11	19	0	3	<5	3	6	0	1	<3	3	7	0	1	<3	5	4	0	4	3-4	5	5	0	3	3-4	3	6	0	1	<3	3	7	0	1	<3	14	7	10	6	14	8	13	15	12
17dw98592	1	0	15	11	1	8	5-9	15	14	1	7	5-9	2	6	1	0	<3	2	7	1	0	<3	7	2	0	7	>=5	7	3	0	6	>=5	6	3	0	6	>=5	6	4	0	5	>=5	15	6	18	6	17	9	18	13	17
17dw15024	1	1	15	5	7	10	>=10	16	6	8	9	5-9	3	1	5	3	3-4	3	2	5	2	<3	5	2	2	5	>=5	5	2	3	4	3-4	7	2	0	7	>=5	8	2	0	7	>=5	17	6	15	5	14	11	14	11	15
17dw63090	1	0	7	20	0	0	<5	8	22	0	0	<5	4	5	0	3	3-4	5	5	0	3	3-4	0	9	0	0	<3	0	10	0	0	<3	3	6	0	1	<3	3	7	0	1	<3	17	7	14	4	13	8	15	14	14
17dw81820	1	0	11	5	11	7	5-9	11	7	12	6	5-9	3	1	5	3	3-4	3	1	6	3	3-4	5	2	2	5	>=5	5	3	2	4	3-4	3	2	4	3	3-4	3	3	4	2	<3	16	8	12	6	13	12	14	10	13
17dw53912	1	0	15	12	0	8	5-9	15	15	0	7	5-9	3	6	0	1	<3	3	7	0	1	<3	5	4	0	4	3-4	5	5	0	3	3-4	7	2	0	7	>=5	7	3	0	6	>=5	14	9	10	8	14	11	17	16	13
17dw71538	1	0	15	8	4	9	5-9	16	9	5	9	5-9	4	3	2	3	3-4	5	3	2	4	3-4	5	3	1	4	3-4	5	4	1	4	3-4	6	2	1	6	>=5	6	2	2	5	>=5	12	9	13	8	15	13	14	13	14
17dw70390	1	0	4	5	18	2	<5	4	6	20	1	<5	1	4	4	0	<3	1	5	4	0	<3	3	1	5	3	3-4	3	1	6	3	3-4	0	0	9	0	<3	0	0	10	0	<3	18	4	17	5	20	6	19	15	16
17dw51935	1	0	7	20	0	0	<5	7	23	0	0	<5	1	8	0	0	<3	1	9	0	0	<3	4	5	0	3	3-4	4	6	0	2	<3	2	7	0	0	<3	2	8	0	0	<3	17	5	14	6	16	9	13	17	16
17dw49689	1	0	13	11	3	7	5-9	14	13	3	6	5-9	4	3	2	3	3-4	4	4	2	3	3-4	4	5	0	3	3-4	4	6	0	2	<3	5	3	1	4	3-4	6	3	1	5	>=5	16	9	16	5	15	9	16	17	17
17dw62551	1	0	5	7	15	2	<5	6	8	16	2	<5	0	0	9	0	<3	1	0	9	1	<3	0	5	4	0	<3	0	5	5	0	<3	5	2	2	5	>=5	5	3	2	4	3-4	15	9	12	5	15	10	18	11	13
17dw73192	1	0	2	15	10	0	<5	2	17	11	0	<5	0	4	5	0	<3	0	5	5	0	<3	1	7	1	0	<3	1	7	2	0	<3	1	4	4	0	<3	1	5	4	0	<3	16	8	12	4	13	10	13	11	15
17dw61874	1	0	7	11	9	2	<5	7	13	10	2	<5	0	2	7	0	<3	0	2	8	0	<3	3	5	1	1	<3	3	6	1	1	<3	4	4	1	3	3-4	4	5	1	2	<3	16	6	15	5	14	7	17	15	15
17dw21349	1	0	12	12	3	6	5-9	13	13	4	6	5-9	4	3	2	3	3-4	4	3	3	3	3-4	4	4	1	3	3-4	4	5	1	2	<3	4	5	0	3	3-4	5	5	0	3	3-4	15	6	14	4	12	13	10	12	12
17dw91469	1	0	8	15	4	2	<5	9	16	5	2	<5	2	5	2	0	<3	2	6	2	0	<3	3	6	0	1	<3	3	6	1	1	<3	3	4	2	2	<3	4	4	2	3	3-4	16	11	13	9	14	11	16	13	14
17dw46632	1	0	3	12	12	0	<5	3	12	15	0	<5	1	5	3	0	<3	1	5	4	0	<3	2	4	3	1	<3	2	4	4	1	<3	0	3	6	0	<3	0	3	7	0	<3	17	5	12	5	12	13	10	11	12
17dw79157	1	0	12	15	0	5	5-9	13	17	0	5	5-9	2	7	0	0	<3	3	7	0	1	<3	5	4	0	4	3-4	5	5	0	3	3-4	5	4	0	4	3-4	5	5	0	3	3-4	17	5	17	4	15	8	16	17	17
17dw95219	1	0	14	13	0	7	5-9	14	16	0	6	5-9	4	5	0	3	3-4	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	5	4	0	4	3-4	5	5	0	3	3-4	16	9	12	5	13	12	9	14	15
17dw68944	1	0	10	17	0	3	<5	11	19	0	3	<5	2	7	0	0	<3	2	8	0	0	<3	4	5	0	3	3-4	4	6	0	2	<3	4	5	0	3	3-4	5	5	0	3	3-4	13	8	11	7	14	6	19	13	14
17dw61719	1	0	10	14	3	4	<5	12	15	3	5	5-9	4	2	3	4	3-4	5	2	3	4	3-4	4	5	0	3	3-4	4	6	0	2	<3	2	7	0	0	<3	3	7	0	1	<3	15	12	13	9	14	13	11	10	9
17dw12803	1	0	10	17	0	3	<5	11	19	0	3	<5	1	8	0	0	<3	2	8	0	0	<3	4	5	0	3	3-4	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	15	11	14	9	14	11	16	15	14
17dw47097	1	0	4	6	17	1	<5	4	7	19	1	<5	0	2	7	0	<3	0	2	8	0	<3	0	2	7	0	<3	0	2	8	0	<3	4	2	3	4	3-4	4	3	3	3	3-4	19	6	16	5	18	8	15	13	13
17dw17309	1	0	14	9	4	8	5-9	14	11	5	7	5-9	4	2	3	4	3-4	4	3	3	3	3-4	6	3	0	6	>=5	6	3	1	5	>=5	4	4	1	3	3-4	4	5	1	2	<3	12	8	10	13	11	12	15	11	12
17dw52984	1	0	8	14	5	2	<5	9	16	5	2	<5	1	4	4	0	<3	1	5	4	0	<3	2	6	1	0	<3	2	7	1	0	<3	5	4	0	4	3-4	6	4	0	5	>=5	13	8	11	9	11	13	15	11	12
17dw36944	1	1	17	10	0	10	>=10	19	11	0	10	>=10	6	3	0	6	>=5	7	3	0	6	>=5	4	5	0	3	3-4	4	6	0	2	<3	7	2	0	7	>=5	8	2	0	7	>=5	16	18	13	6	14	12	10	13	12
17dw47478	1	1	22	2	3	16	>=10	23	3	4	15	>=10	7	0	2	8	>=5	7	1	2	7	>=5	8	0	1	9	>=5	8	0	2	8	>=5	7	2	0	7	>=5	8	2	0	7	>=5	15	10	13	6	14	10	15	15	15
17dw23358	1	0	11	5	11	7	5-9	11	6	13	6	5-9	3	0	6	3	3-4	3	0	7	3	3-4	4	3	2	3	3-4	4	3	3	3	3-4	4	2	3	4	3-4	4	3	3	3	3-4	15	8	10	7	12	6	15	16	16
17dw66170	1	0	11	16	0	4	<5	13	17	0	5	5-9	4	5	0	3	3-4	4	6	0	2	<3	4	5	0	3	3-4	5	5	0	3	3-4	3	6	0	1	<3	4	6	0	2	<3	17	8	17	4	18	4	17	15	14
17dw35542	1	1	19	6	2	13	>=10	19	9	2	11	>=10	6	2	1	6	>=5	6	3	1	5	>=5	4	4	1	3	3-4	4	5	1	2	<3	9	0	0	10	>=5	9	1	0	9	>=5	16	4	13	4	13	11	11	15	14
17dw96699	1	1	20	7	0	13	>=10	21	8	1	12	>=10	6	3	0	6	>=5	7	3	0	6	>=5	6	3	0	6	>=5	6	3	1	5	>=5	8	1	0	9	>=5	8	2	0	7	>=5	16	7	10	8	17	12	9	12	14
17dw31924	1	0	13	14	0	6	5-9	15	15	0	7	5-9	5	4	0	4	3-4	6	4	0	5	>=5	3	6	0	1	<3	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	17	9	16	5	17	6	15	12	12
17dw58471	1	0	8	13	6	3	<5	8	15	7	2	<5	2	5	2	0	<3	2	6	2	0	<3	2	5	2	0	<3	2	5	3	0	<3	4	3	2	3	3-4	4	4	2	3	3-4	15	6	10	7	15	13	13	12	12
17dw49330	1	0	15	9	3	9	5-9	16	11	3	8	5-9	2	4	3	1	<3	2	5	3	0	<3	7	2	0	7	>=5	7	3	0	6	>=5	6	3	0	6	>=5	7	3	0	6	>=5	15	6	15	5	14	10	14	15	15
17dw74398	1	0	6	21	0	0	<5	6	24	0	0	<5	2	7	0	0	<3	2	8	0	0	<3	3	6	0	1	<3	3	7	0	1	<3	1	8	0	0	<3	1	9	0	0	<3	16	7	14	5	15	9	16	11	14
17dw86483	1	0	12	13	2	6	5-9	12	15	3	5	5-9	4	5	0	3	3-4	4	5	1	2	<3	4	3	2	3	3-4	4	4	2	3	3-4	4	5	0	3	3-4	4	6	0	2	<3	17	5	12	4	14	10	14	19	16
17dw78938	1	0	5	20	2	0	<5	5	23	2	0	<5	2	6	1	0	<3	2	7	1	0	<3	2	7	0	0	<3	2	8	0	0	<3	1	7	1	0	<3	1	8	1	0	<3	16	7	18	5	15	10	15	12	13
17dw12174	1	0	8	10	9	3	<5	8	11	11	3	<5	0	2	7	0	<3	0	2	8	0	<3	5	4	0	4	3-4	5	4	1	4	3-4	3	4	2	2	<3	3	5	2	1	<3	15	11	12	10	15	11	11	12	13
17dw62534	1	0	14	13	0	7	5-9	14	16	0	6	5-9	2	7	0	0	<3	2	8	0	0	<3	5	4	0	4	3-4	5	5	0	3	3-4	7	2	0	7	>=5	7	3	0	6	>=5	16	9	13	5	17	7	17	15	15
17dw56043	1	0	8	8	11	4	<5	8	10	12	3	<5	3	2	4	3	3-4	3	3	4	2	<3	2	2	5	1	<3	2	2	6	1	<3	3	4	2	2	<3	3	5	2	1	<3	11	7	12	8	13	11	17	13	10
17dw40376	1	0	16	11	0	9	5-9	16	14	0	8	5-9	3	6	0	1	<3	3	7	0	1	<3	6	3	0	6	>=5	6	4	0	5	>=5	7	2	0	7	>=5	7	3	0	6	>=5	0	0	0	0	0	0	0	0	0
17dw71835	1	0	5	15	7	0	<5	5	18	7	0	<5	0	7	2	0	<3	0	8	2	0	<3	2	4	3	1	<3	2	5	3	0	<3	3	4	2	2	<3	3	5	2	1	<3	9	8	8	16	16	12	14	7	13
17dw17577	1	0	13	11	3	7	5-9	13	14	3	6	5-9	1	5	3	0	<3	1	6	3	0	<3	5	4	0	4	3-4	5	5	0	3	3-4	7	2	0	7	>=5	7	3	0	6	>=5	12	8	12	8	13	10	17	11	13
17dw22910	1	0	8	19	0	1	<5	9	21	0	1	<5	2	7	0	0	<3	2	8	0	0	<3	4	5	0	3	3-4	4	6	0	2	<3	2	7	0	0	<3	3	7	0	1	<3	17	6	14	6	18	10	16	17	15
17dw94458	1	0	2	21	4	0	<5	3	23	4	0	<5	1	6	2	0	<3	1	7	2	0	<3	0	8	1	0	<3	1	8	1	0	<3	1	7	1	0	<3	1	8	1	0	<3	17	7	15	6	15	12	9	14	15
17dw44765	1	1	20	0	7	15	>=10	22	1	7	14	>=10	6	0	3	7	>=5	6	1	3	6	>=5	7	0	2	8	>=5	8	0	2	8	>=5	7	0	2	8	>=5	8	0	2	8	>=5	16	6	14	6	15	11	15	13	11
17dw68831	1	1	25	1	1	18	>=10	28	1	1	18	>=10	7	1	1	7	>=5	8	1	1	8	>=5	9	0	0	10	>=5	10	0	0	10	>=5	9	0	0	10	>=5	10	0	0	10	>=5	17	4	15	4	17	5	16	12	13
17dw86328	1	0	5	22	0	0	<5	5	25	0	0	<5	1	8	0	0	<3	1	9	0	0	<3	2	7	0	0	<3	2	8	0	0	<3	2	7	0	0	<3	2	8	0	0	<3	14	10	11	9	13	12	13	11	11
17dw12232	1	0	10	17	0	3	<5	11	19	0	3	<5	3	6	0	1	<3	4	6	0	2	<3	3	6	0	1	<3	3	7	0	1	<3	4	5	0	3	3-4	4	6	0	2	<3	15	9	12	7	14	11	13	13	14
17dw92036	1	0	15	7	5	9	5-9	15	10	5	8	5-9	4	2	3	4	3-4	4	3	3	3	3-4	4	4	1	3	3-4	4	5	1	2	<3	7	1	1	7	>=5	7	2	1	6	>=5	18	5	16	5	15	7	14	13	15
