feedbackCode	vragenReeks	geslaagd	totaalJuist	totaalFout	totaalBlanco	totaalScore	totaalGroep	totaal_geen_correctieJuist	totaal_geen_correctieFout	totaal_geen_correctieBlanco	totaal_geen_correctieScore	totaal_geen_correctieGroep	wiskundeJuist	wiskundeFout	wiskundeBlanco	wiskundeScore	wiskundeGroep	wiskunde_geen_correctieJuist	wiskunde_geen_correctieFout	wiskunde_geen_correctieBlanco	wiskunde_geen_correctieScore	wiskunde_geen_correctieGroep	fysicaJuist	fysicaFout	fysicaBlanco	fysicaScore	fysicaGroep	fysica_geen_correctieJuist	fysica_geen_correctieFout	fysica_geen_correctieBlanco	fysica_geen_correctieScore	fysica_geen_correctieGroep	chemieJuist	chemieFout	chemieBlanco	chemieScore	chemieGroep	chemie_geen_correctieJuist	chemie_geen_correctieFout	chemie_geen_correctieBlanco	chemie_geen_correctieScore	chemie_geen_correctieGroep	verwerkingsstrategieenScore	stuurloosleergedragScore	zelfcontroleScore	uitstelScore	nieuwsgierigheidScore	testangstScore	emotionelecontroleScore	samenwerkingScore	extraversieScore
17dw33629	1	0	12	15	0	5	5-9	13	17	0	5	5-9	7	2	0	7	>=5	7	3	0	6	>=5	3	6	0	1	<3	3	7	0	1	<3	2	7	0	0	<3	3	7	0	1	<3	13	5	12	8	14	10	16	14	12
17dw12387	1	1	15	4	8	10	>=10	16	6	8	9	5-9	4	1	4	4	3-4	4	2	4	3	3-4	5	1	3	5	>=5	5	2	3	4	3-4	6	2	1	6	>=5	7	2	1	6	>=5	15	7	14	6	12	10	13	12	13
17dw97280	1	0	12	15	0	5	5-9	12	18	0	4	<5	5	4	0	4	3-4	5	5	0	3	3-4	2	7	0	0	<3	2	8	0	0	<3	5	4	0	4	3-4	5	5	0	3	3-4	18	4	17	4	15	9	15	12	14
17dw19921	1	0	12	9	6	7	5-9	12	12	6	5	5-9	3	3	3	2	<3	3	4	3	2	<3	5	3	1	4	3-4	5	4	1	4	3-4	4	3	2	3	3-4	4	4	2	3	3-4	14	7	11	8	12	12	12	9	11
17dw77085	1	0	16	11	0	9	5-9	17	13	0	8	5-9	4	5	0	3	3-4	5	5	0	3	3-4	7	2	0	7	>=5	7	3	0	6	>=5	5	4	0	4	3-4	5	5	0	3	3-4	14	8	13	7	15	9	17	13	16
17dw88573	1	1	20	5	2	14	>=10	21	6	3	13	>=10	7	1	1	7	>=5	7	2	1	6	>=5	6	2	1	6	>=5	6	2	2	5	>=5	7	2	0	7	>=5	8	2	0	7	>=5	17	8	16	4	14	11	13	12	15
17dw20770	1	0	7	18	2	1	<5	8	20	2	1	<5	2	6	1	0	<3	2	7	1	0	<3	3	6	0	1	<3	4	6	0	2	<3	2	6	1	0	<3	2	7	1	0	<3	15	8	13	6	14	12	13	15	14
17dw84346	1	0	14	7	6	9	5-9	16	8	6	9	5-9	5	2	2	5	>=5	6	2	2	5	>=5	4	3	2	3	3-4	4	4	2	3	3-4	5	2	2	5	>=5	6	2	2	5	>=5	17	7	14	6	13	11	12	11	14
17dw13417	1	0	14	8	5	8	5-9	14	11	5	7	5-9	3	2	4	3	3-4	3	3	4	2	<3	5	3	1	4	3-4	5	4	1	4	3-4	6	3	0	6	>=5	6	4	0	5	>=5	17	5	14	4	16	11	12	7	10
17dw98305	1	1	22	3	2	16	>=10	22	6	2	13	>=10	8	1	0	9	>=5	8	2	0	7	>=5	6	1	2	6	>=5	6	2	2	5	>=5	8	1	0	9	>=5	8	2	0	7	>=5	16	8	12	8	14	6	17	15	15
17dw68688	1	0	11	16	0	4	<5	13	17	0	5	5-9	3	6	0	1	<3	4	6	0	2	<3	4	5	0	3	3-4	4	6	0	2	<3	4	5	0	3	3-4	5	5	0	3	3-4	17	5	14	5	18	9	17	15	19
17dw44128	1	1	17	6	4	11	>=10	17	9	4	9	5-9	7	1	1	7	>=5	7	2	1	6	>=5	3	3	3	2	<3	3	4	3	2	<3	7	2	0	7	>=5	7	3	0	6	>=5	16	8	14	5	16	11	13	8	11
17dw34643	1	0	10	17	0	3	<5	10	20	0	2	<5	2	7	0	0	<3	2	8	0	0	<3	3	6	0	1	<3	3	7	0	1	<3	5	4	0	4	3-4	5	5	0	3	3-4	15	5	14	6	16	8	15	11	16
17dw45196	1	1	17	6	4	11	>=10	18	8	4	10	>=10	5	0	4	6	>=5	5	1	4	5	>=5	4	5	0	3	3-4	4	6	0	2	<3	8	1	0	9	>=5	9	1	0	9	>=5	15	7	15	7	17	9	18	15	16
17dw35154	1	1	17	6	4	11	>=10	17	7	6	10	>=10	5	2	2	5	>=5	5	2	3	4	3-4	4	3	2	3	3-4	4	3	3	3	3-4	8	1	0	9	>=5	8	2	0	7	>=5	19	4	18	4	17	5	16	16	14
17dw41202	1	0	15	7	5	9	5-9	15	9	6	8	5-9	6	1	2	6	>=5	6	2	2	5	>=5	3	3	3	2	<3	3	3	4	2	<3	6	3	0	6	>=5	6	4	0	5	>=5	17	5	16	4	17	7	15	10	14
17dw13627	1	0	15	7	5	9	5-9	15	9	6	8	5-9	3	3	3	2	<3	3	4	3	2	<3	5	2	2	5	>=5	5	3	2	4	3-4	7	2	0	7	>=5	7	2	1	6	>=5	19	6	16	5	16	8	15	14	18
17dw64015	1	0	12	12	3	6	5-9	12	15	3	5	5-9	3	3	3	2	<3	3	4	3	2	<3	1	8	0	0	<3	1	9	0	0	<3	8	1	0	9	>=5	8	2	0	7	>=5	16	5	18	4	15	8	17	7	17
17dw55272	1	0	10	17	0	3	<5	11	19	0	3	<5	2	7	0	0	<3	2	8	0	0	<3	3	6	0	1	<3	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	15	6	15	7	16	11	15	13	17
17dw11170	1	0	14	10	3	8	5-9	14	13	3	6	5-9	3	3	3	2	<3	3	4	3	2	<3	6	3	0	6	>=5	6	4	0	5	>=5	5	4	0	4	3-4	5	5	0	3	3-4	16	6	15	4	13	10	19	13	14
17dw55691	1	0	10	13	4	4	<5	11	15	4	4	<5	3	2	4	3	3-4	4	2	4	3	3-4	3	6	0	1	<3	3	7	0	1	<3	4	5	0	3	3-4	4	6	0	2	<3	16	10	12	6	17	10	15	15	17
17dw13195	1	0	13	14	0	6	5-9	14	16	0	6	5-9	4	5	0	3	3-4	5	5	0	3	3-4	4	5	0	3	3-4	4	6	0	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	17	8	14	5	15	10	17	16	16
17dw70317	1	0	10	9	8	5	5-9	11	11	8	5	5-9	0	5	4	0	<3	0	6	4	0	<3	5	2	2	5	>=5	5	3	2	4	3-4	5	2	2	5	>=5	6	2	2	5	>=5	16	8	12	6	14	10	17	17	15
17dw21775	1	0	15	9	3	9	5-9	15	11	4	8	5-9	6	2	1	6	>=5	6	3	1	5	>=5	3	5	1	1	<3	3	5	2	1	<3	6	2	1	6	>=5	6	3	1	5	>=5	14	7	12	6	13	10	11	10	9
17dw12650	1	0	13	9	5	7	5-9	14	11	5	7	5-9	6	2	1	6	>=5	6	3	1	5	>=5	4	5	0	3	3-4	4	6	0	2	<3	3	2	4	3	3-4	4	2	4	3	3-4	17	4	15	4	13	6	16	17	15
17dw45132	1	1	22	3	2	16	>=10	23	5	2	14	>=10	6	1	2	6	>=5	6	2	2	5	>=5	7	2	0	7	>=5	7	3	0	6	>=5	9	0	0	10	>=5	10	0	0	10	>=5	16	6	14	4	14	9	13	11	14
17dw92683	1	0	9	10	8	4	<5	10	12	8	4	<5	3	1	5	3	3-4	4	1	5	4	3-4	6	3	0	6	>=5	6	4	0	5	>=5	0	6	3	0	<3	0	7	3	0	<3	0	0	0	0	0	0	0	0	0
17dw72590	1	1	21	6	0	14	>=10	22	8	0	13	>=10	7	2	0	7	>=5	7	3	0	6	>=5	8	1	0	9	>=5	8	2	0	7	>=5	6	3	0	6	>=5	7	3	0	6	>=5	15	9	12	7	16	11	17	17	12
17dw67024	1	1	20	2	5	14	>=10	21	2	7	14	>=10	8	0	1	9	>=5	9	0	1	9	>=5	6	1	2	6	>=5	6	1	3	6	>=5	6	1	2	6	>=5	6	1	3	6	>=5	16	7	11	10	13	10	10	9	11
17dw17983	1	0	9	13	5	3	<5	10	15	5	3	<5	3	4	2	2	<3	3	5	2	1	<3	4	4	1	3	3-4	4	5	1	2	<3	2	5	2	0	<3	3	5	2	1	<3	15	9	9	10	15	10	16	10	14
17dw35975	1	0	12	10	5	6	5-9	12	13	5	5	5-9	2	2	5	1	<3	2	3	5	1	<3	5	4	0	4	3-4	5	5	0	3	3-4	5	4	0	4	3-4	5	5	0	3	3-4	16	5	17	4	14	4	18	11	16
17dw73635	1	0	11	12	4	5	5-9	11	14	5	4	<5	3	4	2	2	<3	3	4	3	2	<3	2	6	1	0	<3	2	7	1	0	<3	6	2	1	6	>=5	6	3	1	5	>=5	0	0	0	0	0	0	0	0	0
17dw19339	1	1	17	5	5	11	>=10	17	8	5	10	>=10	4	2	3	4	3-4	4	3	3	3	3-4	5	2	2	5	>=5	5	3	2	4	3-4	8	1	0	9	>=5	8	2	0	7	>=5	17	7	15	4	15	9	15	11	14
17dw78962	1	1	18	6	3	12	>=10	18	9	3	10	>=10	7	1	1	7	>=5	7	2	1	6	>=5	6	1	2	6	>=5	6	2	2	5	>=5	5	4	0	4	3-4	5	5	0	3	3-4	14	4	13	7	14	9	15	16	14
17dw87656	1	0	14	10	3	8	5-9	14	11	5	7	5-9	5	3	1	4	3-4	5	3	2	4	3-4	4	5	0	3	3-4	4	5	1	2	<3	5	2	2	5	>=5	5	3	2	4	3-4	16	5	14	6	13	9	14	12	13
17dw94470	1	1	24	2	1	17	>=10	25	3	2	16	>=10	7	1	1	7	>=5	8	1	1	8	>=5	8	1	0	9	>=5	8	2	0	7	>=5	9	0	0	10	>=5	9	0	1	9	>=5	14	5	11	6	15	15	11	15	13
17dw75488	1	0	11	16	0	4	<5	12	18	0	4	<5	3	6	0	1	<3	3	7	0	1	<3	4	5	0	3	3-4	4	6	0	2	<3	4	5	0	3	3-4	5	5	0	3	3-4	18	11	13	6	18	8	15	13	13
17dw50583	1	0	10	11	6	5	5-9	10	14	6	4	<5	3	3	3	2	<3	3	4	3	2	<3	4	3	2	3	3-4	4	4	2	3	3-4	3	5	1	1	<3	3	6	1	1	<3	11	9	11	11	14	15	14	13	12
17dw57864	1	1	16	4	7	11	>=10	17	5	8	10	>=10	4	2	3	4	3-4	5	2	3	4	3-4	5	1	3	5	>=5	5	2	3	4	3-4	7	1	1	7	>=5	7	1	2	7	>=5	15	6	10	7	15	8	14	13	13
17dw45487	1	1	21	4	2	15	>=10	22	6	2	13	>=10	7	2	0	7	>=5	8	2	0	7	>=5	7	1	1	7	>=5	7	2	1	6	>=5	7	1	1	7	>=5	7	2	1	6	>=5	15	4	12	6	15	6	7	15	12
17dw94307	1	0	15	11	1	8	5-9	17	11	2	9	5-9	6	3	0	6	>=5	7	3	0	6	>=5	3	5	1	1	<3	3	5	2	1	<3	6	3	0	6	>=5	7	3	0	6	>=5	0	0	0	0	0	0	0	0	0
17dw83045	1	1	15	6	6	10	>=10	16	7	7	9	5-9	3	3	3	2	<3	4	3	3	3	3-4	5	3	1	4	3-4	5	4	1	4	3-4	7	0	2	8	>=5	7	0	3	7	>=5	16	6	11	7	14	11	15	16	14
17dw67739	1	0	14	9	4	8	5-9	14	11	5	7	5-9	3	2	4	3	3-4	3	3	4	2	<3	5	4	0	4	3-4	5	4	1	4	3-4	6	3	0	6	>=5	6	4	0	5	>=5	17	8	15	5	14	9	17	14	17
17dw74546	1	0	16	11	0	9	5-9	16	14	0	8	5-9	5	4	0	4	3-4	5	5	0	3	3-4	4	5	0	3	3-4	4	6	0	2	<3	7	2	0	7	>=5	7	3	0	6	>=5	16	5	14	6	14	8	15	15	16
17dw50266	1	0	10	12	5	4	<5	10	13	7	4	<5	3	2	4	3	3-4	3	2	5	2	<3	3	6	0	1	<3	3	7	0	1	<3	4	4	1	3	3-4	4	4	2	3	3-4	13	11	11	8	13	12	15	13	13
17dw47352	1	0	13	14	0	6	5-9	15	15	0	7	5-9	1	8	0	0	<3	2	8	0	0	<3	5	4	0	4	3-4	5	5	0	3	3-4	7	2	0	7	>=5	8	2	0	7	>=5	18	5	18	4	16	7	17	13	16
17dw83761	1	0	13	14	0	6	5-9	15	15	0	7	5-9	4	5	0	3	3-4	5	5	0	3	3-4	5	4	0	4	3-4	5	5	0	3	3-4	4	5	0	3	3-4	5	5	0	3	3-4	17	8	16	6	14	9	17	14	15
17dw19428	1	0	10	13	4	4	<5	12	14	4	5	5-9	4	3	2	3	3-4	5	3	2	4	3-4	1	7	1	0	<3	1	8	1	0	<3	5	3	1	4	3-4	6	3	1	5	>=5	17	7	15	5	14	6	15	12	13
17dw12424	1	0	7	9	11	3	<5	7	12	11	2	<5	2	3	4	1	<3	2	4	4	1	<3	2	2	5	1	<3	2	3	5	1	<3	3	4	2	2	<3	3	5	2	1	<3	16	7	14	7	14	11	14	13	14
17dw88941	1	0	11	11	5	5	5-9	11	13	6	4	<5	1	5	3	0	<3	1	5	4	0	<3	5	4	0	4	3-4	5	5	0	3	3-4	5	2	2	5	>=5	5	3	2	4	3-4	15	10	15	6	15	9	13	13	16
17dw58501	1	1	23	4	0	16	>=10	26	4	0	16	>=10	9	0	0	10	>=5	10	0	0	10	>=5	7	2	0	7	>=5	8	2	0	7	>=5	7	2	0	7	>=5	8	2	0	7	>=5	15	11	13	11	16	14	10	12	13
17dw55639	1	0	10	10	7	5	5-9	11	10	9	5	5-9	3	2	4	3	3-4	3	2	5	2	<3	3	4	2	2	<3	3	4	3	2	<3	4	4	1	3	3-4	5	4	1	4	3-4	16	8	14	7	15	10	11	18	17
17dw88004	1	1	15	6	6	10	>=10	16	7	7	9	5-9	6	1	2	6	>=5	7	1	2	7	>=5	4	2	3	4	3-4	4	3	3	3	3-4	5	3	1	4	3-4	5	3	2	4	3-4	0	0	0	0	0	0	0	0	0
17dw49611	1	1	25	2	0	18	>=10	27	3	0	17	>=10	9	0	0	10	>=5	10	0	0	10	>=5	8	1	0	9	>=5	8	2	0	7	>=5	8	1	0	9	>=5	9	1	0	9	>=5	17	6	13	6	15	5	13	9	12
17dw82007	1	1	23	2	2	17	>=10	26	2	2	17	>=10	7	0	2	8	>=5	8	0	2	8	>=5	8	1	0	9	>=5	9	1	0	9	>=5	8	1	0	9	>=5	9	1	0	9	>=5	15	7	15	5	15	10	13	16	17
17dw52330	1	1	15	6	6	10	>=10	15	8	7	8	5-9	2	3	4	1	<3	2	3	5	1	<3	5	2	2	5	>=5	5	3	2	4	3-4	8	1	0	9	>=5	8	2	0	7	>=5	17	8	14	6	13	12	14	17	11
17dw39254	1	1	23	4	0	16	>=10	24	6	0	15	>=10	7	2	0	7	>=5	8	2	0	7	>=5	7	2	0	7	>=5	7	3	0	6	>=5	9	0	0	10	>=5	9	1	0	9	>=5	18	6	18	5	17	9	17	4	13
17dw98764	1	1	16	9	2	10	>=10	16	12	2	8	5-9	3	5	1	1	<3	3	6	1	1	<3	5	3	1	4	3-4	5	4	1	4	3-4	8	1	0	9	>=5	8	2	0	7	>=5	0	0	0	0	0	0	0	0	0
17dw26847	1	1	17	5	5	11	>=10	17	7	6	10	>=10	5	3	1	4	3-4	5	4	1	4	3-4	4	1	4	4	3-4	4	1	5	4	3-4	8	1	0	9	>=5	8	2	0	7	>=5	16	7	14	6	15	10	9	11	12
17dw12496	1	0	9	18	0	2	<5	9	21	0	1	<5	1	8	0	0	<3	1	9	0	0	<3	4	5	0	3	3-4	4	6	0	2	<3	4	5	0	3	3-4	4	6	0	2	<3	18	6	13	4	14	8	15	15	13
17dw61534	1	0	14	10	3	8	5-9	14	13	3	6	5-9	6	2	1	6	>=5	6	3	1	5	>=5	5	4	0	4	3-4	5	5	0	3	3-4	3	4	2	2	<3	3	5	2	1	<3	13	6	11	6	13	9	12	13	11
17dw59053	1	1	22	5	0	15	>=10	23	7	0	14	>=10	9	0	0	10	>=5	9	1	0	9	>=5	6	3	0	6	>=5	7	3	0	6	>=5	7	2	0	7	>=5	7	3	0	6	>=5	19	5	19	4	13	4	14	10	15
17dw22051	1	0	12	9	6	7	5-9	12	11	7	6	5-9	5	1	3	5	>=5	5	2	3	4	3-4	3	4	2	2	<3	3	4	3	2	<3	4	4	1	3	3-4	4	5	1	2	<3	18	5	15	4	15	7	13	11	14
17dw85549	1	0	15	12	0	8	5-9	15	15	0	7	5-9	2	7	0	0	<3	2	8	0	0	<3	5	4	0	4	3-4	5	5	0	3	3-4	8	1	0	9	>=5	8	2	0	7	>=5	15	6	14	5	14	8	15	13	14
17dw53650	1	0	13	14	0	6	5-9	14	16	0	6	5-9	3	6	0	1	<3	3	7	0	1	<3	6	3	0	6	>=5	6	4	0	5	>=5	4	5	0	3	3-4	5	5	0	3	3-4	17	7	14	8	15	11	13	15	17
17dw80257	1	0	7	14	6	2	<5	7	17	6	1	<5	1	4	4	0	<3	1	5	4	0	<3	3	5	1	1	<3	3	6	1	1	<3	3	5	1	1	<3	3	6	1	1	<3	16	8	14	6	13	10	15	14	12
17dw77572	1	0	15	7	5	9	5-9	15	10	5	8	5-9	6	1	2	6	>=5	6	2	2	5	>=5	2	5	2	0	<3	2	6	2	0	<3	7	1	1	7	>=5	7	2	1	6	>=5	17	7	14	5	11	9	13	14	12
17dw97130	1	1	15	4	8	10	>=10	16	4	10	10	>=10	3	1	5	3	3-4	4	1	5	4	3-4	5	2	2	5	>=5	5	2	3	4	3-4	7	1	1	7	>=5	7	1	2	7	>=5	16	10	15	5	14	13	13	7	12
17dw12035	1	0	3	20	4	0	<5	3	22	5	0	<5	1	6	2	0	<3	1	7	2	0	<3	2	6	1	0	<3	2	6	2	0	<3	0	8	1	0	<3	0	9	1	0	<3	16	7	15	5	14	10	13	11	12
17dw30441	1	1	19	5	3	13	>=10	20	7	3	12	>=10	6	0	3	7	>=5	6	1	3	6	>=5	6	3	0	6	>=5	6	4	0	5	>=5	7	2	0	7	>=5	8	2	0	7	>=5	17	4	15	6	15	10	13	7	9
17dw56122	1	1	16	5	6	11	>=10	17	7	6	10	>=10	5	1	3	5	>=5	6	1	3	6	>=5	4	3	2	3	3-4	4	4	2	3	3-4	7	1	1	7	>=5	7	2	1	6	>=5	18	4	18	4	19	4	18	17	17
17dw55138	1	1	22	3	2	16	>=10	22	4	4	14	>=10	7	1	1	7	>=5	7	1	2	7	>=5	6	2	1	6	>=5	6	2	2	5	>=5	9	0	0	10	>=5	9	1	0	9	>=5	17	9	15	5	15	13	13	15	10
17dw29771	1	0	15	9	3	9	5-9	17	10	3	9	5-9	7	0	2	8	>=5	8	0	2	8	>=5	3	5	1	1	<3	3	6	1	1	<3	5	4	0	4	3-4	6	4	0	5	>=5	15	5	14	5	14	11	14	15	16
17dw34565	1	0	10	13	4	4	<5	10	16	4	3	<5	1	6	2	0	<3	1	7	2	0	<3	5	2	2	5	>=5	5	3	2	4	3-4	4	5	0	3	3-4	4	6	0	2	<3	15	7	14	8	15	8	16	11	13
17dw76027	1	0	12	11	4	6	5-9	13	12	5	6	5-9	4	4	1	3	3-4	5	4	1	4	3-4	4	4	1	3	3-4	4	5	1	2	<3	4	3	2	3	3-4	4	3	3	3	3-4	18	6	16	4	16	9	12	17	14
17dw39841	1	0	13	14	0	6	5-9	14	16	0	6	5-9	3	6	0	1	<3	3	7	0	1	<3	3	6	0	1	<3	3	7	0	1	<3	7	2	0	7	>=5	8	2	0	7	>=5	16	8	16	7	15	9	13	14	14
17dw99684	1	0	14	8	5	8	5-9	15	9	6	8	5-9	3	2	4	3	3-4	4	2	4	3	3-4	5	4	0	4	3-4	5	4	1	4	3-4	6	2	1	6	>=5	6	3	1	5	>=5	16	8	12	5	11	11	12	14	14
17dw55982	1	0	13	7	7	8	5-9	14	8	8	8	5-9	3	1	5	3	3-4	4	1	5	4	3-4	3	4	2	2	<3	3	5	2	1	<3	7	2	0	7	>=5	7	2	1	6	>=5	17	4	14	4	15	8	15	11	15
17dw41158	1	0	15	12	0	8	5-9	16	14	0	8	5-9	5	4	0	4	3-4	5	5	0	3	3-4	4	5	0	3	3-4	4	6	0	2	<3	6	3	0	6	>=5	7	3	0	6	>=5	16	8	14	5	15	9	15	13	16
17dw83101	1	0	14	10	3	8	5-9	14	13	3	6	5-9	5	3	1	4	3-4	5	4	1	4	3-4	4	4	1	3	3-4	4	5	1	2	<3	5	3	1	4	3-4	5	4	1	4	3-4	16	6	15	4	14	11	13	10	13
17dw22288	1	1	17	5	5	11	>=10	17	7	6	10	>=10	5	2	2	5	>=5	5	3	2	4	3-4	7	1	1	7	>=5	7	2	1	6	>=5	5	2	2	5	>=5	5	2	3	4	3-4	16	7	12	8	14	10	13	15	14
17dw95889	1	1	22	3	2	16	>=10	22	6	2	13	>=10	7	0	2	8	>=5	7	1	2	7	>=5	8	1	0	9	>=5	8	2	0	7	>=5	7	2	0	7	>=5	7	3	0	6	>=5	13	8	11	9	15	13	14	11	9
17dw44231	1	0	12	14	1	5	5-9	13	16	1	5	5-9	4	4	1	3	3-4	5	4	1	4	3-4	4	5	0	3	3-4	4	6	0	2	<3	4	5	0	3	3-4	4	6	0	2	<3	17	7	13	7	16	16	14	15	9
17dw82157	1	0	14	7	6	9	5-9	15	9	6	8	5-9	6	2	1	6	>=5	7	2	1	6	>=5	3	3	3	2	<3	3	4	3	2	<3	5	2	2	5	>=5	5	3	2	4	3-4	15	7	12	10	13	12	12	15	13
17dw83277	1	1	17	10	0	10	>=10	18	12	0	9	5-9	5	4	0	4	3-4	6	4	0	5	>=5	5	4	0	4	3-4	5	5	0	3	3-4	7	2	0	7	>=5	7	3	0	6	>=5	17	6	15	4	16	7	15	15	15
17dw31227	1	1	17	4	6	12	>=10	18	6	6	11	>=10	3	3	3	2	<3	3	4	3	2	<3	5	1	3	5	>=5	5	2	3	4	3-4	9	0	0	10	>=5	10	0	0	10	>=5	13	16	12	13	13	12	11	15	13
17dw30378	1	1	17	6	4	11	>=10	18	8	4	10	>=10	4	1	4	4	3-4	5	1	4	5	>=5	6	3	0	6	>=5	6	4	0	5	>=5	7	2	0	7	>=5	7	3	0	6	>=5	12	7	11	8	15	9	18	15	17
17dw47928	1	0	10	8	9	5	5-9	11	9	10	5	5-9	0	2	7	0	<3	0	2	8	0	<3	6	2	1	6	>=5	6	3	1	5	>=5	4	4	1	3	3-4	5	4	1	4	3-4	16	6	14	6	15	9	15	15	15
17dw65176	1	0	12	15	0	5	5-9	14	16	0	6	5-9	3	6	0	1	<3	3	7	0	1	<3	2	7	0	0	<3	3	7	0	1	<3	7	2	0	7	>=5	8	2	0	7	>=5	17	6	15	4	14	9	15	13	14
17dw82103	1	0	13	11	3	7	5-9	13	13	4	6	5-9	4	3	2	3	3-4	4	4	2	3	3-4	2	7	0	0	<3	2	8	0	0	<3	7	1	1	7	>=5	7	1	2	7	>=5	14	9	12	8	14	11	13	14	13
17dw97340	1	0	10	16	1	3	<5	11	17	2	4	<5	3	5	1	1	<3	3	6	1	1	<3	2	7	0	0	<3	2	7	1	0	<3	5	4	0	4	3-4	6	4	0	5	>=5	16	5	14	4	13	9	15	13	15
17dw25356	1	1	20	3	4	14	>=10	22	4	4	14	>=10	7	0	2	8	>=5	8	0	2	8	>=5	6	3	0	6	>=5	7	3	0	6	>=5	7	0	2	8	>=5	7	1	2	7	>=5	12	7	13	10	15	9	15	10	11
17dw26569	1	0	12	12	3	6	5-9	14	12	4	7	5-9	3	4	2	2	<3	3	4	3	2	<3	5	4	0	4	3-4	6	4	0	5	>=5	4	4	1	3	3-4	5	4	1	4	3-4	17	8	11	5	10	11	12	13	15
17dw84787	1	1	18	6	3	12	>=10	18	9	3	10	>=10	7	0	2	8	>=5	7	1	2	7	>=5	4	4	1	3	3-4	4	5	1	2	<3	7	2	0	7	>=5	7	3	0	6	>=5	16	8	12	8	11	10	14	12	11
17dw64746	1	1	16	7	4	10	>=10	16	10	4	8	5-9	3	3	3	2	<3	3	4	3	2	<3	5	4	0	4	3-4	5	5	0	3	3-4	8	0	1	9	>=5	8	1	1	8	>=5	16	7	13	6	11	12	14	13	12
17dw20152	1	0	10	12	5	4	<5	10	13	7	4	<5	1	7	1	0	<3	1	8	1	0	<3	4	3	2	3	3-4	4	3	3	3	3-4	5	2	2	5	>=5	5	2	3	4	3-4	17	8	18	4	18	7	19	12	18
17dw84278	1	0	15	8	4	9	5-9	16	10	4	8	5-9	3	2	4	3	3-4	4	2	4	3	3-4	4	5	0	3	3-4	4	6	0	2	<3	8	1	0	9	>=5	8	2	0	7	>=5	14	6	15	6	15	10	14	11	17
17dw87517	1	0	10	17	0	3	<5	10	20	0	2	<5	5	4	0	4	3-4	5	5	0	3	3-4	3	6	0	1	<3	3	7	0	1	<3	2	7	0	0	<3	2	8	0	0	<3	17	7	18	4	14	6	18	16	17
17dw94225	1	0	15	10	2	9	5-9	16	11	3	8	5-9	5	2	2	5	>=5	6	2	2	5	>=5	6	3	0	6	>=5	6	3	1	5	>=5	4	5	0	3	3-4	4	6	0	2	<3	16	6	16	7	15	6	13	8	10
17dw73064	1	0	14	6	7	9	5-9	14	8	8	8	5-9	2	3	4	1	<3	2	3	5	1	<3	5	3	1	4	3-4	5	4	1	4	3-4	7	0	2	8	>=5	7	1	2	7	>=5	16	5	16	4	15	11	13	11	12
17dw47265	1	0	9	10	8	4	<5	10	12	8	4	<5	3	2	4	3	3-4	3	3	4	2	<3	3	4	2	2	<3	3	5	2	1	<3	3	4	2	2	<3	4	4	2	3	3-4	15	9	14	7	14	10	14	13	12
17dw35658	1	1	19	8	0	12	>=10	19	11	0	10	>=10	6	3	0	6	>=5	6	4	0	5	>=5	7	2	0	7	>=5	7	3	0	6	>=5	6	3	0	6	>=5	6	4	0	5	>=5	14	10	12	9	15	9	13	11	15
17dw86983	1	0	10	10	7	5	5-9	11	10	9	5	5-9	1	4	4	0	<3	1	4	5	0	<3	3	3	3	2	<3	3	3	4	2	<3	6	3	0	6	>=5	7	3	0	6	>=5	16	10	14	7	14	8	15	16	16
17dw80842	1	0	14	6	7	9	5-9	14	8	8	8	5-9	4	0	5	4	3-4	4	0	6	4	3-4	4	4	1	3	3-4	4	5	1	2	<3	6	2	1	6	>=5	6	3	1	5	>=5	15	10	15	6	16	10	14	13	11
17dw46309	1	1	20	5	2	14	>=10	21	7	2	12	>=10	7	1	1	7	>=5	7	2	1	6	>=5	5	3	1	4	3-4	5	4	1	4	3-4	8	1	0	9	>=5	9	1	0	9	>=5	13	11	11	12	15	14	9	14	11
17dw14783	1	0	15	10	2	9	5-9	17	11	2	9	5-9	6	2	1	6	>=5	7	2	1	6	>=5	4	5	0	3	3-4	4	6	0	2	<3	5	3	1	4	3-4	6	3	1	5	>=5	17	7	14	6	15	8	11	10	14
17dw84353	1	0	10	13	4	4	<5	10	15	5	3	<5	2	4	3	1	<3	2	5	3	0	<3	6	3	0	6	>=5	6	3	1	5	>=5	2	6	1	0	<3	2	7	1	0	<3	16	6	15	7	14	11	15	10	9
17dw58462	1	0	7	20	0	0	<5	8	22	0	0	<5	2	7	0	0	<3	3	7	0	1	<3	1	8	0	0	<3	1	9	0	0	<3	4	5	0	3	3-4	4	6	0	2	<3	14	6	14	4	17	9	16	14	15
17dw52407	1	1	15	5	7	10	>=10	15	6	9	9	5-9	5	0	4	6	>=5	5	0	5	5	>=5	3	5	1	1	<3	3	5	2	1	<3	7	0	2	8	>=5	7	1	2	7	>=5	18	5	16	4	14	11	14	18	14
17dw60503	1	0	13	9	5	7	5-9	16	9	5	9	5-9	6	1	2	6	>=5	7	1	2	7	>=5	3	3	3	2	<3	4	3	3	3	3-4	4	5	0	3	3-4	5	5	0	3	3-4	0	0	0	0	0	0	0	0	0
