ijkID	vragenReeks	vraag1	vraag2	vraag3	vraag4	vraag5	vraag6	vraag7	vraag8	vraag9	vraag10	vraag11	vraag12	vraag13	vraag14	vraag15	vraag16	vraag17	vraag18	vraag19	vraag20	vraag21	vraag22	vraag23	vraag24	vraag25	vraag26	vraag27	vraag28	vraag29	vraag30
30361	1	D	A	X	X	X	X	A	A	X	X	B	B	X	X	X	B	C	X	X	X	A	X	A	D	B	B	X	A	D	X
30406	1	B	D	X	C	X	D	C	C	D	C	D	B	C	X	D	A	D	D	A	D	D	C	B	C	B	B	A	X	B	D
30330	1	B	C	A	C	B	A	C	A	X	C	D	B	C	B	B	A	D	B	D	B	B	C	B	C	B	D	C	A	B	D
30383	1	A	B	X	C	B	B	C	A	B	X	B	C	B	C	A	A	B	B	D	D	B	A	D	B	D	X	D	D	B	C
30366	1	B	X	X	C	X	D	B	A	X	X	A	D	C	D	B	B	A	B	D	X	X	X	X	B	X	C	D	A	C	X
30348	1	C	B	D	B	A	D	C	D	D	C	D	D	A	C	C	C	C	B	A	B	B	C	A	D	B	B	B	A	C	D
30409	1	C	C	C	C	B	B	D	D	A	C	B	B	D	C	D	B	B	B	A	D	A	D	A	C	A	D	D	B	C	C
30345	1	C	D	D	B	B	X	B	X	D	A	C	D	X	X	X	B	X	A	C	A	X	X	X	X	X	B	B	D	C	D
30389	1	C	B	C	A	B	C	A	B	D	D	B	A	B	B	D	D	A	B	B	D	C	A	A	C	B	D	A	C	A	D
30342	1	C	B	X	C	A	D	B	C	D	B	B	A	C	B	C	A	X	D	C	B	D	B	B	D	C	B	D	A	D	C
30458	1	C	B	B	D	A	D	B	D	A	C	B	A	B	B	A	B	C	B	A	D	B	C	A	D	B	C	A	D	C	D
30427	1	C	B	X	C	X	C	C	A	X	A	B	A	B	X	X	B	D	D	D	B	A	C	X	X	B	A	B	B	X	X
30329	1	A	B	B	D	B	C	B	C	D	B	B	A	C	C	B	B	C	D	D	D	A	A	B	C	C	C	B	A	B	C
30374	1	D	C	C	D	B	B	A	C	D	B	B	A	B	A	A	A	B	D	D	B	C	B	B	C	A	C	A	D	C	C
30455	1	D	C	D	D	X	A	B	C	X	B	B	B	D	X	X	B	B	X	D	B	D	B	B	C	B	B	B	A	X	C
30356	1	A	X	C	D	B	A	D	C	D	C	B	A	C	C	B	C	B	D	A	B	A	C	B	C	C	D	D	A	D	D
30327	1	A	C	X	D	X	C	A	C	D	C	B	A	C	D	A	B	A	D	D	B	C	A	B	B	A	C	B	D	B	D
